Lastname,Firstname,Authorname,JoinedAsBuilder,Affiliation,ORCID
Lange,Johannes Ulf,J.~U.~Lange,False,"Department of Physics, University of Michigan, Ann Arbor, MI 48109, USA",0000-0002-2450-1366
Lange,Johannes Ulf,J.~U.~Lange,False,"University of Michigan, Ann Arbor, MI 48109, USA",0000-0002-2450-1366
Blake,Chris,C.~Blake,False,"Centre for Astrophysics \& Supercomputing, Swinburne University of Technology, P.O. Box 218, Hawthorn, VIC 3122, Australia",0000-0002-5423-5919
Saulder,Christoph,C.~Saulder,False,"Max Planck Institute for Extraterrestrial Physics, Gie\ss enbachstra\ss e 1, 85748 Garching, Germany",0000-0002-0408-5633
Saulder,Christoph,C.~Saulder,False,"Universit\""ats-Sternwarte M\""unchen, Scheinerstra\ss e 1, 81679 Munich, Germany",0000-0002-0408-5633
Jeffrey,Niall,N.~Jeffrey,False,"Department of Physics \& Astronomy, University College London, Gower Street, London, WC1E 6BT, UK",0000-0003-2927-1800
DeRose,Joseph,J.~DeRose,False,"Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA 94720, USA",0000-0002-0728-0960
Beltz-Mohrmann,Gillian,G.~Beltz-Mohrmann,False,"Argonne National Laboratory, High-Energy Physics Division, 9700 S. Cass Avenue, Argonne, IL 60439, USA",
Emas,Ni Putu Audita Placida,N.~Emas,False,"Centre for Astrophysics \& Supercomputing, Swinburne University of Technology, P.O. Box 218, Hawthorn, VIC 3122, Australia",
Garcia-Quintero,Cristhian,C.~Garcia-Quintero,False,"Department of Physics, The University of Texas at Dallas, Richardson, TX 75080, USA",0000-0003-1481-4294
Hadzhiyska,Boryana,B.~Hadzhiyska,False,"Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA 94720, USA",0000-0002-2312-3121
Hadzhiyska,Boryana,B.~Hadzhiyska,False,"University of California, Berkeley, 110 Sproul Hall \#5800 Berkeley, CA 94720, USA",0000-0002-2312-3121
Heydenreich,Sven,S.~Heydenreich,False,"Department of Astronomy and Astrophysics, UCO/Lick Observatory, University of California, 1156 High Street, Santa Cruz, CA 95064, USA",
Ishak,Mustapha,M.~Ishak,False,"Department of Physics, The University of Texas at Dallas, Richardson, TX 75080, USA",0000-0002-6024-466X
Joudaki,Shahab,S.~Joudaki,False,"Institute of Cosmology and Gravitation, University of Portsmouth, Dennis Sciama Building, Portsmouth, PO1 3FX, UK",0000-0001-8820-673X
Jullo,Eric,E.~Jullo,False,"Aix Marseille Univ, CNRS, CNES, LAM, Marseille, France",0000-0002-9253-053X
Krolewski,Alex,A.~Krolewski,False,"Department of Physics and Astronomy, University of Waterloo, 200 University Ave W, Waterloo, ON N2L 3G1, Canada",
Krolewski,Alex,A.~Krolewski,False,"Perimeter Institute for Theoretical Physics, 31 Caroline St. North, Waterloo, ON N2L 2Y5, Canada",
Krolewski,Alex,A.~Krolewski,False,"Waterloo Centre for Astrophysics, University of Waterloo, 200 University Ave W, Waterloo, ON N2L 3G1, Canada",
Leauthaud,Alexie,A.~Leauthaud,False,"Department of Astronomy and Astrophysics, UCO/Lick Observatory, University of California, 1156 High Street, Santa Cruz, CA 95064, USA",0000-0002-3677-3617
Leauthaud,Alexie,A.~Leauthaud,False,"Department of Astronomy and Astrophysics, University of California, Santa Cruz, 1156 High Street, Santa Cruz, CA 95065, USA",0000-0002-3677-3617
Medina Varela,Leonel,L.~Medina-Varela,False,"Department of Physics, The University of Texas at Dallas, Richardson, TX 75080, USA",
