# ibin, ilens, itom, ibin, R[Mpc/h]
  1 1 1  1  0.101
  2 1 1  2  0.160
  3 1 1  3  0.253
  4 1 1  4  0.401
  5 1 1  5  0.635
  6 1 1  6  1.007
  7 1 1  7  1.596
  8 1 1  8  2.530
  9 1 1  9  4.009
 10 1 1 10  6.355
 11 1 1 11 10.071
 12 1 1 12 15.962
 13 1 1 13 25.298
 14 1 1 14 40.095
 15 1 1 15 63.546
 16 1 2  1  0.101
 17 1 2  2  0.160
 18 1 2  3  0.253
 19 1 2  4  0.401
 20 1 2  5  0.635
 21 1 2  6  1.007
 22 1 2  7  1.596
 23 1 2  8  2.530
 24 1 2  9  4.009
 25 1 2 10  6.355
 26 1 2 11 10.071
 27 1 2 12 15.962
 28 1 2 13 25.298
 29 1 2 14 40.095
 30 1 2 15 63.546
 31 1 3  1  0.101
 32 1 3  2  0.160
 33 1 3  3  0.253
 34 1 3  4  0.401
 35 1 3  5  0.635
 36 1 3  6  1.007
 37 1 3  7  1.596
 38 1 3  8  2.530
 39 1 3  9  4.009
 40 1 3 10  6.355
 41 1 3 11 10.071
 42 1 3 12 15.962
 43 1 3 13 25.298
 44 1 3 14 40.095
 45 1 3 15 63.546
 46 1 4  1  0.101
 47 1 4  2  0.160
 48 1 4  3  0.253
 49 1 4  4  0.401
 50 1 4  5  0.635
 51 1 4  6  1.007
 52 1 4  7  1.596
 53 1 4  8  2.530
 54 1 4  9  4.009
 55 1 4 10  6.355
 56 1 4 11 10.071
 57 1 4 12 15.962
 58 1 4 13 25.298
 59 1 4 14 40.095
 60 1 4 15 63.546
 61 2 1  1  0.101
 62 2 1  2  0.160
 63 2 1  3  0.253
 64 2 1  4  0.401
 65 2 1  5  0.635
 66 2 1  6  1.007
 67 2 1  7  1.596
 68 2 1  8  2.530
 69 2 1  9  4.009
 70 2 1 10  6.355
 71 2 1 11 10.071
 72 2 1 12 15.962
 73 2 1 13 25.298
 74 2 1 14 40.095
 75 2 1 15 63.546
 76 2 2  1  0.101
 77 2 2  2  0.160
 78 2 2  3  0.253
 79 2 2  4  0.401
 80 2 2  5  0.635
 81 2 2  6  1.007
 82 2 2  7  1.596
 83 2 2  8  2.530
 84 2 2  9  4.009
 85 2 2 10  6.355
 86 2 2 11 10.071
 87 2 2 12 15.962
 88 2 2 13 25.298
 89 2 2 14 40.095
 90 2 2 15 63.546
 91 2 3  1  0.101
 92 2 3  2  0.160
 93 2 3  3  0.253
 94 2 3  4  0.401
 95 2 3  5  0.635
 96 2 3  6  1.007
 97 2 3  7  1.596
 98 2 3  8  2.530
 99 2 3  9  4.009
100 2 3 10  6.355
101 2 3 11 10.071
102 2 3 12 15.962
103 2 3 13 25.298
104 2 3 14 40.095
105 2 3 15 63.546
106 2 4  1  0.101
107 2 4  2  0.160
108 2 4  3  0.253
109 2 4  4  0.401
110 2 4  5  0.635
111 2 4  6  1.007
112 2 4  7  1.596
113 2 4  8  2.530
114 2 4  9  4.009
115 2 4 10  6.355
116 2 4 11 10.071
117 2 4 12 15.962
118 2 4 13 25.298
119 2 4 14 40.095
120 2 4 15 63.546
121 3 1  1  0.101
122 3 1  2  0.160
123 3 1  3  0.253
124 3 1  4  0.401
125 3 1  5  0.635
126 3 1  6  1.007
127 3 1  7  1.596
128 3 1  8  2.530
129 3 1  9  4.009
130 3 1 10  6.355
131 3 1 11 10.071
132 3 1 12 15.962
133 3 1 13 25.298
134 3 1 14 40.095
135 3 1 15 63.546
136 3 2  1  0.101
137 3 2  2  0.160
138 3 2  3  0.253
139 3 2  4  0.401
140 3 2  5  0.635
141 3 2  6  1.007
142 3 2  7  1.596
143 3 2  8  2.530
144 3 2  9  4.009
145 3 2 10  6.355
146 3 2 11 10.071
147 3 2 12 15.962
148 3 2 13 25.298
149 3 2 14 40.095
150 3 2 15 63.546
151 3 3  1  0.101
152 3 3  2  0.160
153 3 3  3  0.253
154 3 3  4  0.401
155 3 3  5  0.635
156 3 3  6  1.007
157 3 3  7  1.596
158 3 3  8  2.530
159 3 3  9  4.009
160 3 3 10  6.355
161 3 3 11 10.071
162 3 3 12 15.962
163 3 3 13 25.298
164 3 3 14 40.095
165 3 3 15 63.546
166 3 4  1  0.101
167 3 4  2  0.160
168 3 4  3  0.253
169 3 4  4  0.401
170 3 4  5  0.635
171 3 4  6  1.007
172 3 4  7  1.596
173 3 4  8  2.530
174 3 4  9  4.009
175 3 4 10  6.355
176 3 4 11 10.071
177 3 4 12 15.962
178 3 4 13 25.298
179 3 4 14 40.095
180 3 4 15 63.546
