# ibin, ilens, itom, ibin, theta[deg]
  1 1 1  1  0.006
  2 1 1  2  0.010
  3 1 1  3  0.016
  4 1 1  4  0.025
  5 1 1  5  0.040
  6 1 1  6  0.063
  7 1 1  7  0.100
  8 1 1  8  0.158
  9 1 1  9  0.251
 10 1 1 10  0.397
 11 1 1 11  0.629
 12 1 1 12  0.998
 13 1 1 13  1.581
 14 1 1 14  2.506
 15 1 1 15  3.972
 16 1 2  1  0.006
 17 1 2  2  0.010
 18 1 2  3  0.016
 19 1 2  4  0.025
 20 1 2  5  0.040
 21 1 2  6  0.063
 22 1 2  7  0.100
 23 1 2  8  0.158
 24 1 2  9  0.251
 25 1 2 10  0.397
 26 1 2 11  0.629
 27 1 2 12  0.998
 28 1 2 13  1.581
 29 1 2 14  2.506
 30 1 2 15  3.972
 31 1 3  1  0.006
 32 1 3  2  0.010
 33 1 3  3  0.016
 34 1 3  4  0.025
 35 1 3  5  0.040
 36 1 3  6  0.063
 37 1 3  7  0.100
 38 1 3  8  0.158
 39 1 3  9  0.251
 40 1 3 10  0.397
 41 1 3 11  0.629
 42 1 3 12  0.998
 43 1 3 13  1.581
 44 1 3 14  2.506
 45 1 3 15  3.972
 46 1 4  1  0.006
 47 1 4  2  0.010
 48 1 4  3  0.016
 49 1 4  4  0.025
 50 1 4  5  0.040
 51 1 4  6  0.063
 52 1 4  7  0.100
 53 1 4  8  0.158
 54 1 4  9  0.251
 55 1 4 10  0.397
 56 1 4 11  0.629
 57 1 4 12  0.998
 58 1 4 13  1.581
 59 1 4 14  2.506
 60 1 4 15  3.972
 61 2 1  1  0.006
 62 2 1  2  0.010
 63 2 1  3  0.016
 64 2 1  4  0.025
 65 2 1  5  0.040
 66 2 1  6  0.063
 67 2 1  7  0.100
 68 2 1  8  0.158
 69 2 1  9  0.251
 70 2 1 10  0.397
 71 2 1 11  0.629
 72 2 1 12  0.998
 73 2 1 13  1.581
 74 2 1 14  2.506
 75 2 1 15  3.972
 76 2 2  1  0.006
 77 2 2  2  0.010
 78 2 2  3  0.016
 79 2 2  4  0.025
 80 2 2  5  0.040
 81 2 2  6  0.063
 82 2 2  7  0.100
 83 2 2  8  0.158
 84 2 2  9  0.251
 85 2 2 10  0.397
 86 2 2 11  0.629
 87 2 2 12  0.998
 88 2 2 13  1.581
 89 2 2 14  2.506
 90 2 2 15  3.972
 91 2 3  1  0.006
 92 2 3  2  0.010
 93 2 3  3  0.016
 94 2 3  4  0.025
 95 2 3  5  0.040
 96 2 3  6  0.063
 97 2 3  7  0.100
 98 2 3  8  0.158
 99 2 3  9  0.251
100 2 3 10  0.397
101 2 3 11  0.629
102 2 3 12  0.998
103 2 3 13  1.581
104 2 3 14  2.506
105 2 3 15  3.972
106 2 4  1  0.006
107 2 4  2  0.010
108 2 4  3  0.016
109 2 4  4  0.025
110 2 4  5  0.040
111 2 4  6  0.063
112 2 4  7  0.100
113 2 4  8  0.158
114 2 4  9  0.251
115 2 4 10  0.397
116 2 4 11  0.629
117 2 4 12  0.998
118 2 4 13  1.581
119 2 4 14  2.506
120 2 4 15  3.972
121 3 1  1  0.006
122 3 1  2  0.010
123 3 1  3  0.016
124 3 1  4  0.025
125 3 1  5  0.040
126 3 1  6  0.063
127 3 1  7  0.100
128 3 1  8  0.158
129 3 1  9  0.251
130 3 1 10  0.397
131 3 1 11  0.629
132 3 1 12  0.998
133 3 1 13  1.581
134 3 1 14  2.506
135 3 1 15  3.972
136 3 2  1  0.006
137 3 2  2  0.010
138 3 2  3  0.016
139 3 2  4  0.025
140 3 2  5  0.040
141 3 2  6  0.063
142 3 2  7  0.100
143 3 2  8  0.158
144 3 2  9  0.251
145 3 2 10  0.397
146 3 2 11  0.629
147 3 2 12  0.998
148 3 2 13  1.581
149 3 2 14  2.506
150 3 2 15  3.972
151 3 3  1  0.006
152 3 3  2  0.010
153 3 3  3  0.016
154 3 3  4  0.025
155 3 3  5  0.040
156 3 3  6  0.063
157 3 3  7  0.100
158 3 3  8  0.158
159 3 3  9  0.251
160 3 3 10  0.397
161 3 3 11  0.629
162 3 3 12  0.998
163 3 3 13  1.581
164 3 3 14  2.506
165 3 3 15  3.972
166 3 4  1  0.006
167 3 4  2  0.010
168 3 4  3  0.016
169 3 4  4  0.025
170 3 4  5  0.040
171 3 4  6  0.063
172 3 4  7  0.100
173 3 4  8  0.158
174 3 4  9  0.251
175 3 4 10  0.397
176 3 4 11  0.629
177 3 4 12  0.998
178 3 4 13  1.581
179 3 4 14  2.506
180 3 4 15  3.972
