# ibin, ilens, itom, ibin, theta[deg]
  1 1 1  1  0.006
  2 1 1  2  0.010
  3 1 1  3  0.016
  4 1 1  4  0.025
  5 1 1  5  0.040
  6 1 1  6  0.063
  7 1 1  7  0.100
  8 1 1  8  0.158
  9 1 1  9  0.251
 10 1 1 10  0.397
 11 1 1 11  0.629
 12 1 1 12  0.998
 13 1 1 13  1.581
 14 1 1 14  2.506
 15 1 1 15  3.972
 16 1 2  1  0.006
 17 1 2  2  0.010
 18 1 2  3  0.016
 19 1 2  4  0.025
 20 1 2  5  0.040
 21 1 2  6  0.063
 22 1 2  7  0.100
 23 1 2  8  0.158
 24 1 2  9  0.251
 25 1 2 10  0.397
 26 1 2 11  0.629
 27 1 2 12  0.998
 28 1 2 13  1.581
 29 1 2 14  2.506
 30 1 2 15  3.972
 31 1 3  1  0.006
 32 1 3  2  0.010
 33 1 3  3  0.016
 34 1 3  4  0.025
 35 1 3  5  0.040
 36 1 3  6  0.063
 37 1 3  7  0.100
 38 1 3  8  0.158
 39 1 3  9  0.251
 40 1 3 10  0.397
 41 1 3 11  0.629
 42 1 3 12  0.998
 43 1 3 13  1.581
 44 1 3 14  2.506
 45 1 3 15  3.972
 46 1 4  1  0.006
 47 1 4  2  0.010
 48 1 4  3  0.016
 49 1 4  4  0.025
 50 1 4  5  0.040
 51 1 4  6  0.063
 52 1 4  7  0.100
 53 1 4  8  0.158
 54 1 4  9  0.251
 55 1 4 10  0.397
 56 1 4 11  0.629
 57 1 4 12  0.998
 58 1 4 13  1.581
 59 1 4 14  2.506
 60 1 4 15  3.972
 61 1 5  1  0.006
 62 1 5  2  0.010
 63 1 5  3  0.016
 64 1 5  4  0.025
 65 1 5  5  0.040
 66 1 5  6  0.063
 67 1 5  7  0.100
 68 1 5  8  0.158
 69 1 5  9  0.251
 70 1 5 10  0.397
 71 1 5 11  0.629
 72 1 5 12  0.998
 73 1 5 13  1.581
 74 1 5 14  2.506
 75 1 5 15  3.972
 76 2 1  1  0.006
 77 2 1  2  0.010
 78 2 1  3  0.016
 79 2 1  4  0.025
 80 2 1  5  0.040
 81 2 1  6  0.063
 82 2 1  7  0.100
 83 2 1  8  0.158
 84 2 1  9  0.251
 85 2 1 10  0.397
 86 2 1 11  0.629
 87 2 1 12  0.998
 88 2 1 13  1.581
 89 2 1 14  2.506
 90 2 1 15  3.972
 91 2 2  1  0.006
 92 2 2  2  0.010
 93 2 2  3  0.016
 94 2 2  4  0.025
 95 2 2  5  0.040
 96 2 2  6  0.063
 97 2 2  7  0.100
 98 2 2  8  0.158
 99 2 2  9  0.251
100 2 2 10  0.397
101 2 2 11  0.629
102 2 2 12  0.998
103 2 2 13  1.581
104 2 2 14  2.506
105 2 2 15  3.972
106 2 3  1  0.006
107 2 3  2  0.010
