180 180
1 1 48.62159504800802
1 2 0.014801405422945295
1 3 0.028319541047855636
1 4 0.03651312794573957
1 5 0.01195382426609505
1 6 0.003258184674681695
1 7 0.0007518398107041428
1 8 0.00016686561965362296
1 9 3.1444436361066834e-05
1 10 -3.927902698531419e-06
1 11 9.482028666796025e-06
1 12 1.1824133982625177e-06
1 13 1.3791539115010775e-07
1 14 3.720247569355236e-07
1 15 7.266015666004101e-08
1 16 8.136141822855137e-05
1 17 0.00018550853874046172
1 18 0.00036711884481011004
1 19 0.000497326768332188
1 20 0.00020359463566695755
1 21 8.479581009693545e-05
1 22 3.386796168304899e-05
1 23 1.254102598492871e-05
1 24 4.5363443872966295e-06
1 25 1.818175541735938e-06
1 26 1.1173361781673947e-06
1 27 5.686707203452879e-07
1 28 2.9563552049064306e-07
1 29 1.368895531258693e-07
1 30 4.7098478965996875e-08
1 31 9.630830489637169e-05
1 32 0.00022681523135013122
1 33 0.0004500331188687592
1 34 0.0005968185187919196
1 35 0.00024156633529539672
1 36 9.611876938614272e-05
1 37 3.611246329921414e-05
1 38 1.3296629392732067e-05
1 39 4.906411766141203e-06
1 40 1.970266760561422e-06
1 41 1.2016921848868961e-06
1 42 6.097457014895262e-07
1 43 3.182191900354609e-07
1 44 1.4577463769181395e-07
1 45 4.9481387670766985e-08
1 46 0.00010356583122405507
1 47 0.0002435332215786228
1 48 0.00048752041095596383
1 49 0.0006476717628013052
1 50 0.0002482268044477411
1 51 9.707324849995734e-05
1 52 3.81010586555137e-05
1 53 1.4217127321403137e-05
1 54 5.189312019856953e-06
1 55 2.1077104824890873e-06
1 56 1.3041378771128335e-06
1 57 6.357822236575152e-07
1 58 3.1960903635113045e-07
1 59 1.4315712311245094e-07
1 60 4.6932142072192345e-08
1 61 3.3925327141620205e-06
1 62 7.771814433131637e-06
1 63 1.586278092221402e-05
1 64 2.440586762176137e-05
1 65 2.1119008791170576e-05
1 66 1.3491168676406655e-05
1 67 7.032408600113365e-06
1 68 2.845024309148171e-06
1 69 1.0640341377041827e-06
1 70 4.6383410460043747e-07
1 71 2.5467401827835224e-07
1 72 1.536840839947927e-07
1 73 8.871487193755953e-08
1 74 4.284957270214623e-08
1 75 1.5687498644400994e-08
1 76 3.058303349458815e-06
1 77 7.0870580395260585e-06
1 78 1.4719431316416704e-05
1 79 2.3344327763689645e-05
1 80 2.0497848640136524e-05
1 81 1.3733420322328364e-05
1 82 7.15643246470413e-06
1 83 2.8410758482101606e-06
1 84 1.0673850862087968e-06
