180 180
1 1 6673.592044479914
1 2 0.15817358477285318
1 3 0.3099506852176201
1 4 0.37541695072815967
1 5 0.12512380868076542
1 6 0.031213722190482546
1 7 0.006718669576548149
1 8 0.0016075381925399655
1 9 0.0003501728225481124
1 10 -3.744496468285747e-05
1 11 0.00010263518437866962
1 12 1.0213536748844188e-05
1 13 -1.9510986471315242e-07
1 14 2.7554591887118277e-06
1 15 3.8675534383850666e-07
1 16 0.000547199139888967
1 17 0.0012144631277051234
1 18 0.002300186552475949
1 19 0.0029861902067553096
1 20 0.0011398074583940931
1 21 0.00039354992432572234
1 22 0.00013279551689765074
1 23 4.6920177986885916e-05
1 24 1.4422974817767e-05
1 25 3.6704727525727396e-06
1 26 2.1017094126203004e-06
1 27 7.468705810775116e-07
1 28 3.302762474483334e-07
1 29 1.7190402728682695e-07
1 30 6.86677534577302e-08
1 31 0.00023782413446259325
1 32 0.0005697976679648241
1 33 0.001172157016574607
1 34 0.0014737316581466611
1 35 0.0005359448481941576
1 36 0.00018343047484412382
1 37 6.25795538888641e-05
1 38 2.1395906866823746e-05
1 39 6.514313593395259e-06
1 40 1.6019337170675023e-06
1 41 9.97243478185416e-07
1 42 3.4063581936730354e-07
1 43 1.4998374504064168e-07
1 44 8.222586271965194e-08
1 45 3.210458280110395e-08
1 46 0.00021382898934013187
1 47 0.0004858913994041853
1 48 0.0009413588787298176
1 49 0.0011877450001609613
1 50 0.0004436852016321615
1 51 0.00015388910855125942
1 52 5.048810842941469e-05
1 53 1.7248003755565874e-05
1 54 5.238809702794233e-06
1 55 1.1876070430569294e-06
1 56 8.39704105336634e-07
1 57 2.772630788115946e-07
1 58 1.2270225991527743e-07
1 59 6.675425677178294e-08
1 60 2.497389556122593e-08
1 61 2.0982178171535022e-07
1 62 4.917168956140556e-07
1 63 1.0285300421934574e-06
1 64 1.6050431488686953e-06
1 65 1.344967610291508e-06
1 66 8.139111610335553e-07
1 67 4.0679373473856513e-07
1 68 1.7400171563996926e-07
1 69 7.453062631152083e-08
1 70 3.7664440011916013e-08
1 71 2.311482342878325e-08
1 72 1.4172010752254683e-08
1 73 7.99641816777644e-09
1 74 3.836665046881327e-09
1 75 1.3722443892973497e-09
1 76 2.117934880168586e-07
1 77 4.982055624577867e-07
1 78 1.0481461128965583e-06
1 79 1.6235565181592086e-06
1 80 1.302828259911901e-06
1 81 8.075420337500576e-07
1 82 4.1598577426790575e-07
1 83 1.6907708145814562e-07
1 84 7.206376244135934e-08
1 85 3.681784170886427e-08
1 86 2.2508101746169403e-08
1 87 1.4394129870876087e-08
1 88 8.265103769217342e-09
1 89 3.914765590876405e-09
1 90 1.3242757156218751e-09
1 91 2.30680821176552e-07
1 92 5.329982721170465e-07
1 93 1.0902841407141536e-06
1 94 1.6733035806686847e-06
1 95 1.3572501937159884e-06
1 96 8.166119736856534e-07
1 97 4.0770239226883955e-07
1 98 1.71778366747953e-07
1 99 7.410488348960259e-08
1 100 3.833605315919949e-08
1 101 2.3345563851299273e-08
1 102 1.4209423194576176e-08
1 103 7.95846283535377e-09
1 104 3.6742392243088944e-09
1 105 1.2660255088383072e-09
1 106 2.2999737519952637e-07
1 107 5.229445524077187e-07
1 108 1.0419088632600935e-06
1 109 1.5787185857155838e-06
1 110 1.3234452475381643e-06
1 111 8.076181907832607e-07
1 112 3.9873650569621027e-07
1 113 1.6809336418417995e-07
1 114 7.457081246417062e-08
1 115 3.8365829849379734e-08
1 116 2.2866335495215485e-08
1 117 1.403213284902464e-08
1 118 7.979299543548149e-09
1 119 3.7052372554638165e-09
1 120 1.2392389239077583e-09
1 121 1.9738937918109826e-07
1 122 4.5601894181170066e-07
1 123 9.322166053913141e-07
1 124 1.4064902291708114e-06
1 125 1.0850041139271902e-06
1 126 6.626494409158002e-07
1 127 3.2775299263521124e-07
1 128 1.4245679557906178e-07
1 129 6.327468138808262e-08
1 130 3.3637784342214344e-08
1 131 2.1521945981703895e-08
1 132 1.3034665152557458e-08
1 133 7.344630624860755e-09
1 134 3.6356850518365816e-09
1 135 1.246338496099237e-09
1 136 1.808737207108174e-07
1 137 4.231289142763632e-07
1 138 8.822212330601005e-07
1 139 1.3699222689014016e-06
1 140 1.0756060876420976e-06
1 141 6.716169727578285e-07
1 142 3.2665326497679984e-07
1 143 1.4172674849866536e-07
1 144 6.225191122692672e-08
1 145 3.5097750762883083e-08
1 146 2.1518564328058192e-08
1 147 1.3639983926603018e-08
1 148 7.804777828561757e-09
1 149 3.5304675112528035e-09
1 150 1.2504122187089106e-09
1 151 2.0358476501017273e-07
1 152 4.6723810443416844e-07
1 153 9.450216050950063e-07
1 154 1.4111388419223167e-06
1 155 1.1624339405480652e-06
1 156 6.970187655021111e-07
1 157 3.3244699774986165e-07
1 158 1.4121912461043914e-07
1 159 6.271045866688954e-08
1 160 3.4096325815739114e-08
1 161 2.004138455762907e-08
1 162 1.304749892220449e-08
1 163 7.606918325002497e-09
1 164 3.5573204474689973e-09
1 165 1.1688227802335413e-09
1 166 1.9349859017602922e-07
1 167 4.45617084369471e-07
1 168 9.063255182236302e-07
1 169 1.36711388518083e-06
1 170 1.1515730424528015e-06
1 171 6.726612896828954e-07
1 172 3.354159672146222e-07
1 173 1.463692274145517e-07
1 174 6.377917547723563e-08
1 175 3.51080064535544e-08
1 176 2.1753466491078964e-08
1 177 1.3103912250113409e-08
1 178 7.437746496960088e-09
1 179 3.5245258982992025e-09
1 180 1.2043798675006485e-09
2 1 0.15817358477285318
2 2 2758.498896646488
2 3 0.720988894910099
2 4 0.8847536838800085
2 5 0.3208486664063688
2 6 0.07802299180966259
2 7 0.017519916292125858
2 8 0.004199186824460265
2 9 0.0009251627838691803
2 10 -3.0176736637609442e-05
2 11 0.00024201446585008188
2 12 2.8025610952855825e-05
2 13 1.4558382041148727e-06
2 14 6.474630740879584e-06
2 15 1.017884736892622e-06
2 16 0.0012686294497354052
2 17 0.002819744033858738
2 18 0.005362545747643629
2 19 0.007056706335708424
2 20 0.0029059634702896563
2 21 0.000990884657109441
2 22 0.0003412434053506653
2 23 0.00012102047402382852
2 24 3.711762588566085e-05
2 25 9.86623860480219e-06
2 26 5.240245787030344e-06
2 27 1.9250821287604615e-06
2 28 8.59703514075755e-07
2 29 4.356261280525702e-07
2 30 1.760806101044453e-07
2 31 0.000551271456774423
2 32 0.0013227056401849812
2 33 0.00273213948887781
2 34 0.003481714281736325
2 35 0.0013670078295343895
2 36 0.0004616312803758263
2 37 0.00016093116095334495
2 38 5.521760083150151e-05
2 39 1.6776825328146544e-05
2 40 4.3442207539265135e-06
2 41 2.480574856356505e-06
2 42 8.785398205753782e-07
2 43 3.9085530610522903e-07
2 44 2.0827400658363773e-07
2 45 8.232853902860083e-08
2 46 0.0004955347388960576
2 47 0.0011276554379494488
2 48 0.0021936062347328728
2 49 0.0028052221223534408
2 50 0.0011323902496124052
2 51 0.00038705154296838837
2 52 0.00012991578861574544
2 53 4.452643512824781e-05
2 54 1.3499098251529638e-05
2 55 3.238981239872796e-06
2 56 2.0858829909135917e-06
2 57 7.153679863088307e-07
2 58 3.200269821740643e-07
2 59 1.6902394150959764e-07
2 60 6.404459106098931e-08
2 61 4.962765232147977e-07
2 62 1.1650495298627836e-06
2 63 2.4486176111006637e-06
2 64 3.872450604843614e-06
2 65 3.3690442503930026e-06
2 66 2.0680609973871466e-06
2 67 1.0373578242300712e-06
2 68 4.4710097885752724e-07
2 69 1.9080369572417738e-07
2 70 9.654554327080241e-08
2 71 5.912769009800791e-08
2 72 3.627399107418131e-08
2 73 2.046999893420387e-08
2 74 9.81622579602068e-09
2 75 3.5128148414564637e-09
2 76 5.009400597652629e-07
2 77 1.1804234540113218e-06
2 78 2.4953175169991584e-06
2 79 3.917117384149375e-06
2 80 3.2634882986917268e-06
2 81 2.0518777278203925e-06
2 82 1.0607982887999638e-06
2 83 4.344470302736846e-07
2 84 1.8448834904631775e-07
2 85 9.437545145277963e-08
2 86 5.757569677494139e-08
2 87 3.684251639265074e-08
2 88 2.1157806132343506e-08
2 89 1.0016048445451833e-08
2 90 3.3900196089698727e-09
2 91 5.456129243108912e-07
2 92 1.2628595679474775e-06
2 93 2.5956353616691793e-06
2 94 4.037140975066415e-06
2 95 3.3998112121767517e-06
2 96 2.0749234727707765e-06
2 97 1.039674976432972e-06
2 98 4.41388038256303e-07
2 99 1.8971376386837213e-07
2 100 9.826709431873473e-08
2 101 5.971792381697382e-08
2 102 3.636975014623939e-08
2 103 2.0372837230308712e-08
2 104 9.400654321838584e-09
2 105 3.240904631708423e-09
2 106 5.439964181955082e-07
2 107 1.2390387850433282e-06
2 108 2.480468520199699e-06
2 109 3.80893793817396e-06
2 110 3.315132325723449e-06
2 111 2.0520712346766496e-06
2 112 1.0168112206938288e-06
2 113 4.319193485523207e-07
2 114 1.9090657512855088e-07
2 115 9.834342113334681e-08
2 116 5.8492058267448764e-08
2 117 3.591596638016006e-08
2 118 2.0426177036404653e-08
2 119 9.479963740130424e-09
2 120 3.1723335274431344e-09
2 121 4.665305745231e-07
2 122 1.0798629412200024e-06
2 123 2.2177290653137976e-06
2 124 3.3912252591723886e-06
2 125 2.717937879305343e-06
2 126 1.6839852468030784e-06
2 127 8.358654051888019e-07
2 128 3.660312590564421e-07
2 129 1.619871591851402e-07
2 130 8.621966114087714e-08
2 131 5.505394915481796e-08
2 132 3.336280700645099e-08
2 133 1.8801241652214775e-08
2 134 9.302293792683553e-09
2 135 3.190432641578353e-09
2 136 4.2749575073099364e-07
2 137 1.0019786284982255e-06
2 138 2.0987908381797986e-06
2 139 3.303055296829213e-06
2 140 2.6943958011665736e-06
2 141 1.70677435728862e-06
2 142 8.3306077998186e-07
2 143 3.641554619003866e-07
2 144 1.593688033235147e-07
2 145 8.9961816354981e-08
2 146 5.5045298757310774e-08
2 147 3.491214741523788e-08
2 148 1.9979155044222485e-08
2 149 9.033083324587731e-09
2 150 3.200860737659246e-09
2 151 4.811733933121423e-07
2 152 1.1064301664747072e-06
2 153 2.248191964022078e-06
2 154 3.4024336505682605e-06
2 155 2.911899778674734e-06
2 156 1.7713277117207968e-06
2 157 8.478364827236529e-07
2 158 3.628511632168504e-07
2 159 1.6054271357516213e-07
2 160 8.739498499883792e-08
2 161 5.126661721787816e-08
2 162 3.3395655612447996e-08
2 163 1.947266199785837e-08
2 164 9.101789468909292e-09
2 165 2.992004469049582e-09
2 166 4.5733467939736646e-07
2 167 1.0552311127106605e-06
2 168 2.156134564408889e-06
2 169 3.2962839296251443e-06
2 170 2.884693203181166e-06
2 171 1.709428270785278e-06
2 172 8.554082179035583e-07
2 173 3.76083937448482e-07
2 174 1.6327869574502212e-07
2 175 8.99881035255464e-08
2 176 5.564618734565201e-08
2 177 3.354004804214134e-08
2 178 1.903960544508822e-08
2 179 9.01788106462605e-09
2 180 3.0830250803935132e-09
3 1 0.3099506852176201
3 2 0.720988894910099
3 3 1122.3903272537893
3 4 1.822534884787975
3 5 0.8053891730731705
3 6 0.19074622937562485
3 7 0.04672632457117262
3 8 0.010736367620501931
3 9 0.00259415332298502
3 10 0.0002414949112038908
3 11 0.0005089032477662017
3 12 8.068616432862027e-05
3 13 1.3170164947280387e-05
3 14 1.403068530254369e-05
3 15 2.5092887556860486e-06
3 16 0.0025000616636749384
3 17 0.005579666164759372
3 18 0.010731832457314698
3 19 0.014646008873580228
3 20 0.007217369496082682
3 21 0.0024466010342695027
3 22 0.0008792875571108492
3 23 0.00030689413219999595
3 24 9.631836941659552e-05
3 25 2.7264982333042938e-05
3 26 1.260261150653874e-05
3 27 4.95586022955087e-06
3 28 2.2506069870070746e-06
3 29 1.0898937897080257e-06
3 30 4.4580741975023217e-07
3 31 0.0010858049772705194
3 32 0.0026159176359662343
3 33 0.00546457058966449
3 34 0.00722115056260771
3 35 0.0033979156199669047
3 36 0.0011391762131535165
3 37 0.0004154256339646186
3 38 0.0001400730082584424
3 39 4.3643562717576436e-05
3 40 1.2179058407701667e-05
3 41 5.934741989117496e-06
3 42 2.2642959571288025e-06
3 43 1.0253778262177444e-06
3 44 5.206127402241624e-07
3 45 2.084369484667376e-07
3 46 0.0009753710406165949
3 47 0.002228632255442026
3 48 0.004384134530032009
3 49 0.005813317906633434
3 50 0.0028180860218614346
3 51 0.0009543034682091642
3 52 0.000335842817613377
3 53 0.0001129771382806631
3 54 3.5170899867075586e-05
3 55 9.165132674841814e-06
3 56 4.975425945645095e-06
3 57 1.845155120140006e-06
3 58 8.408729999478063e-07
3 59 4.221847911813481e-07
3 60 1.6214349862289112e-07
3 61 1.033378901354268e-06
3 62 2.437558108723659e-06
3 63 5.187969759697725e-06
3 64 8.491434470497843e-06
3 65 8.08805302402479e-06
3 66 5.167891365810888e-06
3 67 2.623777767455153e-06
3 68 1.131190409970347e-06
3 69 4.8660431886941e-07
3 70 2.4547139686472585e-07
3 71 1.49946773499863e-07
3 72 9.20815088669989e-08
3 73 5.1967638632737506e-08
3 74 2.491143473015938e-08
3 75 8.912491638818893e-09
3 76 1.0430896171578837e-06
3 77 2.469723980225779e-06
3 78 5.2869144452557175e-06
3 79 8.589378916582876e-06
3 80 7.83464521133081e-06
3 81 5.127450885974808e-06
3 82 2.683065477405142e-06
3 83 1.099175214381026e-06
3 84 4.70498367897441e-07
3 85 2.399538405711059e-07
3 86 1.4601094595609438e-07
3 87 9.352471011404937e-08
3 88 5.3713789965563955e-08
3 89 2.5418540922737963e-08
3 90 8.600943341451244e-09
3 91 1.1361103294524457e-06
3 92 2.64219975299435e-06
3 93 5.4994612888897384e-06
3 94 8.852564315490512e-06
3 95 8.161915164086048e-06
3 96 5.1850400511388135e-06
3 97 2.6296385151082523e-06
3 98 1.11673635165594e-06
3 99 4.838246790605728e-07
3 100 2.49848518026337e-07
3 101 1.5144359574377378e-07
3 102 9.23245932252869e-08
3 103 5.172097206801542e-08
3 104 2.3856805194335124e-08
3 105 8.22261825230014e-09
3 106 1.1327443364316074e-06
3 107 2.5923610628478515e-06
3 108 5.255453368602424e-06
3 109 8.35216512865075e-06
3 110 7.958626850621544e-06
3 111 5.127934441543497e-06
3 112 2.571809468478741e-06
3 113 1.092780038664859e-06
3 114 4.868666909492633e-07
3 115 2.500425823939538e-07
3 116 1.4833482245005587e-07
3 117 9.117266335370254e-08
3 118 5.185638701243452e-08
3 119 2.4058075156774764e-08
3 120 8.048643983512441e-09
3 121 9.698770034109757e-07
3 122 2.2553351429170995e-06
3 123 4.690368585072817e-06
3 124 7.423643523546815e-06
3 125 6.5246352148346335e-06
3 126 4.209905863738264e-06
3 127 2.114616194484054e-06
3 128 9.260934626604472e-07
3 129 4.1303175914127156e-07
3 130 2.192244561160694e-07
3 131 1.3961558071695948e-07
3 132 8.469005066462011e-08
3 133 4.773040623416394e-08
3 134 2.3607121234776373e-08
3 135 8.094851739219114e-09
3 136 8.887269566710294e-07
3 137 2.0926707705617353e-06
3 138 4.4388211202184355e-06
3 139 7.230632938906377e-06
3 140 6.4681205044638935e-06
3 141 4.2668778651525255e-06
3 142 2.1075209063608203e-06
3 143 9.213475196828497e-07
3 144 4.0635552546308844e-07
3 145 2.2873936177283596e-07
3 146 1.395936435028279e-07
3 147 8.862298465580178e-08
3 148 5.072075579453817e-08
3 149 2.2923925853116043e-08
3 150 8.121310185825089e-09
3 151 1.0003181662932236e-06
3 152 2.3108218111594938e-06
3 153 4.754795852292384e-06
3 154 7.448179523321613e-06
3 155 6.990256835033396e-06
3 156 4.428259056504361e-06
3 157 2.1449012550493994e-06
3 158 9.180475215152252e-07
3 159 4.0934873936196145e-07
3 160 2.222128665332791e-07
3 161 1.3001099183893415e-07
3 162 8.477343543813783e-08
3 163 4.943493013977932e-08
3 164 2.309828653390306e-08
3 165 7.591394428579902e-09
3 166 9.507595270969203e-07
3 167 2.203890624959419e-06
3 168 4.560099781468196e-06
3 169 7.215809914055969e-06
3 170 6.9249451949506715e-06
3 171 4.273512558664625e-06
3 172 2.1640566283097104e-06
3 173 9.515276831286518e-07
3 174 4.163248943503013e-07
3 175 2.2880620024788652e-07
3 176 1.4111748349061041e-07
3 177 8.513996941065257e-08
3 178 4.833553651629217e-08
3 179 2.288534594992698e-08
3 180 7.822334378366057e-09
4 1 0.37541695072815967
4 2 0.8847536838800085
4 3 1.822534884787975
4 4 412.95275885016827
4 5 1.7560407026515152
4 6 0.45673213347264185
4 7 0.1198827813675854
4 8 0.0269305470475034
4 9 0.006890152507858054
4 10 0.0017256239366654862
4 11 0.000850375653118586
4 12 0.00022855774266760336
4 13 6.413549985183819e-05
4 14 2.5206277875490774e-05
4 15 6.0850583397817785e-06
4 16 0.0030910288355741654
4 17 0.006992575742346153
4 18 0.013948169684839331
4 19 0.021218007634782394
4 20 0.015555688709659166
4 21 0.005772534811923759
4 22 0.002155368296890001
4 23 0.000746157525854334
4 24 0.00023578192289947026
4 25 7.41729681258534e-05
4 26 2.7799166560288852e-05
4 27 1.219852559099086e-05
4 28 5.657372445307663e-06
4 29 2.5675044443270966e-06
4 30 1.0746312598888343e-06
4 31 0.0013399019601749327
4 32 0.003271921679295219
4 33 0.007087531028626573
4 34 0.010438415721726532
4 35 0.007329561902630273
4 36 0.002690621276391307
4 37 0.0010207402619739378
4 38 0.00034104554165633794
4 39 0.00010712655434932904
4 40 3.3709054256281005e-05
4 41 1.2975657443862047e-05
4 42 5.582565229932511e-06
4 43 2.5846090673039215e-06
4 44 1.2247691717439488e-06
4 45 5.024429470814741e-07
4 46 0.0012007799237178122
4 47 0.0027808180172020696
4 48 0.005672175332139239
4 49 0.008382053824867062
4 50 0.006087462177281997
4 51 0.002255138964896053
4 52 0.0008266846602196432
4 53 0.0002753024319612791
4 54 8.648548071109625e-05
4 55 2.563824798072061e-05
4 56 1.0823158736198886e-05
4 57 4.55377533660282e-06
4 58 2.123846600764429e-06
4 59 9.92105194115213e-07
4 60 3.908494294271107e-07
4 61 1.523184673981011e-06
4 62 3.641188278421651e-06
4 63 8.020552811011509e-06
4 64 1.4356244196690498e-05
4 65 1.6765768710379405e-05
4 66 1.1976135983444111e-05
4 67 6.27009757047344e-06
4 68 2.7232198334980065e-06
4 69 1.169145280900308e-06
4 70 5.950985046011829e-07
4 71 3.605074678046128e-07
4 72 2.2191059178852968e-07
4 73 1.2523702011086877e-07
4 74 5.999064867659116e-08
4 75 2.1470362138316542e-08
4 76 1.537498120352006e-06
4 77 3.689237181895818e-06
4 78 8.17352037108708e-06
4 79 1.4521836287236762e-05
4 80 1.624047828950674e-05
4 81 1.188241871048502e-05
4 82 6.411778672709822e-06
4 83 2.646146676906764e-06
4 84 1.1304481385957766e-06
4 85 5.817222434916431e-07
