180 180
1 1 17.319457563710657
1 2 0.007927649952646526
1 3 0.015395149678124921
1 4 0.01954007253032249
1 5 0.006524765657986111
1 6 0.0018951909706031386
1 7 0.00047866677169132693
1 8 0.00012280857494923123
1 9 3.0241811152688974e-05
1 10 3.670098461607235e-06
1 11 8.193785828552897e-06
1 12 2.3582496891222733e-06
1 13 9.895864641883736e-07
1 14 5.814461833089284e-07
1 15 1.6905605583496113e-07
1 16 0.00031979599973408696
1 17 0.000728103459515947
1 18 0.0014227437536465661
1 19 0.0018477124895149803
1 20 0.0007448876858896077
1 21 0.0003107528066472053
1 22 0.00012855071593603843
1 23 5.001442579146938e-05
1 24 1.8865549278038265e-05
1 25 7.834128643403198e-06
1 26 4.749974391757194e-06
1 27 2.453035813999539e-06
1 28 1.2395185337377133e-06
1 29 5.412316199330202e-07
1 30 1.76181015708807e-07
1 31 0.00035922563645897696
1 32 0.0008175422208769091
1 33 0.001595664549598658
1 34 0.0020639861185766627
1 35 0.0008107917014264046
1 36 0.0003333257617604415
1 37 0.0001364434056033472
1 38 5.3318290763459445e-05
1 39 2.030931702835774e-05
1 40 8.469366281757066e-06
1 41 5.161410397642455e-06
1 42 2.6349246400317955e-06
1 43 1.3151277203798431e-06
1 44 5.680161633152903e-07
1 45 1.823249033509394e-07
1 46 0.0003770582522390912
1 47 0.0008579772890799467
1 48 0.0016737609544096774
1 49 0.002161320577531602
1 50 0.0008397356034406451
1 51 0.000343488739832326
1 52 0.00014010020430980485
1 53 5.490094028290512e-05
1 54 2.1005596171498663e-05
1 55 8.770464820669923e-06
1 56 5.349804808432782e-06
1 57 2.7148849829485736e-06
1 58 1.3481672756644108e-06
1 59 5.791668676927471e-07
1 60 1.847640855834559e-07
1 61 1.1831982698915908e-05
1 62 2.7510190795221825e-05
1 63 5.694405407539622e-05
1 64 8.872516993274034e-05
1 65 7.706198595427525e-05
1 66 5.057956781026075e-05
1 67 2.665874866272293e-05
1 68 1.078783717253112e-05
1 69 4.025076930642434e-06
1 70 1.764775313082056e-06
1 71 9.727091403876962e-07
1 72 5.661526679849667e-07
1 73 3.108122177572836e-07
1 74 1.4355380808172942e-07
1 75 4.957675435736523e-08
1 76 1.1831982698915908e-05
1 77 2.7510190795221825e-05
1 78 5.694405407539622e-05
1 79 8.872516993274034e-05
1 80 7.706198595427525e-05
1 81 5.057956781026075e-05
1 82 2.665874866272293e-05
1 83 1.078783717253112e-05
1 84 4.025076930642434e-06
1 85 1.764775313082056e-06
1 86 9.727091403876962e-07
1 87 5.661526679849667e-07
1 88 3.108122177572836e-07
1 89 1.4355380808172942e-07
1 90 4.957675435736523e-08
1 91 1.1831982698915908e-05
1 92 2.7510190795221825e-05
1 93 5.694405407539622e-05
1 94 8.872516993274034e-05
1 95 7.706198595427525e-05
1 96 5.057956781026075e-05
1 97 2.665874866272293e-05
1 98 1.078783717253112e-05
1 99 4.025076930642434e-06
1 100 1.764775313082056e-06
1 101 9.727091403876962e-07
1 102 5.661526679849667e-07
1 103 3.108122177572836e-07
1 104 1.4355380808172942e-07
1 105 4.957675435736523e-08
1 106 1.1831982698915908e-05
1 107 2.7510190795221825e-05
1 108 5.694405407539622e-05
1 109 8.872516993274034e-05
1 110 7.706198595427525e-05
1 111 5.057956781026075e-05
1 112 2.665874866272293e-05
1 113 1.078783717253112e-05
1 114 4.025076930642434e-06
1 115 1.764775313082056e-06
1 116 9.727091403876962e-07
1 117 5.661526679849667e-07
1 118 3.108122177572836e-07
1 119 1.4355380808172942e-07
1 120 4.957675435736523e-08
1 121 1.1227550609094496e-05
1 122 2.6101074090655943e-05
1 123 5.400693432468337e-05
1 124 8.40474552981492e-05
1 125 7.267019886994426e-05
1 126 4.733147719704891e-05
1 127 2.479695778351114e-05
1 128 1.0068639556506634e-05
1 129 3.8210301131990966e-06
1 130 1.7080022896805066e-06
1 131 9.535305894384508e-07
1 132 5.593784150474762e-07
1 133 3.083077645406656e-07
1 134 1.425129374339394e-07
1 135 4.917030580591e-08
1 136 1.1227550609094496e-05
1 137 2.6101074090655943e-05
1 138 5.400693432468337e-05
1 139 8.40474552981492e-05
1 140 7.267019886994426e-05
1 141 4.733147719704891e-05
1 142 2.479695778351114e-05
1 143 1.0068639556506634e-05
1 144 3.8210301131990966e-06
1 145 1.7080022896805066e-06
1 146 9.535305894384508e-07
1 147 5.593784150474762e-07
1 148 3.083077645406656e-07
1 149 1.425129374339394e-07
1 150 4.917030580591e-08
1 151 1.1227550609094496e-05
1 152 2.6101074090655943e-05
1 153 5.400693432468337e-05
1 154 8.40474552981492e-05
1 155 7.267019886994426e-05
1 156 4.733147719704891e-05
1 157 2.479695778351114e-05
1 158 1.0068639556506634e-05
1 159 3.8210301131990966e-06
1 160 1.7080022896805066e-06
1 161 9.535305894384508e-07
1 162 5.593784150474762e-07
1 163 3.083077645406656e-07
1 164 1.425129374339394e-07
1 165 4.917030580591e-08
1 166 1.1227550609094496e-05
1 167 2.6101074090655943e-05
1 168 5.400693432468337e-05
1 169 8.40474552981492e-05
1 170 7.267019886994426e-05
1 171 4.733147719704891e-05
1 172 2.479695778351114e-05
1 173 1.0068639556506634e-05
1 174 3.8210301131990966e-06
1 175 1.7080022896805066e-06
1 176 9.535305894384508e-07
1 177 5.593784150474762e-07
1 178 3.083077645406656e-07
1 179 1.425129374339394e-07
1 180 4.917030580591e-08
2 1 0.007927649952646526
2 2 7.049202988482732
2 3 0.03516554545306931
2 4 0.04522657331295633
2 5 0.01639585749152521
2 6 0.004659891431276473
2 7 0.0012177091158727307
2 8 0.000313341330270556
2 9 7.735723034047564e-05
2 10 1.2495385511960523e-05
2 11 1.9578621430086807e-05
2 12 6.016954744918871e-06
2 13 2.5839960340528705e-06
2 14 1.431879364363376e-06
2 15 4.2619135633273257e-07
2 16 0.000728103459515947
2 17 0.001660255285415192
2 18 0.003257910014854429
2 19 0.004290132364562127
2 20 0.0018618527370342075
2 21 0.0007687067196565552
2 22 0.00032328971155311286
2 23 0.00012634727322633052
2 24 4.7523404118134395e-05
2 25 1.9974159328938476e-05
2 26 1.1843309883429875e-05
2 27 6.169856369258251e-06
2 28 3.1223459738173224e-06
2 29 1.3565655407967264e-06
2 30 4.4281353411128566e-07
2 31 0.0008175422208769091
2 32 0.001863415362998523
2 33 0.003652240864594019
2 34 0.004789912404143214
2 35 0.0020285302306006273
2 36 0.0008239523706762705
2 37 0.00034330026436069197
2 38 0.00013470020128755544
2 39 5.116905192247768e-05
2 40 2.1609226837789318e-05
2 41 1.286478646200329e-05
2 42 6.627798601592943e-06
2 43 3.3134320391964276e-06
2 44 1.4235001598131847e-06
2 45 4.582653586700981e-07
2 46 0.0008579772890799467
2 47 0.0019552296104312417
2 48 0.0038302646022342133
2 49 0.005014751845490058
2 50 0.002101852204426756
2 51 0.0008487939533700818
2 52 0.0003525639567560624
2 53 0.0001386995782688663
2 54 5.2926941721681506e-05
2 55 2.2383466399417052e-05
2 56 1.3332515276583995e-05
2 57 6.829149999391209e-06
