180 180
1 1 533.0136907401192
1 2 0.08803492255300141
1 3 0.17079429297708032
1 4 0.21599220210606754
1 5 0.0697749806998636
1 6 0.018839528755772644
1 7 0.004327400560748245
1 8 0.0010865624786166976
1 9 0.0002543935393348853
1 10 4.6691500481808913e-07
1 11 6.583189451884758e-05
1 12 1.0241597895725968e-05
1 13 2.2299196276904244e-06
1 14 2.669765847348152e-06
1 15 6.887282278413724e-07
1 16 0.0006647452960425188
1 17 0.001512509472460422
1 18 0.0029495295222877337
1 19 0.003801524342326329
1 20 0.0014308114870558626
1 21 0.0005017687777993284
1 22 0.00017356822894353622
1 23 5.9733224989776096e-05
1 24 1.8909432606159094e-05
1 25 5.271106602173625e-06
1 26 3.3399058260202764e-06
1 27 1.3186443239354093e-06
1 28 6.475343036492786e-07
1 29 3.4291322547858425e-07
1 30 1.3272363790366038e-07
1 31 0.0005279095139856438
1 32 0.0012008938595458605
1 33 0.002340491613531851
1 34 0.003009539825495441
1 35 0.0011144059299037093
1 36 0.00038385272479834386
1 37 0.00013006931604082347
1 38 4.4238171793014424e-05
1 39 1.3906864701563858e-05
1 40 3.836224631129003e-06
1 41 2.546287551588301e-06
1 42 1.0078324712034428e-06
1 43 4.966114222937426e-07
1 44 2.627396115328559e-07
1 45 9.99985749451709e-08
1 46 0.0005027460212458274
1 47 0.0011434990398157116
1 48 0.002227787535405031
1 49 0.002860804933442687
1 50 0.0010493587476279452
1 51 0.00035835491439426806
1 52 0.00012031810148020778
1 53 4.07644442089435e-05
1 54 1.2791335443550607e-05
1 55 3.5118501162306205e-06
1 56 2.381368780135332e-06
1 57 9.418878179533074e-07
1 58 4.640888141907635e-07
1 59 2.4531107892729844e-07
1 60 9.267664493157891e-08
1 61 0.0
1 62 0.0
1 63 0.0
1 64 0.0
1 65 0.0
1 66 0.0
1 67 0.0
1 68 0.0
1 69 0.0
1 70 0.0
1 71 0.0
1 72 0.0
1 73 0.0
1 74 0.0
1 75 0.0
1 76 1.008710347014923e-06
1 77 2.3415836900339445e-06
1 78 4.825682055476923e-06
1 79 7.417470616754745e-06
1 80 6.131417201135636e-06
1 81 3.734388745633615e-06
1 82 1.87245699905314e-06
1 83 7.868655282840259e-07
1 84 3.384377672865646e-07
1 85 1.7368645107460804e-07
1 86 1.0627438445192182e-07
1 87 6.584974233127884e-08
1 88 3.725002575893308e-08
1 89 1.7300317709813184e-08
1 90 5.929189746690423e-09
1 91 1.008710347014923e-06
1 92 2.3415836900339445e-06
1 93 4.825682055476923e-06
1 94 7.417470616754745e-06
1 95 6.131417201135636e-06
1 96 3.734388745633615e-06
1 97 1.87245699905314e-06
1 98 7.868655282840259e-07
1 99 3.384377672865646e-07
1 100 1.7368645107460804e-07
1 101 1.0627438445192182e-07
1 102 6.584974233127884e-08
1 103 3.725002575893308e-08
1 104 1.7300317709813184e-08
1 105 5.929189746690423e-09
1 106 1.008710347014923e-06
1 107 2.3415836900339445e-06
1 108 4.825682055476923e-06
1 109 7.417470616754745e-06
1 110 6.131417201135636e-06
1 111 3.734388745633615e-06
1 112 1.87245699905314e-06
1 113 7.868655282840259e-07
1 114 3.384377672865646e-07
1 115 1.7368645107460804e-07
1 116 1.0627438445192182e-07
1 117 6.584974233127884e-08
1 118 3.725002575893308e-08
1 119 1.7300317709813184e-08
1 120 5.929189746690423e-09
1 121 0.0
1 122 0.0
1 123 0.0
1 124 0.0
1 125 0.0
1 126 0.0
1 127 0.0
1 128 0.0
1 129 0.0
1 130 0.0
1 131 0.0
1 132 0.0
1 133 0.0
1 134 0.0
1 135 0.0
1 136 8.818413958487892e-07
1 137 2.0455818417836317e-06
1 138 4.208880273506666e-06
1 139 6.43462856507075e-06
1 140 5.2211864063117735e-06
1 141 3.1120723485549513e-06
1 142 1.5482434496629714e-06
1 143 6.605624438830544e-07
1 144 2.94441934634497e-07
1 145 1.5652671042685062e-07
1 146 9.779222498472298e-08
1 147 6.124761424788971e-08
1 148 3.479252704758714e-08
1 149 1.6163520850021565e-08
1 150 5.532220567704403e-09
1 151 8.818413958487892e-07
1 152 2.0455818417836317e-06
1 153 4.208880273506666e-06
1 154 6.43462856507075e-06
1 155 5.2211864063117735e-06
1 156 3.1120723485549513e-06
1 157 1.5482434496629714e-06
1 158 6.605624438830544e-07
1 159 2.94441934634497e-07
1 160 1.5652671042685062e-07
1 161 9.779222498472298e-08
1 162 6.124761424788971e-08
1 163 3.479252704758714e-08
1 164 1.6163520850021565e-08
1 165 5.532220567704403e-09
1 166 8.818413958487892e-07
1 167 2.0455818417836317e-06
1 168 4.208880273506666e-06
1 169 6.43462856507075e-06
1 170 5.2211864063117735e-06
1 171 3.1120723485549513e-06
1 172 1.5482434496629714e-06
1 173 6.605624438830544e-07
1 174 2.94441934634497e-07
1 175 1.5652671042685062e-07
1 176 9.779222498472298e-08
1 177 6.124761424788971e-08
