180 180
1 1 19.523864115610888
1 2 0.009738750384257127
1 3 0.019465867669779684
1 4 0.02630571290348912
1 5 0.00922908599781277
1 6 0.0026387892394747737
1 7 0.0006697846819152029
1 8 0.00016892745037120873
1 9 3.947778554645452e-05
1 10 4.7566589983417704e-06
1 11 1.1282395226069923e-05
1 12 3.4734022244428124e-06
1 13 1.586223886934142e-06
1 14 1.0638936415767394e-06
1 15 3.70101643984208e-07
1 16 0.0003941317088023144
1 17 0.0008782829822459416
1 18 0.0017622114828749877
1 19 0.002492289524582883
1 20 0.0010552410863315551
1 21 0.0004421637538478117
1 22 0.00017960230554280788
1 23 6.815906616130972e-05
1 24 2.476949691591238e-05
1 25 1.0271700250058197e-05
1 26 6.440375225199855e-06
1 27 3.471490008587544e-06
1 28 1.9166955095366237e-06
1 29 9.644144158802738e-07
1 30 3.797115593524685e-07
1 31 0.0004373247672646342
1 32 0.0009994131523116238
1 33 0.0019635190897734018
1 34 0.002615958963501843
1 35 0.0010609187215640395
1 36 0.00044485987818436104
1 37 0.00018122295396654032
1 38 6.913394970855834e-05
1 39 2.57405001426699e-05
1 40 1.0847906267781758e-05
1 41 6.856662351781215e-06
1 42 3.7042511413801746e-06
1 43 2.048804050615656e-06
1 44 1.030540858798038e-06
1 45 4.048811542337281e-07
1 46 0.00044806560337218613
1 47 0.0010576380700615606
1 48 0.0020636514695797675
1 49 0.0026687342305793346
1 50 0.001070050330002839
1 51 0.0004429296428453919
1 52 0.00017477106838687784
1 53 6.783161622903909e-05
1 54 2.666167632433455e-05
1 55 1.1097812630016733e-05
1 56 7.083830626051407e-06
1 57 3.8494114551418955e-06
1 58 2.194690217368214e-06
1 59 1.1880736227452218e-06
1 60 5.030130735807039e-07
1 61 1.4709488213316719e-05
1 62 3.42446040712847e-05
1 63 7.012388712198139e-05
1 64 0.00011155518872054396
1 65 9.969430044776986e-05
1 66 6.605387064730673e-05
1 67 3.4533844764409164e-05
1 68 1.3735630168586268e-05
1 69 5.013919986843201e-06
1 70 2.2013005271779408e-06
1 71 1.2607660673854594e-06
1 72 7.710344466611913e-07
1 73 4.5086831055658204e-07
1 74 2.2970569250220245e-07
1 75 9.186296775179706e-08
1 76 1.4251792758991271e-05
1 77 3.3676410800875034e-05
1 78 7.071244917843964e-05
1 79 0.00011164377438699072
1 80 0.0001018033583284282
1 81 6.931923517570044e-05
1 82 3.578917276591208e-05
1 83 1.4251489241582716e-05
1 84 5.250735098478948e-06
1 85 2.25208252830843e-06
1 86 1.2514060862603077e-06
1 87 7.338719923944996e-07
1 88 4.1567334846517004e-07
1 89 2.100028348597907e-07
1 90 8.223231895517892e-08
1 91 1.4117492335462699e-05
1 92 3.337609091273731e-05
1 93 7.050274119500745e-05
1 94 0.00011044046947766068
1 95 9.717929569132887e-05
1 96 6.374804887420868e-05
1 97 3.382519310547086e-05
1 98 1.3865113093749013e-05
1 99 5.036028065447395e-06
1 100 2.1685712300663865e-06
1 101 1.2186872034480497e-06
1 102 7.203954729081059e-07
1 103 4.1599829937172246e-07
1 104 2.1345544906026974e-07
1 105 8.483151419732759e-08
1 106 1.3476129718480851e-05
1 107 3.177487278599914e-05
1 108 6.755393516499166e-05
1 109 0.00010671067128850052
1 110 9.477109778802033e-05
1 111 6.153632698689358e-05
1 112 3.213468510084249e-05
1 113 1.3360924088617634e-05
1 114 5.053585672447271e-06
1 115 2.1910964246435814e-06
1 116 1.2169779637708383e-06
1 117 7.418892838308595e-07
1 118 4.3857966338484846e-07
1 119 2.2264141334787297e-07
1 120 8.706036881701222e-08
1 121 1.526421386857202e-05
1 122 3.55704872345574e-05
1 123 7.297408214208497e-05
1 124 0.00010743669620273254
1 125 9.141941547140412e-05
1 126 6.0986678294277714e-05
1 127 3.0434928998675168e-05
1 128 1.2776315347993021e-05
