180 180
1 1 2877.9705512598084
1 2 0.1250300969564617
1 3 0.24361043107010358
1 4 0.3098628933604775
1 5 0.09334602957661749
1 6 0.025705085382816746
1 7 0.005887904726993413
1 8 0.001476577713004106
1 9 0.00033937314374330303
1 10 6.16492685826456e-07
1 11 9.218278029574912e-05
1 12 1.42695539365374e-05
1 13 3.217385845241505e-06
1 14 4.067727838564386e-06
1 15 1.2388443240324373e-06
1 16 0.0008729664002733041
1 17 0.0019937348028551925
1 18 0.0038880300793038636
1 19 0.0049100660773870935
1 20 0.0018519491447719764
1 21 0.0006575537872243636
1 22 0.00023319010960074394
1 23 8.156487867414075e-05
1 24 2.582804258922741e-05
1 25 7.240972323290187e-06
1 26 4.665067723272249e-06
1 27 1.800242778215312e-06
1 28 8.828150670039868e-07
1 29 4.817950077467271e-07
1 30 2.0657205474154938e-07
1 31 0.0006513413712464771
1 32 0.0015489891702732698
1 33 0.003151523281809276
1 34 0.003926749313815343
1 35 0.0014625713387825994
1 36 0.000502228452590108
1 37 0.00016999779819206943
1 38 5.746026017215369e-05
1 39 1.793144561048297e-05
1 40 5.237074383134628e-06
1 41 3.4023641457674416e-06
1 42 1.3757100323185903e-06
1 43 6.97313133768364e-07
1 44 3.6535345532407116e-07
1 45 1.5366819579152292e-07
1 46 0.0006824140864171011
1 47 0.0015236717859037224
1 48 0.0028869928084939767
1 49 0.003652079992705473
1 50 0.0014030142136993598
1 51 0.0004746132685144072
1 52 0.00015964103304953763
1 53 5.25646826606942e-05
1 54 1.680921187206791e-05
1 55 4.7053052569668586e-06
1 56 3.1917027348613277e-06
1 57 1.3142720691347639e-06
1 58 6.71499493107721e-07
1 59 3.639484966464782e-07
1 60 1.502267040543985e-07
1 61 1.363903378808771e-06
1 62 3.105543929041858e-06
1 63 6.202255934780659e-06
1 64 9.617995414947654e-06
1 65 8.135826470145602e-06
1 66 4.83935609163007e-06
1 67 2.4137454861380925e-06
1 68 1.0153426398898075e-06
1 69 4.434119805299445e-07
1 70 2.3260144309954125e-07
1 71 1.4356177820611272e-07
1 72 9.063386793617689e-08
1 73 5.2661412790234216e-08
1 74 2.574521378242378e-08
1 75 9.753504294764225e-09
1 76 1.4875609667940938e-06
1 77 3.432831194103816e-06
1 78 7.008160958131442e-06
1 79 1.0419695080804577e-05
1 80 8.455588855046046e-06
1 81 5.072907798019526e-06
1 82 2.547239682226925e-06
1 83 1.0799739731762603e-06
1 84 4.6056418455801766e-07
1 85 2.3540821861959982e-07
1 86 1.4266749813520025e-07
1 87 8.757365934897713e-08
1 88 5.0204430870266534e-08
1 89 2.4086431201961963e-08
1 90 8.8638408523326e-09
1 91 1.3152823192729185e-06
1 92 3.0707160446138366e-06
1 93 6.38537602631172e-06
1 94 9.886368292383691e-06
1 95 8.055596372137251e-06
1 96 4.8449680849595046e-06
1 97 2.4516454612715757e-06
1 98 1.0471057008717106e-06
1 99 4.480348227836266e-07
1 100 2.330787266881143e-07
1 101 1.4508988354220843e-07
1 102 9.079131215572125e-08
1 103 5.139328254525227e-08
1 104 2.3495289754540406e-08
1 105 8.556089858527849e-09
1 106 1.1901558090415257e-06
1 107 2.816611385649386e-06
1 108 5.980460343463761e-06
1 109 9.453971028853586e-06
1 110 8.02309984583163e-06
1 111 5.014839432749391e-06
1 112 2.4949391288041833e-06
1 113 1.0314323322352005e-06
1 114 4.4036830792641133e-07
1 115 2.238816096394184e-07
1 116 1.3894988982284484e-07
1 117 8.92351966311142e-08
1 118 5.211966640247423e-08
1 119 2.5362267550292356e-08
1 120 9.293088710734665e-09
1 121 1.1881813756883657e-06
1 122 2.727211227315138e-06
1 123 5.516865762691553e-06
1 124 8.239927522106729e-06
1 125 6.77522121597e-06
1 126 3.9806592213652695e-06
1 127 1.9840746896456976e-06
1 128 8.766624993835388e-07
1 129 3.907566584012007e-07
1 130 2.0569033803632084e-07
1 131 1.3041933577037688e-07
1 132 8.367559632944127e-08
1 133 4.881987793009347e-08
1 134 2.2447421316631094e-08
1 135 8.253135977128803e-09
1 136 1.1602389893209482e-06
1 137 2.699639890282159e-06
1 138 5.5815947108188095e-06
1 139 8.597628007820374e-06
1 140 7.043880334449168e-06
1 141 4.213653051981236e-06
1 142 2.0570568817786e-06
1 143 8.811360144430306e-07
1 144 4.04392501702139e-07
1 145 2.1263371179200639e-07
1 146 1.3344676613406524e-07
1 147 8.23096949227993e-08
1 148 4.663970967959982e-08
1 149 2.187493723431837e-08
1 150 8.095638463906195e-09
1 151 1.1538871157216664e-06
1 152 2.6720693080416815e-06
1 153 5.48300779531795e-06
1 154 8.359331087029252e-06
1 155 6.874595837820238e-06
1 156 4.093367281935523e-06
1 157 2.0510166561623146e-06
1 158 9.168338634687329e-07
1 159 3.881964214451914e-07
1 160 2.1197370721848758e-07
1 161 1.367742828875431e-07
1 162 8.44477865223767e-08
1 163 4.7289110682862586e-08
1 164 2.2554356330267333e-08
1 165 8.0507599359244e-09
1 166 1.1689744154754303e-06
1 167 2.702780468585844e-06
1 168 5.532219496055124e-06
1 169 8.42110284952216e-06
1 170 7.0473086780020056e-06
1 171 3.834012034213827e-06
1 172 2.0414201494856423e-06
1 173 8.693386185292413e-07
1 174 3.9785891988515625e-07
1 175 2.123157909234558e-07
1 176 1.2569920490623276e-07
1 177 8.183705575535846e-08
1 178 4.719993155880198e-08
1 179 2.264546737139614e-08
1 180 8.175745625643499e-09
2 1 0.1250300969564617
2 2 1145.2930491229051
2 3 0.5560649071475221
2 4 0.7166143484815306
2 5 0.23475459192676013
2 6 0.06308497021574959
2 7 0.015032547440663842
2 8 0.0037748257607197505
2 9 0.0008732501318500559
2 10 4.967613678169422e-05
2 11 0.00021578288332352666
2 12 3.728254885285399e-05
2 13 9.65657932267606e-06
2 14 9.736133370675299e-06
2 15 3.138545192040846e-06
2 16 0.001985663934717916
2 17 0.00454162026756815
2 18 0.008893648587839758
2 19 0.011383690025735605
2 20 0.004632982945091054
2 21 0.0016242321897435592
2 22 0.000588043516220538
2 23 0.00020645150608322697
2 24 6.521819713999409e-05
2 25 1.9021524644381507e-05
2 26 1.14570431368274e-05
