225 225
1 1 230.8636430605821
1 2 0.11767939288017883
1 3 0.22667962496767657
1 4 0.2803821635319453
1 5 0.08798175921100966
1 6 0.023828746462690502
1 7 0.005342006135671239
1 8 0.0011445303016014772
1 9 0.00020955272726329882
1 10 -4.0147930004655846e-05
1 11 6.728480779057477e-05
1 12 5.886043298291814e-06
1 13 -8.0564118206241e-07
1 14 2.338477822505688e-06
1 15 3.265206963135905e-07
1 16 6.363828098305136e-05
1 17 0.00014273061586457186
1 18 0.000291044805564818
1 19 0.0003995396177181036
1 20 0.00019562172916332156
1 21 9.409353043408413e-05
1 22 4.3740929747435634e-05
1 23 1.765646258147994e-05
1 24 6.44577278122997e-06
1 25 2.566133262907798e-06
1 26 1.454002500999076e-06
1 27 8.132894401498427e-07
1 28 4.504087270554009e-07
1 29 2.1940297640403955e-07
1 30 8.218117967636788e-08
1 31 7.185778899065352e-05
1 32 0.00016255862003302664
1 33 0.0003201174363421571
1 34 0.00044836684282220543
1 35 0.00022208972466084136
1 36 0.000108492329486253
1 37 4.9146223091814675e-05
1 38 1.920834133950491e-05
1 39 6.871673157048981e-06
1 40 2.7074188798341814e-06
1 41 1.5767097623111069e-06
1 42 8.46334571351322e-07
1 43 4.481818627537651e-07
1 44 2.156020835991457e-07
1 45 7.966366219903115e-08
1 46 7.629340073572902e-05
1 47 0.00017100462612382384
1 48 0.00034296496637021575
1 49 0.00048348426077320474
1 50 0.00023643253121368701
1 51 0.0001107104165895116
1 52 4.831850971595437e-05
1 53 1.895113464678258e-05
1 54 6.908397186237918e-06
1 55 2.8026492539070917e-06
1 56 1.5937489174456158e-06
1 57 8.413502475074589e-07
1 58 4.4637899326062775e-07
1 59 2.0985200594336538e-07
1 60 7.509809567278987e-08
1 61 8.040995145019837e-05
1 62 0.0001828533942622056
1 63 0.0003654232420539924
1 64 0.0005204294137076651
1 65 0.00024694018859298635
1 66 0.00011350621976120199
1 67 4.9329533665524696e-05
1 68 1.9300914316756622e-05
1 69 7.062648102806655e-06
1 70 2.824402375160159e-06
1 71 1.6184296296709948e-06
1 72 8.603024449199546e-07
1 73 4.652143123241556e-07
1 74 2.2977247047499086e-07
1 75 8.801036564605956e-08
1 76 5.842471986129997e-06
1 77 1.3250714214725436e-05
1 78 2.6626522770365783e-05
1 79 4.076102724312006e-05
1 80 3.4986912366691664e-05
1 81 2.2316851182790597e-05
1 82 1.151233936723004e-05
1 83 4.671247944019449e-06
1 84 1.6934880956563297e-06
1 85 7.267000109269624e-07
1 86 4.154608071729575e-07
1 87 2.5041531324195214e-07
1 88 1.452840941747951e-07
1 89 7.363940391605433e-08
1 90 2.8231033656146288e-08
1 91 5.084344869916228e-06
1 92 1.2022994229172975e-05
1 93 2.4607579996461503e-05
1 94 3.759731579715827e-05
1 95 3.213728276262568e-05
1 96 2.1072397664856205e-05
1 97 1.1306103016633926e-05
1 98 4.531402834798666e-06
1 99 1.6680271155052795e-06
1 100 7.241504479164392e-07
1 101 4.0883806923696904e-07
1 102 2.48152257213049e-07
1 103 1.3864257963659123e-07
1 104 6.822618227065298e-08
1 105 2.662233274486087e-08
1 106 4.89071793881587e-06
1 107 1.1411703398351395e-05
1 108 2.406617300284676e-05
1 109 3.706963135403353e-05
1 110 3.285301432860191e-05
1 111 2.278926015412935e-05
1 112 1.1969995668867299e-05
1 113 4.6661779903973485e-06
1 114 1.7382671603034729e-06
1 115 7.745849493613776e-07
1 116 4.3410134094839213e-07
1 117 2.5532397561205744e-07
1 118 1.3849588158741615e-07
1 119 6.410445328773863e-08
1 120 2.273070273689072e-08
1 121 4.764833583888369e-06
1 122 1.1242911744014146e-05
1 123 2.3149972224689666e-05
1 124 3.696668752220487e-05
