225 225
1 1 123711.06359372675
1 2 5.741809797085752
1 3 10.917620917911012
1 4 13.82152252302273
1 5 4.581759836439858
1 6 1.159717399190886
1 7 0.2533341525163021
1 8 0.05849565872318426
1 9 0.011691716862372506
1 10 -0.0017469728568564288
1 11 0.0036933964243942787
1 12 0.0003508190827688065
1 13 -3.249171208174336e-05
1 14 9.836222639853474e-05
1 15 1.0613938680361909e-05
1 16 0.002895789601019459
1 17 0.006469202376685175
1 18 0.012386495060829127
1 19 0.016291542467950237
1 20 0.006461709050890438
1 21 0.002408509428692128
1 22 0.0009684403925871194
1 23 0.00036079012974265606
1 24 0.00013131878025628122
1 25 4.325663038658285e-05
1 26 2.1344769395834672e-05
1 27 8.931506186132604e-06
1 28 4.303052888243997e-06
1 29 2.184195276010451e-06
1 30 9.62961025963694e-07
1 31 0.0005845675810320569
1 32 0.0013679570484695378
1 33 0.002742431040350963
1 34 0.0034761526692539528
1 35 0.0013814328379215546
1 36 0.0005074950736116205
1 37 0.00018519608917855795
1 38 7.432393427659226e-05
1 39 2.5523678178476002e-05
1 40 8.04002805559649e-06
1 41 4.3747962796751e-06
1 42 1.7909669082440862e-06
1 43 8.554937381626126e-07
1 44 4.4316416976869557e-07
1 45 1.8507096018469282e-07
1 46 0.00027780603666072173
1 47 0.0006487948808033507
1 48 0.0013088968837302794
1 49 0.0017196922422077765
1 50 0.0006606165394992118
1 51 0.00023855323603336475
1 52 9.581297246375711e-05
1 53 3.4680355226325595e-05
1 54 1.236713550275307e-05
1 55 3.825507553128745e-06
1 56 2.0974048740164237e-06
1 57 8.758906751702443e-07
1 58 4.2028031539284804e-07
1 59 2.153278380396956e-07
1 60 8.873900122919932e-08
1 61 0.00026213037656458356
1 62 0.0005692867933211647
1 63 0.0010613075447466918
1 64 0.001452161479893519
1 65 0.0005598570853865045
1 66 0.00020114025152196408
1 67 7.53796252495614e-05
1 68 2.91351046838453e-05
1 69 1.0051497207488663e-05
1 70 3.0762248564498637e-06
1 71 1.6964523112635976e-06
1 72 7.21653870070857e-07
1 73 3.374176720448185e-07
1 74 1.739150721500168e-07
1 75 7.057174102122092e-08
1 76 3.555812420538721e-07
1 77 8.490228975931843e-07
1 78 1.826768507548986e-06
1 79 2.8794502957079797e-06
1 80 2.3411942963855577e-06
1 81 1.4323158284853417e-06
1 82 7.308582419686368e-07
1 83 3.065913385748743e-07
1 84 1.2973625758117887e-07
1 85 6.617605553633082e-08
1 86 4.083562849696108e-08
1 87 2.59795327468802e-08
1 88 1.4972427307028615e-08
1 89 7.169981792869754e-09
1 90 2.5734789359369326e-09
1 91 3.7015245476867544e-07
1 92 8.678375999437901e-07
1 93 1.8165154028724497e-06
1 94 2.837932988996893e-06
1 95 2.4245883175161394e-06
1 96 1.4698089220576733e-06
1 97 7.167774820716366e-07
1 98 3.04469585196533e-07
1 99 1.3214358323602564e-07
1 100 6.873233837777409e-08
1 101 4.219779256005631e-08
1 102 2.609835074683925e-08
1 103 1.509048821796525e-08
1 104 6.981767092012093e-09
1 105 2.445913707769806e-09
1 106 4.0153802158066443e-07
1 107 9.413706881527102e-07
1 108 1.97026421778805e-06
1 109 3.030969190949122e-06
1 110 2.465423602978028e-06
1 111 1.4744636629555647e-06
1 112 7.477526093259194e-07
1 113 3.155780545553607e-07
1 114 1.3216538126916004e-07
1 115 6.80276887798089e-08
1 116 4.1663728928483544e-08
1 117 2.562722109843193e-08
1 118 1.4772710278424537e-08
1 119 6.959276823308429e-09
1 120 2.478562833909666e-09
1 121 4.229287840095837e-07
1 122 9.775984296262128e-07
1 123 2.0010654472179474e-06
1 124 3.0459025849146634e-06
1 125 2.431808389412956e-06
1 126 1.5003711007332396e-06
1 127 7.42092995510833e-07
1 128 3.0498132033488855e-07
1 129 1.323116435309291e-07
1 130 6.805500415949234e-08
1 131 4.180553692079715e-08
1 132 2.622884566278501e-08
1 133 1.4932923787992902e-08
1 134 7.0045882531091585e-09
1 135 2.458991527869541e-09
1 136 3.9948013599238787e-07
1 137 9.227478133645791e-07
1 138 1.8866613168682727e-06
1 139 2.8276926603092713e-06
1 140 2.339512747234942e-06
1 141 1.4134039287650524e-06
1 142 7.054136854076718e-07
1 143 3.012255154993981e-07
1 144 1.3177487100087955e-07
1 145 6.808962089010257e-08
1 146 4.1399770645785535e-08
1 147 2.601537096066485e-08
1 148 1.478427317043355e-08
1 149 6.848433950708805e-09
1 150 2.4294363371013876e-09
1 151 3.1316640092394757e-07
1 152 7.41915676923733e-07
1 153 1.5769824860909494e-06
1 154 2.5201474586330375e-06
1 155 2.0419536981845516e-06
1 156 1.1648425671746287e-06
1 157 6.183026072807623e-07
1 158 2.6049842648833275e-07
1 159 1.1273320599482162e-07
1 160 5.933808065151447e-08
1 161 3.844200122517929e-08
1 162 2.488978417459698e-08
1 163 1.4233599850210674e-08
1 164 6.461425385749726e-09
1 165 2.28496124468603e-09
1 166 3.43204623754331e-07
1 167 7.981340043097111e-07
1 168 1.648759857778237e-06
1 169 2.5321769510817264e-06
1 170 2.0218163544999397e-06
1 171 1.1649313754643507e-06
1 172 5.940685698268157e-07
1 173 2.487769682823128e-07
1 174 1.1176819234615482e-07
1 175 6.14305068262068e-08
1 176 3.742757080844817e-08
1 177 2.341299213829084e-08
1 178 1.3866675191698761e-08
1 179 6.579075141458646e-09
1 180 2.3280697294263623e-09
1 181 3.2326495180647527e-07
1 182 7.638707593268523e-07
1 183 1.617361678674886e-06
1 184 2.5673155988571254e-06
1 185 2.035563128929863e-06
1 186 1.150045663583407e-06
1 187 5.815304085242829e-07
1 188 2.518237418698554e-07
1 189 1.1463203489954847e-07
1 190 6.182466178866878e-08
1 191 3.8672099469623394e-08
1 192 2.4327265525880457e-08
1 193 1.3800846959111398e-08
1 194 6.501068266629425e-09
1 195 2.316636966943912e-09
1 196 3.4168230226855133e-07
1 197 7.902498551784309e-07
1 198 1.618343197545804e-06
1 199 2.4536432658997385e-06
1 200 1.956317254515959e-06
1 201 1.2245108585441597e-06
1 202 6.165872723408518e-07
1 203 2.559924377093425e-07
1 204 1.1555722337923672e-07
1 205 6.271092819557124e-08
1 206 3.792493635650573e-08
1 207 2.414225524857966e-08
1 208 1.3911353346831965e-08
1 209 6.357930947015973e-09
1 210 2.2262815183244952e-09
1 211 3.3832917864977117e-07
1 212 7.887069806716685e-07
1 213 1.6355018219283074e-06
1 214 2.526573252776922e-06
1 215 2.034147475924018e-06
1 216 1.18660477875077e-06
1 217 5.990092251984346e-07
1 218 2.5626503609564653e-07
1 219 1.1705826348164188e-07
1 220 6.116813058363211e-08
1 221 3.9347433565116365e-08
1 222 2.4480177662974708e-08
1 223 1.4313631120974585e-08
1 224 6.539012074405408e-09
1 225 2.2418701447191e-09
2 1 5.741809797085752
2 2 47808.10641285803
2 3 24.55344628684162
2 4 31.49266669564933
2 5 11.36054117690047
2 6 2.8023133006464804
2 7 0.6390834740867902
2 8 0.14785083632368196
2 9 0.029939798675938496
2 10 -0.001892809403375411
2 11 0.008399081379956616
2 12 0.0009394170543199176
2 13 -2.501090067362049e-06
2 14 0.00022113452381107335
2 15 2.735703421951349e-05
2 16 0.006495215745640976
2 17 0.014531950562508502
