180 180
1 1 3.27335475412127e-06
1 2 2.6444092680238556e-10
1 3 4.980658602919666e-10
1 4 5.526499381966298e-10
1 5 1.3488647372263166e-10
1 6 7.295744230898356e-11
1 7 1.416312517805499e-11
1 8 5.743386348030469e-12
1 9 1.5531139640841538e-12
1 10 3.969351668484956e-13
1 11 9.814268877660442e-14
1 12 1.636809820508018e-14
1 13 1.0747993443733106e-14
1 14 2.0090863924676097e-15
1 15 1.8650993929384737e-15
1 16 2.153516098045602e-12
1 17 4.824177821654131e-12
1 18 8.933266098246017e-12
1 19 1.0123993822562338e-11
1 20 2.7261975803655677e-12
1 21 1.670410803657426e-12
1 22 5.398299016994106e-13
1 23 3.021479973279606e-13
1 24 1.1880459369589854e-13
1 25 4.4410486241472915e-14
1 26 1.7134253904116535e-14
1 27 7.813415872307405e-15
1 28 4.17593084643797e-15
1 29 2.1809018535254143e-15
1 30 1.0860557207361381e-15
1 31 3.1228138790851424e-12
1 32 6.773946339735676e-12
1 33 1.3347681255786474e-11
1 34 1.522864451695143e-11
1 35 3.9352789886283095e-12
1 36 2.31849003573655e-12
1 37 7.497181756687263e-13
1 38 3.8966519825412167e-13
1 39 1.506407260470916e-13
1 40 5.62527843339037e-14
1 41 2.2322830204675956e-14
1 42 1.0006553742434067e-14
1 43 5.199627992499299e-15
1 44 2.8104362363358297e-15
1 45 1.3859793788559626e-15
1 46 3.458144322263392e-12
1 47 8.027344377286033e-12
1 48 1.4753983562144192e-11
1 49 1.758569796535179e-11
1 50 4.312154465958487e-12
1 51 2.594484875088629e-12
1 52 7.507696792884895e-13
1 53 4.108709459473886e-13
1 54 1.6899001881931758e-13
1 55 6.146887614674575e-14
1 56 2.4332653602155582e-14
1 57 1.1142061520781614e-14
1 58 5.7765421176490574e-15
1 59 2.942880540799658e-15
1 60 1.4261397435443966e-15
1 61 9.847911043800925e-15
1 62 2.1584388450090468e-14
1 63 4.487503766150128e-14
1 64 6.525038957249054e-14
1 65 6.271127236673633e-14
1 66 5.181467764346977e-14
1 67 3.441100601403338e-14
1 68 1.8808565028915836e-14
1 69 8.022187406972665e-15
1 70 3.14345307198262e-15
1 71 1.3385950289295369e-15
1 72 7.054295220353581e-16
1 73 4.211786928737666e-16
1 74 2.3623389172340123e-16
1 75 1.1348170798685015e-16
1 76 1.352326437658341e-14
1 77 3.1407343878777146e-14
1 78 6.31960892344037e-14
1 79 9.796576214734957e-14
1 80 9.381406981497106e-14
1 81 7.971528206221379e-14
1 82 5.6213962950165486e-14
1 83 2.8776581548492534e-14
1 84 1.2468136397856822e-14
1 85 4.824959959732538e-15
1 86 2.0406434255584005e-15
1 87 1.1239041088863116e-15
1 88 6.373946902365526e-16
1 89 3.4950062962749825e-16
1 90 1.6588996527807936e-16
1 91 1.629482252211714e-14
1 92 3.6653363002115984e-14
1 93 7.659914615732503e-14
1 94 1.1775703692905825e-13
1 95 1.1210976901705768e-13
1 96 1.0058155677911902e-13
1 97 7.109902969172389e-14
1 98 3.640835510079153e-14
1 99 1.5184924581038672e-14
1 100 5.9652394156137985e-15
1 101 2.6507147790236458e-15
1 102 1.3365069249566234e-15
1 103 7.437376134301178e-16
1 104 4.130465781912983e-16
1 105 1.916753196166862e-16
1 106 1.6435265039694232e-14
1 107 3.744250121547075e-14
1 108 8.149129096188949e-14
1 109 1.2178266086511449e-13
1 110 1.1692535639720087e-13
1 111 1.0377533331037077e-13
1 112 7.060350074784236e-14
1 113 3.8646930954912575e-14
1 114 1.5879486692274173e-14
1 115 6.0615282042713805e-15
1 116 2.7271384792616982e-15
1 117 1.3226043338755216e-15
1 118 7.691040840988284e-16
1 119 4.243750575261939e-16
1 120 1.9589970143874732e-16
1 121 5.967511955742518e-15
1 122 1.381800995676825e-14
1 123 2.7181277903297332e-14
1 124 4.0924040349661974e-14
1 125 3.4105700591390615e-14
1 126 2.632153603883751e-14
1 127 1.6547021774085284e-14
1 128 8.205011175026586e-15
1 129 3.4403888325153793e-15
1 130 1.4898295540551027e-15
1 131 7.248983694457425e-16
1 132 3.9367400634172053e-16
1 133 2.182644620629938e-16
1 134 1.1085615583507204e-16
1 135 5.235987064906345e-17
1 136 8.984994858593854e-15
1 137 2.0580057814923498e-14
1 138 4.267486283894766e-14
1 139 6.182741453431499e-14
1 140 5.2925293134713976e-14
1 141 4.2741946335373176e-14
1 142 2.5693044043629063e-14
1 143 1.3167865561601757e-14
1 144 5.626856712864618e-15
1 145 2.3154657309353245e-15
1 146 1.151733276491759e-15
1 147 5.960220359703814e-16
