180 180
1 1 2.6175862275894264e-06
1 2 1.730786538249885e-10
1 3 2.9772755587932575e-10
1 4 3.4183719134789425e-10
1 5 4.89185573879307e-11
1 6 2.4015866245281e-11
1 7 -5.046566579011748e-14
1 8 1.015787040263788e-12
1 9 3.786665407171794e-13
1 10 1.5987321455593496e-13
1 11 4.625486601122465e-14
1 12 3.92424661256535e-15
1 13 3.8837515042278746e-15
1 14 -3.3403159345754686e-16
1 15 4.568856497726891e-16
1 16 2.338833341530964e-12
1 17 5.032395043342773e-12
1 18 9.37683075001461e-12
1 19 1.0665276125116434e-11
1 20 2.5424141754306693e-12
1 21 1.2685436764771762e-12
1 22 2.7105498528635724e-13
1 23 1.227743602401152e-13
1 24 4.290431842385628e-14
1 25 1.5295580919553507e-14
1 26 6.519521949298719e-15
1 27 2.6538186609863862e-15
1 28 1.2468458694784678e-15
1 29 4.979162294329526e-16
1 30 1.7444298191094392e-16
1 31 3.0845814268157145e-12
1 32 7.38750402047089e-12
1 33 1.3380013484415931e-11
1 34 1.4535272683810006e-11
1 35 3.3680175441109436e-12
1 36 1.7600088439532579e-12
1 37 3.4201547029294105e-13
1 38 1.6055640619056974e-13
1 39 5.631842816333996e-14
1 40 2.0546998210340612e-14
1 41 8.500471062298334e-15
1 42 3.372842225862161e-15
1 43 1.6871055927241624e-15
1 44 6.661131360123769e-16
1 45 2.2079305676955306e-16
1 46 3.6221043516575534e-12
1 47 8.068522134151196e-12
1 48 1.4566430697919753e-11
1 49 1.6475392843972557e-11
1 50 3.8577988037895835e-12
1 51 1.9712024098223526e-12
1 52 3.646551662058991e-13
1 53 1.803788740956069e-13
1 54 5.77790669486538e-14
1 55 2.3560975720469035e-14
1 56 9.44251440896571e-15
1 57 3.764981401382225e-15
1 58 1.879766784470844e-15
1 59 7.024491825098267e-16
1 60 2.381968034322909e-16
1 61 2.608163279249245e-16
1 62 6.031717887694396e-16
1 63 1.1908194612511805e-15
1 64 1.5998665430602862e-15
1 65 9.109768273161083e-16
1 66 4.796759162283783e-16
1 67 1.9667865653463499e-16
1 68 8.735543185120161e-17
1 69 4.505291944908985e-17
1 70 2.7170962521082045e-17
1 71 1.6013678534167185e-17
1 72 8.98602172673249e-18
1 73 4.2498104523974064e-18
1 74 1.3879922164680122e-18
1 75 3.26886889346029e-19
1 76 9.37199908175537e-16
1 77 2.182251653651527e-15
1 78 4.227084571330941e-15
1 79 5.328192917982221e-15
1 80 3.337946527237152e-15
1 81 1.7184070268407773e-15
1 82 6.534243266677075e-16
1 83 3.060823199239671e-16
1 84 1.5412129286735127e-16
1 85 9.415757310657831e-17
1 86 5.929817411298079e-17
1 87 3.2541031718800333e-17
1 88 1.5310939026083795e-17
1 89 4.53504340279026e-18
1 90 1.1474520356324392e-18
1 91 2.775099581707063e-15
1 92 6.247992639004753e-15
1 93 1.2226740877335252e-14
1 94 1.556381926140946e-14
1 95 9.113603373099515e-15
1 96 4.640142671387175e-15
1 97 1.889464715231194e-15
1 98 8.549648720597952e-16
1 99 4.561165582206553e-16
1 100 2.6565220953131425e-16
1 101 1.5965729670778876e-16
1 102 8.694692213573803e-17
1 103 3.9143949569586e-17
1 104 1.233484260718102e-17
1 105 2.9987931170479064e-18
1 106 3.7531503429223634e-15
1 107 8.181601218559419e-15
1 108 1.6062176538664707e-14
1 109 2.163639029486151e-14
1 110 1.2353635194985603e-14
1 111 6.256673041523269e-15
1 112 2.550008071846278e-15
1 113 1.2131826817460784e-15
1 114 6.179613155543867e-16
1 115 3.6119810050185095e-16
1 116 2.202360758412574e-16
1 117 1.217954011343762e-16
1 118 5.455985905709148e-17
1 119 1.6252767735185068e-17
1 120 3.991279550140834e-18
1 121 2.208559075479275e-16
1 122 4.957205641002509e-16
1 123 9.072892822109118e-16
1 124 1.2104394507325912e-15
1 125 6.507314442130612e-16
1 126 3.410349523538955e-16
1 127 1.398148525295547e-16
1 128 6.934104743911786e-17
1 129 3.917654056309031e-17
1 130 2.287599100529181e-17
1 131 1.3378859654198373e-17
1 132 7.545711731841262e-18
1 133 3.196325182593395e-18
1 134 9.241905579078112e-19
1 135 2.240280121637496e-19
1 136 7.38181894825819e-16
1 137 1.7069588283345843e-15
1 138 3.1774281270757096e-15
1 139 4.347872108219558e-15
1 140 2.2955198504384997e-15
1 141 1.2021732496989428e-15
1 142 4.842288235303986e-16
1 143 2.568967472719892e-16
1 144 1.3812390644096508e-16
1 145 8.455455565550232e-17
1 146 5.068579135585959e-17
1 147 2.5857258884404725e-17
1 148 1.138472025669513e-17
1 149 3.1509003221730235e-18
1 150 7.547037921470496e-19
1 151 2.217464446338744e-15
1 152 4.894308206273755e-15
1 153 9.623101813166556e-15
1 154 1.2606435180894105e-14
1 155 6.494109771282075e-15
1 156 3.3070227503361038e-15
1 157 1.3472775899840442e-15
1 158 6.9174589449500645e-16
1 159 3.574531736594984e-16
1 160 2.2483776967422853e-16
1 161 1.3724202742628055e-16
1 162 7.293249768496953e-17
1 163 2.951862672908139e-17
1 164 8.113599304972916e-18
1 165 1.9860528600663803e-18
1 166 2.956029637046381e-15
1 167 6.581216312653983e-15
1 168 1.3284988050339744e-14
1 169 1.684598117397569e-14
1 170 9.04746363006552e-15
1 171 4.738058871950794e-15
1 172 1.8859972808326048e-15
1 173 9.78737361529075e-16
1 174 5.401946751507557e-16
1 175 3.1393015876969596e-16
1 176 1.8613290933294715e-16
1 177 9.990321087514293e-17
1 178 4.21618862817845e-17
1 179 1.1259982798742875e-17
1 180 2.7268348998840427e-18
2 1 1.730786538249885e-10
2 2 1.0989311615915314e-06
2 3 6.851652262012983e-10
2 4 8.028751479860005e-10
2 5 1.4044316979512056e-10
2 6 5.802413319397133e-11
2 7 1.5131615365344008e-12
2 8 2.628828026856133e-12
2 9 9.203574418850757e-13
2 10 3.8557372941076207e-13
2 11 1.1326955787917053e-13
2 12 1.2862929567021363e-14
2 13 9.718131579039911e-15
2 14 -3.868017380868749e-16
2 15 1.0538627017506565e-15
2 16 5.35982078752032e-12
2 17 1.1555811185265406e-11
2 18 2.1663159585660667e-11
2 19 2.5166842834972688e-11
2 20 6.898898502608693e-12
2 21 3.1549111751834857e-12
2 22 7.429479510248495e-13
2 23 3.181142769524916e-13
2 24 1.0907676695599097e-13
2 25 3.87851932908853e-14
2 26 1.6647941762049472e-14
2 27 6.92281274228769e-15
2 28 3.208730435314742e-15
2 29 1.295187104523259e-15
2 30 4.469824345565942e-16
2 31 7.066632661570328e-12
2 32 1.69592033621076e-11
2 33 3.090066444959516e-11
2 34 3.428189137936354e-11
2 35 9.170679177414509e-12
2 36 4.3695117829634296e-12
2 37 9.464179515090805e-13
2 38 4.1605330575905606e-13
2 39 1.4289776459629282e-13
2 40 5.199609096436498e-14
2 41 2.168467972311361e-14
2 42 8.807428010896982e-15
2 43 4.34093064791639e-15
2 44 1.7343141807710427e-15
2 45 5.652393830760454e-16
2 46 8.295421943797002e-12
2 47 1.8516495966148355e-11
2 48 3.362862759566973e-11
2 49 3.884223913794055e-11
2 50 1.0541177204298059e-11
2 51 4.8862339705336045e-12
2 52 1.0164111423305073e-12
2 53 4.673920495849704e-13
2 54 1.464485302098576e-13
2 55 5.95592265945061e-14
2 56 2.4075689044769693e-14
2 57 9.837026921684333e-15
2 58 4.836019785870876e-15
2 59 1.830152798480868e-15
2 60 6.094208883151366e-16
2 61 6.084330313562549e-16
2 62 1.4101084317964702e-15
2 63 2.8028272583231613e-15
2 64 3.842906224135807e-15
2 65 2.3273214201789818e-15
2 66 1.2245534468421787e-15
2 67 5.09154580835884e-16
2 68 2.261606544576548e-16
2 69 1.1607387528287196e-16
2 70 7.003823065698206e-17
2 71 4.1290174198884246e-17
2 72 2.3181146391698763e-17
2 73 1.0960543156482988e-17
2 74 3.579644656693785e-18
2 75 8.430822844154226e-19
2 76 2.1863024517081947e-15
2 77 5.101716254531597e-15
2 78 9.949270608091977e-15
2 79 1.2798399494789953e-14
2 80 8.52762531843284e-15
2 81 4.386883851900678e-15
2 82 1.69156635755178e-15
2 83 7.924388196675159e-16
2 84 3.97076254308224e-16
2 85 2.4270869324684345e-16
2 86 1.528962750217221e-16
2 87 8.394576366642464e-17
2 88 3.948792795207953e-17
2 89 1.1695919338558967e-17
2 90 2.9594226255574767e-18
2 91 6.472874724726351e-15
2 92 1.4604677816560222e-14
2 93 2.877543958397216e-14
2 94 3.737924557892121e-14
2 95 2.3286376658768765e-14
2 96 1.184535895262476e-14
2 97 4.892053436642439e-15
2 98 2.213470203136737e-15
2 99 1.1751154741051535e-15
2 100 6.847627921618009e-16
2 101 4.11664421049794e-16
2 102 2.242965140844715e-16
2 103 1.0095477282069128e-16
2 104 3.181181945722677e-17
2 105 7.734224433494845e-18
2 106 8.75333603519232e-15
2 107 1.9122662790157138e-14
2 108 3.779830801993439e-14
2 109 5.195854158020667e-14
2 110 3.156827737159137e-14
2 111 1.597167162849891e-14
2 112 6.602888855818032e-15
2 113 3.140870567685125e-15
2 114 1.5920722533661729e-15
2 115 9.310438875401052e-16
2 116 5.678613858758394e-16
2 117 3.141953617102783e-16
2 118 1.4071332850359204e-16
2 119 4.191636313317218e-17
2 120 1.0293922243152121e-17
2 121 5.140588167386006e-16
2 122 1.156306526839852e-15
2 123 2.130709153095087e-15
2 124 2.901539907167395e-15
2 125 1.6672794873719222e-15
2 126 8.699128468071161e-16
2 127 3.623572954154205e-16
2 128 1.7945189202357775e-16
2 129 1.0094206259872025e-16
2 130 5.896405823056853e-17
2 131 3.4496043753078675e-17
2 132 1.9465824873852567e-17
2 133 8.243412436803066e-18
2 134 2.3836323895697016e-18
2 135 5.777597802068697e-19
2 136 1.7181742290674827e-15
2 137 3.981613424138034e-15
2 138 7.461979716636599e-15
2 139 1.0422261274353347e-14
2 140 5.881490216233743e-15
2 141 3.0665081806478147e-15
2 142 1.2549774978656544e-15
2 143 6.648391002583634e-16
2 144 3.558891152689644e-16
2 145 2.1794373566028798e-16
2 146 1.3068820682892292e-16
2 147 6.67044955664073e-17
2 148 2.9361513472047235e-17
2 149 8.126666787977852e-18
2 150 1.9463521850496867e-18
2 151 5.160633585651844e-15
2 152 1.1414822911243139e-14
2 153 2.2596029078880415e-14
2 154 3.021457078674593e-14
2 155 1.6641906774117328e-14
2 156 8.435153958506672e-15
2 157 3.492279896829907e-15
2 158 1.790206144113815e-15
2 159 9.21004053393212e-16
2 160 5.795267458206797e-16
2 161 3.538639356272757e-16
2 162 1.8814583081457794e-16
2 163 7.612930724305814e-17
2 164 2.0926370571168038e-17
2 165 5.121920267183451e-18
2 166 6.878844126827599e-15
2 167 1.5347719671155603e-14
2 168 3.119147656953929e-14
2 169 4.0371830135103204e-14
2 170 2.3188062169866153e-14
2 171 1.2084846948460269e-14
2 172 4.889209154572394e-15
2 173 2.532916264571715e-15
2 174 1.3918403020416985e-15
2 175 8.091613358437677e-16
2 176 4.799231284913406e-16
2 177 2.5772322736744596e-16
2 178 1.0873654208468952e-16
2 179 2.9041554560792443e-17
2 180 7.032324469401445e-18
3 1 2.9772755587932575e-10
3 2 6.851652262012983e-10
3 3 3.8509413837157365e-07
3 4 1.4913700831824785e-09
3 5 3.897773167047538e-10
3 6 1.1981734316788779e-10
3 7 1.1607967693053065e-11
3 8 6.025846851368815e-12
3 9 1.9676622486652175e-12
3 10 7.745130630978544e-13
3 11 2.3920851235831306e-13
3 12 4.273046950584161e-14
3 13 2.1200664048004834e-14
3 14 1.540906860877891e-15
3 15 1.8186199331225146e-15
3 16 9.312402641086792e-12
3 17 2.020002581231539e-11
3 18 3.85108748956063e-11
3 19 4.7354061600980256e-11
3 20 1.754401265962587e-11
3 21 6.917688620354955e-12
3 22 1.972249457447432e-12
3 23 7.425913920998421e-13
3 24 2.5253939228641054e-13
3 25 8.776196329499672e-14
3 26 3.844768043445937e-14
3 27 1.665254291236078e-14
3 28 7.508449080010243e-15
3 29 3.114009272138644e-15
3 30 1.0328569712879867e-15
3 31 1.2266698258539639e-11
3 32 2.961584737406611e-11
3 33 5.487577451366301e-11
3 34 6.442968216688877e-11
3 35 2.3452235486429267e-11
3 36 9.547831937260237e-12
3 37 2.5531149256779987e-12
3 38 9.706293866020663e-13
3 39 3.2984982909196283e-13
3 40 1.171204104554249e-13
3 41 4.997928973819463e-14
3 42 2.122559067854881e-14
3 43 1.0153420733137417e-14
3 44 4.177586599713273e-15
3 45 1.3034915541740026e-15
3 46 1.4386306741633083e-11
3 47 3.2304336573101124e-11
3 48 5.965897114489777e-11
3 49 7.292063183477435e-11
3 50 2.7113064256751365e-11
3 51 1.0643101185608985e-11
3 52 2.775280053626888e-12
3 53 1.089945764781271e-12
3 54 3.3742010874805203e-13
3 55 1.338491301150719e-13
3 56 5.543160084743871e-14
3 57 2.3731877463428216e-14
3 58 1.1308282341082935e-14
3 59 4.414227028036399e-15
3 60 1.4035277439054633e-15
3 61 1.1108264940366062e-15
3 62 2.5919395916812217e-15
3 63 5.246092385257716e-15
3 64 7.57524259553028e-15
3 65 5.303013278504824e-15
3 66 2.824952631929087e-15
3 67 1.2137173205357403e-15
3 68 5.302553613736627e-16
3 69 2.7367585328463384e-16
3 70 1.6452590576120616e-16
3 71 9.713919097021624e-17
3 72 5.45831922973689e-17
3 73 2.579115658246991e-17
3 74 8.430480504593139e-18
3 75 1.9814630980651724e-18
3 76 3.991568549866129e-15
3 77 9.37753055777371e-15
3 78 1.8622179356711437e-14
3 79 2.5228506344111175e-14
3 80 1.9430928528091222e-14
3 81 1.0120226242635031e-14
3 82 4.0323736220263744e-15
3 83 1.857948423251987e-15
3 84 9.362149210333121e-16
3 85 5.701435689641191e-16
3 86 3.597034560177666e-16
3 87 1.9766183908473718e-16
3 88 9.291869020706188e-17
3 89 2.7545256529368957e-17
3 90 6.955393840995332e-18
3 91 1.1813125249592775e-14
3 92 2.6836098333824703e-14
3 93 5.3834976149682826e-14
3 94 7.3655579875782e-14
3 95 5.307426087233669e-14
3 96 2.7325792110383242e-14
3 97 1.166512271769738e-14
3 98 5.1896570876132735e-15
3 99 2.7705533424153972e-15
3 100 1.6085540186504278e-15
3 101 9.684746473160474e-16
3 102 5.281386016193773e-16
3 103 2.3755537782574927e-16
3 104 7.492128872315564e-17
3 105 1.8177106258313377e-17
3 106 1.5970805520714264e-14
3 107 3.512849085943003e-14
3 108 7.069613412621354e-14
3 109 1.0235791907117477e-13
3 110 7.196397698493921e-14
3 111 3.6844072103823274e-14
3 112 1.5747729864741336e-14
3 113 7.363982673625594e-15
3 114 3.753515973770171e-15
3 115 2.187074086390525e-15
3 116 1.3359351860463974e-15
3 117 7.398199950432238e-16
3 118 3.311103445626314e-16
3 119 9.871957940221236e-17
3 120 2.4192751411719498e-17
3 121 9.327446147136784e-16
3 122 2.112347009465988e-15
3 123 3.963082248768003e-15
3 124 5.689397599103577e-15
3 125 3.820628157032252e-15
3 126 2.0038113927959245e-15
3 127 8.653982878707971e-16
3 128 4.2068131480469695e-16
3 129 2.38786788572445e-16
3 130 1.3853069129781538e-16
3 131 8.115197437842491e-17
3 132 4.583608478797452e-17
3 133 1.9397025726831245e-17
3 134 5.614668933035805e-18
3 135 1.3575344507777398e-18
3 136 3.1175764368525017e-15
3 137 7.273631321714232e-15
3 138 1.3879144570197721e-14
3 139 2.0436140258273663e-14
3 140 1.3477609573299505e-14
3 141 7.063598155046323e-15
3 142 2.9972222672234875e-15
3 143 1.5585534219441418e-15
3 144 8.418637639453908e-16
3 145 5.120387164525422e-16
3 146 3.074440844835655e-16
3 147 1.5706876467659691e-16
3 148 6.908862369336169e-17
3 149 1.9142444676857187e-17
3 150 4.573231968160748e-18
3 151 9.360343000520675e-15
3 152 2.0844769522619718e-14
3 153 4.2011774189284484e-14
3 154 5.922329107838632e-14
3 155 3.814803648508043e-14
3 156 1.942902471965944e-14
3 157 8.343206748511565e-15
3 158 4.196671950937437e-15
3 159 2.170473342145073e-15
3 160 1.3615326424288386e-15
3 161 8.324600830768804e-16
3 162 4.4302757754066165e-16
3 163 1.7913447353121608e-16
3 164 4.929291793418353e-17
3 165 1.203445641167445e-17
3 166 1.247363244429416e-14
3 167 2.80193725580113e-14
3 168 5.797727247999096e-14
3 169 7.911228708698377e-14
3 170 5.316607939947835e-14
3 171 2.783438422955621e-14
3 172 1.1683108294552085e-14
3 173 5.937738676852373e-15
3 174 3.2800868870570185e-15
3 175 1.9010220737558866e-15
3 176 1.1290080195013947e-15
3 177 6.068635549121813e-16
3 178 2.5585991719365794e-16
3 179 6.840918435089802e-17
3 180 1.652298161432398e-17
4 1 3.4183719134789425e-10
4 2 8.028751479860005e-10
4 3 1.4913700831824785e-09
4 4 1.7632804087064817e-07
4 5 1.1508084581037383e-09
4 6 2.792896026452914e-10
4 7 6.018996490814879e-11
4 8 1.6043933107006668e-11
4 9 4.566234404698131e-12
4 10 1.6525708508499299e-12
4 11 5.407265087975597e-13
4 12 1.5716928704878733e-13
4 13 5.092893990659862e-14
4 14 1.2310524373951786e-14
4 15 2.775265229420338e-15
4 16 1.1119205680197357e-11
4 17 2.4635129755060284e-11
4 18 4.9711083201460375e-11
4 19 7.242791657308112e-11
4 20 4.75587671854887e-11
4 21 1.7070734682875413e-11
4 22 6.087721199388309e-12
4 23 1.9898481009308675e-12
4 24 6.556981252489773e-13
4 25 2.256062457318196e-13
4 26 1.0013117557638228e-13
4 27 4.591196965560846e-14
4 28 1.9979569482793024e-14
4 29 8.564863131661286e-15
4 30 2.7153700170130722e-15
4 31 1.4595902704304913e-11
4 32 3.5988004368505274e-11
4 33 7.05704088843665e-11
4 34 9.818220220023433e-11
4 35 6.394550987587567e-11
4 36 2.3492649730024646e-11
4 37 8.018081084153049e-12
4 38 2.6011075388618872e-12
4 39 8.529663549359244e-13
4 40 2.992393039073591e-13
4 41 1.298042990714661e-13
4 42 5.86499095630324e-14
4 43 2.7001916509796243e-14
4 44 1.1515734366170136e-14
4 45 3.418145686856772e-15
4 46 1.7057618851700894e-11
4 47 3.91149156856417e-11
4 48 7.644285189399444e-11
4 49 1.1074777268564078e-10
4 50 7.43840193118144e-11
4 51 2.6104491979541297e-11
4 52 8.820692497211576e-12
4 53 2.9203442806853413e-12
4 54 8.705126935137819e-13
4 55 3.408606956351916e-13
4 56 1.4376563262311152e-13
4 57 6.565639148182951e-14
4 58 3.006199429699839e-14
4 59 1.2187122344984293e-14
4 60 3.674228984258471e-15
4 61 1.570738799675627e-15
4 62 3.74031551933177e-15
4 63 7.97290253279776e-15
4 64 1.3211034004589995e-14
4 65 1.257957097132681e-14
4 66 7.302204721084588e-15
4 67 3.3064124964559828e-15
4 68 1.419752092047217e-15
4 69 7.29845828029235e-16
4 70 4.4134787878729374e-16
4 71 2.6025509525293746e-16
4 72 1.4646967336857942e-16
4 73 6.914360790137844e-17
4 74 2.2621418244397847e-17
4 75 5.3093988266728726e-18
4 76 5.644171628938535e-15
4 77 1.3532265881266874e-14
4 78 2.830148044741399e-14
4 79 4.399756478811894e-14
4 80 4.609288660077316e-14
4 81 2.6159885902280487e-14
4 82 1.098516215205995e-14
4 83 4.9746398682041754e-15
4 84 2.4967229550843655e-15
4 85 1.5294318861559042e-15
4 86 9.63716496537991e-16
4 87 5.304099077287272e-16
4 88 2.4910605316047235e-16
4 89 7.391190235950449e-17
4 90 1.863718732274297e-17
4 91 1.6682995558420494e-14
4 92 3.867512219812137e-14
4 93 8.171643430858135e-14
4 94 1.2831967468683678e-13
4 95 1.259336423471712e-13
4 96 7.064805134281426e-14
4 97 3.179183119033965e-14
4 98 1.3894976923373384e-14
4 99 7.388420725719238e-15
4 100 4.314840438582129e-15
4 101 2.594736004636466e-15
4 102 1.417221578648614e-15
4 103 6.368618329363286e-16
4 104 2.0103789895948072e-16
4 105 4.8705289949414015e-17
