180 180
1 1 2.13585756483552e-06
1 2 2.98295054962034e-10
1 3 5.536459502754567e-10
1 4 6.215101892575639e-10
1 5 1.5535325161799822e-10
1 6 8.118705070414483e-11
1 7 1.7206124269332557e-11
1 8 7.315537388702491e-12
1 9 2.115825487996164e-12
1 10 6.112978677204195e-13
1 11 1.783312450518413e-13
1 12 5.002574652828605e-14
1 13 2.903393415502354e-14
1 14 1.139150814451121e-14
1 15 6.395462007761813e-15
1 16 1.5140194585923413e-11
1 17 3.381439972159258e-11
1 18 6.280780848822397e-11
1 19 7.075573372077116e-11
1 20 1.8626833459499853e-11
1 21 1.084544393877195e-11
1 22 3.566776199064768e-12
1 23 1.9505041514915373e-12
1 24 8.170238529481057e-13
1 25 3.146740764641773e-13
1 26 1.2541719531258094e-13
1 27 5.774419557472239e-14
1 28 3.173284573636643e-14
1 29 1.6542265240387028e-14
1 30 7.89877777771905e-15
1 31 1.8817537093618466e-11
1 32 4.201170889887566e-11
1 33 7.794883230333465e-11
1 34 8.744875782099482e-11
1 35 2.220140883818363e-11
1 36 1.288101745868456e-11
1 37 4.057058154183396e-12
1 38 2.234757347229346e-12
1 39 9.349322541595448e-13
1 40 3.623539003343254e-13
1 41 1.4555213845375335e-13
1 42 6.707146895362839e-14
1 43 3.679973677262001e-14
1 44 1.897816060612636e-14
1 45 8.975323233528562e-15
1 46 2.0617401827285217e-11
1 47 4.602098343542235e-11
1 48 8.53392369386174e-11
1 49 9.553407972822794e-11
1 50 2.3806036042526585e-11
1 51 1.3819813436463623e-11
1 52 4.2690411010946055e-12
1 53 2.363852173119631e-12
1 54 9.894646382006926e-13
1 55 3.848182142475427e-13
1 56 1.550658357708287e-13
1 57 7.141301322293298e-14
1 58 3.911892320382991e-14
1 59 2.0063847893638913e-14
1 60 9.450848003638636e-15
1 61 9.590773039857202e-14
1 62 2.2135829273809184e-13
1 63 4.5085501807512736e-13
1 64 6.862129404614927e-13
1 65 6.450762360745253e-13
1 66 5.447764624223325e-13
1 67 3.703611965304576e-13
1 68 2.000926916289889e-13
1 69 8.537134824683753e-14
1 70 3.311337458233793e-14
1 71 1.4462051139976582e-14
1 72 7.566588498532877e-15
1 73 4.269411150928294e-15
1 74 2.2903021304197783e-15
1 75 1.0461102438287004e-15
1 76 1.2791866753531507e-13
1 77 2.9523008150535914e-13
1 78 6.012549662931379e-13
1 79 9.148450200200284e-13
1 80 8.591658619276586e-13
1 81 7.245445702982207e-13
1 82 4.914775018841603e-13
1 83 2.6473228028423566e-13
1 84 1.1259226303063553e-13
1 85 4.3626238436810056e-14
1 86 1.909057457065837e-14
1 87 1.0012695494709686e-14
1 88 5.657363844933188e-15
1 89 3.034380970202767e-15
1 90 1.3837684349089225e-15
1 91 1.3872271257881075e-13
1 92 3.201622542531744e-13
1 93 6.520137437912465e-13
1 94 9.919965880089635e-13
1 95 9.313804905242047e-13
1 96 7.851455552789886e-13
1 97 5.32267639786891e-13
1 98 2.864736380467307e-13
1 99 1.2173521718908407e-13
1 100 4.715574327614283e-14
1 101 2.064578206771935e-14
1 102 1.0835536688026374e-14
1 103 6.12452657520177e-15
1 104 3.2848059963789523e-15
1 105 1.4973301930193004e-15
1 106 1.4322080331904608e-13
1 107 3.3054233403479674e-13
1 108 6.731461147972929e-13
1 109 1.024116252548369e-12
1 110 9.614424179698198e-13
1 111 8.103698987761114e-13
1 112 5.49242770196058e-13
1 113 2.9551909497033856e-13
1 114 1.255380203283389e-13
1 115 4.8623605491020046e-14
1 116 2.1292678705495376e-14
1 117 1.117787856356941e-14
1 118 6.318913347592098e-15
1 119 3.389006951225275e-15
1 120 1.5445762839748082e-15
1 121 6.821191147097983e-14
1 122 1.570678992832655e-13
1 123 3.1783993874667115e-13
1 124 4.742891128775057e-13
1 125 4.197305084761517e-13
1 126 3.299199839868909e-13
1 127 2.0614106524492515e-13
1 128 1.0488140078659381e-13
1 129 4.4749444595304035e-14
1 130 1.870865649271423e-14
1 131 8.869347021894186e-15
1 132 4.728704651960403e-15
1 133 2.5863799919125468e-15
1 134 1.3031160540201593e-15
1 135 5.402831065498271e-16
1 136 9.09837748776998e-14
1 137 2.0949664126101788e-13
1 138 4.2389517103487655e-13
1 139 6.323661567061135e-13
1 140 5.590889833546556e-13
1 141 4.388285116854152e-13
1 142 2.735492822850639e-13
1 143 1.387427770403426e-13
1 144 5.901250294205973e-14
1 145 2.4651940050406172e-14
1 146 1.1707768949468473e-14
1 147 6.256709943854373e-15
1 148 3.4272528634069657e-15
1 149 1.7266519628566592e-15
1 150 7.146330603348028e-16
1 151 9.866970359255967e-14
1 152 2.2719207981236563e-13
1 153 4.5968893556586e-13
1 154 6.857109248119415e-13
1 155 6.060980464028245e-13
1 156 4.755436879798367e-13
1 157 2.962511820602783e-13
1 158 1.5013122721170404e-13
1 159 6.38029811186245e-14
1 160 2.6647423007625072e-14
1 161 1.2661551113761115e-14
1 162 6.770688402421514e-15
1 163 3.7102795290356034e-15
1 164 1.8692023187353314e-15
1 165 7.732691131756852e-16
1 166 1.0186963070860313e-13
1 167 2.345593044655954e-13
1 168 4.745910107538976e-13
1 169 7.079195199698867e-13
1 170 6.256674194623385e-13
1 171 4.908260025927397e-13
1 172 3.0569873284064633e-13
1 173 1.5486931221378158e-13
1 174 6.579545391510545e-14
1 175 2.7477322591912468e-14
1 176 1.3058282066749292e-14
1 177 6.984526319464447e-15
1 178 3.828047318510003e-15
1 179 1.9285175441876347e-15
1 180 7.976638958326616e-16
2 1 2.98295054962034e-10
2 2 8.773660521902249e-07
2 3 1.2463724568978549e-09
2 4 1.4289333520053153e-09
2 5 4.0935376764866226e-10
2 6 1.969077044483032e-10
2 7 4.5767915532616703e-11
2 8 1.8471892724062127e-11
2 9 5.222307631070135e-12
2 10 1.4951571405657509e-12
2 11 4.384641573917095e-13
2 12 1.3013961791687306e-13
2 13 7.251381318741241e-14
2 14 2.924651654019455e-14
2 15 1.589643363401607e-14
2 16 3.381439972159258e-11
2 17 7.566940492559466e-11
2 18 1.4143138724007475e-10
2 19 1.627684657561346e-10
2 20 4.891853541330327e-11
2 21 2.6406534040509812e-11
2 22 9.2308187887886e-12
2 23 4.913356661065059e-12
2 24 2.042702711820013e-12
2 25 7.858260104050615e-13
2 26 3.139730789566934e-13
2 27 1.4554537989285166e-13
2 28 7.966005884095439e-14
2 29 4.1618816658992585e-14
2 30 1.9823136168654316e-14
2 31 4.201170889887566e-11
2 32 9.398094894459394e-11
2 33 1.754518535432049e-10
2 34 2.0107467352140845e-10
2 35 5.850316075050584e-11
2 36 3.131732946908899e-11
2 37 1.0534968249053277e-11
2 38 5.6294765092214555e-12
2 39 2.3363596914038714e-12
2 40 9.044101076906782e-13
2 41 3.6427947123233447e-13
2 42 1.691011307304713e-13
2 43 9.237457283739762e-14
2 44 4.77561312466215e-14
2 45 2.2522347419536925e-14
2 46 4.602098343542235e-11
2 47 1.0292904332295583e-10
2 48 1.920429691689672e-10
2 49 2.196098460748764e-10
2 50 6.284618679928531e-11
2 51 3.357479460491113e-11
2 52 1.1103856618153268e-11
2 53 5.954643391818546e-12
2 54 2.4720868020332483e-12
2 55 9.602463507588792e-13
2 56 3.880413079105583e-13
2 57 1.80069916599713e-13
2 58 9.819354988382429e-14
2 59 5.0492705212948003e-14
2 60 2.3714300183153755e-14
2 61 2.2135829273809184e-13
2 62 5.122814886091466e-13
2 63 1.0509068683832868e-12
2 64 1.630503811413208e-12
2 65 1.594390143847089e-12
2 66 1.3559432659333984e-12
2 67 9.271845995667778e-13
2 68 5.036648791528127e-13
2 69 2.145460521276937e-13
2 70 8.317385804013147e-14
2 71 3.632734432100608e-14
2 72 1.9006315392608102e-14
2 73 1.0724184210552303e-14
2 74 5.7517633220682864e-15
2 75 2.6280306920909083e-15
2 76 2.952300815053593e-13
2 77 6.832154095164238e-13
2 78 1.4014241586077288e-12
2 79 2.173674701075667e-12
2 80 2.1235342079812383e-12
2 81 1.8033752804655093e-12
2 82 1.2303975427733086e-12
2 83 6.663816525787708e-13
2 84 2.829545114619906e-13
2 85 1.0958003107653013e-13
2 86 4.795374873602032e-14
2 87 2.5150645513429902e-14
2 88 1.4210537737091925e-14
2 89 7.620406332609565e-15
2 90 3.4762947795618957e-15
2 91 3.2016225425317455e-13
2 92 7.409057542438607e-13
2 93 1.5197190665674452e-12
2 94 2.356964123737775e-12
2 95 2.302019342310589e-12
2 96 1.9542071711182276e-12
2 97 1.3325151841474817e-12
2 98 7.211118506995289e-13
2 99 3.059315199268725e-13
2 100 1.1844543076335179e-13
2 101 5.186027918439057e-14
2 102 2.7217525471087895e-14
2 103 1.5383988844478282e-14
2 104 8.249311304721798e-15
2 105 3.761584408987962e-15
2 106 3.3054233403479674e-13
2 107 7.649240625461291e-13
2 108 1.5689685617742709e-12
2 109 2.433270767449149e-12
2 110 2.3763201540554196e-12
2 111 2.0169888865525798e-12
2 112 1.3750122366791166e-12
2 113 7.438820876631197e-13
2 114 3.1548828171716294e-13
2 115 1.2213240286905973e-13
2 116 5.3485220755005315e-14
2 117 2.8077447908935188e-14
2 118 1.587226276886607e-14
2 119 8.510996395687039e-15
2 120 3.88027595236653e-15
2 121 1.570678992832655e-13
2 122 3.626315768343215e-13
2 123 7.39046542750336e-13
2 124 1.1243692905600573e-12
2 125 1.0375440846781446e-12
2 126 8.210893129728796e-13
2 127 5.162565753942532e-13
2 128 2.640978309309859e-13
2 129 1.1244134756151982e-13
2 130 4.6992091042913944e-14
2 131 2.227840639856162e-14
2 132 1.1878311718380005e-14
2 133 6.4967043450235e-15
2 134 3.2726111780407242e-15
2 135 1.3573055118973773e-15
2 136 2.0949664126101788e-13
2 137 4.836605921988405e-13
2 138 9.856134635732301e-13
2 139 1.4990617866071911e-12
2 140 1.3820264637852736e-12
2 141 1.092131159096872e-12
2 142 6.850763348468863e-13
2 143 3.493682575376093e-13
2 144 1.4827956363679673e-13
2 145 6.192034983715287e-14
2 146 2.940805638110066e-14
2 147 1.5716612297806698e-14
2 148 8.608887679046509e-15
2 149 4.336266375164312e-15
2 150 1.795310320153154e-15
2 151 2.271920798123658e-13
2 152 5.245090144415819e-13
2 153 1.0688314306973188e-12
2 154 1.625503905771495e-12
2 155 1.4982288321392294e-12
2 156 1.1835044602801131e-12
2 157 7.419319875937338e-13
2 158 3.780470800479287e-13
2 159 1.6031639212098399e-13
2 160 6.693257746247677e-14
2 161 3.1803799898404306e-14
2 162 1.7007710307137715e-14
2 163 9.319820687957656e-15
2 164 4.694262944079112e-15
2 165 1.9426168013927223e-15
2 166 2.345593044655953e-13
2 167 5.415155831091405e-13
2 168 1.1034766182161772e-12
2 169 1.678144381806302e-12
2 170 1.5466026366108584e-12
2 171 1.2215376438037693e-12
2 172 7.655928852399352e-13
2 173 3.8997871968490305e-13
2 174 1.6532279168186643e-13
2 175 6.901710828720545e-14
2 176 3.280032257068616e-14
2 177 1.7544864590475402e-14
2 178 9.615640909804019e-15
2 179 4.843225367265442e-15
2 180 2.003901788513772e-15
3 1 5.536459502754567e-10
3 2 1.2463724568978549e-09
3 3 3.6223523492460646e-07
3 4 2.8730675714328096e-09
3 5 1.105334832718997e-09
3 6 4.620279759779721e-10
3 7 1.2885905766421655e-10
3 8 4.601903489107865e-11
3 9 1.2863975746294605e-11
3 10 3.5243479542325984e-12
3 11 1.0569790733399492e-12
3 12 3.4885746602873123e-13
3 13 1.7938081022935976e-13
3 14 7.75546347505007e-14
3 15 3.873968001321922e-14
3 16 6.280780848822397e-11
3 17 1.4143138724007475e-10
3 18 2.6890411828794853e-10
3 19 3.277908921278356e-10
3 20 1.3143267923730331e-10
3 21 6.241318793081057e-11
3 22 2.4665134382388694e-11
3 23 1.2267168058631148e-11
