180 180
1 1 1.803840480811057e-06
1 2 2.5976968330646833e-10
1 3 4.772455475884643e-10
1 4 5.146351629915791e-10
1 5 8.154178490067529e-11
1 6 4.082543289533637e-11
1 7 8.468445589660612e-13
1 8 1.8858891234651717e-12
1 9 7.154660054754963e-13
1 10 2.929136407136895e-13
1 11 9.570801554069222e-14
1 12 1.8753952569770507e-14
1 13 1.212016192705219e-14
1 14 2.173169327115207e-15
1 15 1.5319728569126171e-15
1 16 1.5495158971222004e-11
1 17 3.4581681225161134e-11
1 18 6.41133148591904e-11
1 19 7.164749692862579e-11
1 20 1.7183853473478057e-11
1 21 8.95777883992101e-12
1 22 1.8056184957714813e-12
1 23 8.484301601902129e-13
1 24 3.064788473245041e-13
1 25 1.263096834163016e-13
1 26 5.639655451545267e-14
1 27 2.5777275753033945e-14
1 28 1.3116605324909059e-14
1 29 5.1536494407874044e-15
1 30 1.6610311641186255e-15
1 31 1.929686234738837e-11
1 32 4.305287243021755e-11
1 33 7.974651257109793e-11
1 34 8.881241340248274e-11
1 35 2.0636579835964788e-11
1 36 1.0762136741038152e-11
1 37 2.0559651848242067e-12
1 38 9.886416287222254e-13
1 39 3.6005687883597557e-13
1 40 1.505271285080333e-13
1 41 6.78811216616427e-14
1 42 3.112738031382257e-14
1 43 1.5843551372507244e-14
1 44 6.132838333096539e-15
1 45 1.937161751524902e-15
1 46 2.1156896051504778e-11
1 47 4.719464340334153e-11
1 48 8.737459817525281e-11
1 49 9.712449816586345e-11
1 50 2.2182625066348555e-11
1 51 1.1595912483247192e-11
1 52 2.15942623382026e-12
1 53 1.0527059285436172e-12
1 54 3.851614430218334e-13
1 55 1.6201035286371148e-13
1 56 7.329689273526487e-14
1 57 3.360341717710962e-14
1 58 1.709073412747099e-14
1 59 6.566749023339846e-15
1 60 2.059389958589066e-15
1 61 2.1195136127298356e-15
1 62 4.81670498476056e-15
1 63 9.392103400747943e-15
1 64 1.246753090791615e-14
1 65 7.327872297765495e-15
1 66 3.830592315996742e-15
1 67 1.5448407487373813e-15
1 68 7.000046416980011e-16
1 69 3.6117758981172165e-16
1 70 2.14257745928572e-16
1 71 1.2981163117829307e-16
1 72 7.162537541939264e-17
1 73 3.261008348818239e-17
1 74 1.0318054385018356e-17
1 75 2.4454665280821166e-18
1 76 1.3826122838844097e-14
1 77 3.1409738172866175e-14
1 78 6.118696750071882e-14
1 79 8.096487397937237e-14
1 80 4.6976903166157546e-14
