180 180
1 1 2.8759700646135457e-06
1 2 3.599728457175456e-10
1 3 6.923692803220461e-10
1 4 7.946063593618895e-10
1 5 2.0544256155068602e-10
1 6 1.166716638539523e-10
1 7 2.536600086913315e-11
1 8 1.0289711781858898e-11
1 9 3.1096010768477727e-12
1 10 8.433659046651579e-13
1 11 2.355068953626666e-13
1 12 6.743200868617293e-14
1 13 4.277608645700293e-14
1 14 1.7684210488594715e-14
1 15 1.1049068867875716e-14
1 16 1.8408333187402506e-11
1 17 4.3082365904403173e-11
1 18 7.964664948224402e-11
1 19 8.670196647362927e-11
1 20 2.4506633948331514e-11
1 21 1.5691539511137218e-11
1 22 5.246214610599565e-12
1 23 2.855755928799994e-12
1 24 1.1624141549274485e-12
1 25 4.3796209397975303e-13
1 26 1.6619157300304e-13
1 27 7.921269137266366e-14
1 28 4.498070219668558e-14
1 29 2.465113695524126e-14
1 30 1.3208228171222237e-14
1 31 2.232336507735347e-11
1 32 5.347363723710457e-11
1 33 9.680708452936049e-11
1 34 1.114242921757407e-10
1 35 2.8075656619035777e-11
1 36 1.723838628612606e-11
1 37 5.506034710951809e-12
1 38 3.106534461907969e-12
1 39 1.2657678392958458e-12
1 40 4.79787193500035e-13
1 41 1.8830446788087076e-13
1 42 8.991883437424914e-14
1 43 5.1201206315500946e-14
1 44 2.833237337368646e-14
1 45 1.5177179255066282e-14
1 46 2.3813579267267324e-11
1 47 5.4654931612156146e-11
1 48 1.069541492749386e-10
1 49 1.226799856750518e-10
1 50 3.003033992160912e-11
1 51 1.7713406010349187e-11
1 52 5.710995923328734e-12
1 53 3.128051491909315e-12
1 54 1.2450968878198976e-12
1 55 4.946566732537628e-13
1 56 2.0561490564818546e-13
1 57 9.202185402822701e-14
1 58 5.5647896606061116e-14
1 59 2.992113535571121e-14
1 60 1.7185823769232937e-14
1 61 1.2193966818811017e-13
1 62 2.85859944534771e-13
1 63 5.752557531736027e-13
1 64 8.672095393006684e-13
1 65 8.558282300108776e-13
1 66 7.302376129101738e-13
1 67 5.007431889704329e-13
1 68 2.641578374557147e-13
1 69 1.1147555154456184e-13
1 70 4.1862638294776793e-14
1 71 1.889347867536015e-14
1 72 1.0322992507727675e-14
1 73 6.153665719385651e-15
1 74 3.5415037885026163e-15
1 75 1.8269736674050155e-15
1 76 1.5692998122001658e-13
1 77 3.7079340919918335e-13
1 78 7.623023595471422e-13
1 79 1.1819073539971347e-12
1 80 1.1189604615460386e-12
1 81 1.0272346958251483e-12
