180 180
1 1 3.053574740933261e-06
1 2 3.6871350347925307e-10
1 3 6.951321754814845e-10
1 4 6.852551392848378e-10
1 5 1.1130781082271935e-10
1 6 5.5514873174393376e-11
1 7 1.1538543780561416e-12
1 8 2.528283570196081e-12
1 9 9.31507327319524e-13
1 10 4.1109433151697834e-13
1 11 1.3243598756535145e-13
1 12 2.692127265544603e-14
1 13 1.7874175594775346e-14
1 14 3.796648867893628e-15
1 15 3.117186835242108e-15
1 16 2.0400910855437933e-11
1 17 4.5774804623447845e-11
1 18 8.27821583579673e-11
1 19 9.255903765012136e-11
1 20 2.2408426117095096e-11
1 21 1.1989413891632987e-11
1 22 2.46494273747248e-12
1 23 1.1583287015545872e-12
1 24 4.1894866538771663e-13
1 25 1.772116982177984e-13
1 26 7.70513151744313e-14
1 27 3.5025029537122884e-14
1 28 1.813715078178053e-14
1 29 7.760143983880434e-15
1 30 2.9698539835551007e-15
1 31 2.4607983415033528e-11
1 32 5.836518803459603e-11
1 33 1.0387993900902824e-10
1 34 1.1660624440280361e-10
1 35 2.6998669269467246e-11
1 36 1.4067622981509953e-11
1 37 2.682090323945637e-12
1 38 1.2566810494731739e-12
1 39 4.9399974906846e-13
1 40 2.00479608964966e-13
1 41 9.19491038465007e-14
1 42 4.393555726505217e-14
1 43 2.168200110932985e-14
1 44 9.140501631344906e-15
1 45 3.386443605894094e-15
1 46 2.8319075932816897e-11
1 47 6.148441021196629e-11
1 48 1.1030934339069791e-10
1 49 1.301447415253148e-10
1 50 2.9317668406464694e-11
1 51 1.5486251301610877e-11
1 52 2.7751627000549485e-12
1 53 1.3767230012297362e-12
1 54 5.167047892815969e-13
1 55 2.155229865320505e-13
1 56 1.014834406759666e-13
1 57 4.85026709540934e-14
1 58 2.4975533309689018e-14
1 59 1.0404347984351598e-14
1 60 3.681269458438031e-15
1 61 2.7807138484004542e-15
1 62 6.082463885186997e-15
1 63 1.2434769901332121e-14
1 64 1.6566511663976742e-14
1 65 9.29415865495446e-15
1 66 5.001163499611634e-15
1 67 1.9732499474767017e-15
1 68 9.356378754083234e-16
1 69 4.842544552009906e-16
1 70 2.910874035802373e-16
1 71 1.8049144209727698e-16
1 72 1.0258842204466726e-16
1 73 5.000396998685639e-17
1 74 1.7912151178072392e-17
1 75 5.13003379652332e-18
1 76 2.0199865565164184e-14
1 77 4.5370778786405533e-14
1 78 8.391905725269984e-14
1 79 1.1211008003733502e-13
1 80 6.277512766245145e-14
1 81 3.3528260729027044e-14
1 82 1.3277695063184193e-14
1 83 6.013468646164465e-15
1 84 3.1328884743825994e-15
1 85 1.84340607155155e-15
1 86 1.1158171868442994e-15
1 87 6.305475421901926e-16
1 88 2.9555313958268086e-16
1 89 1.016494797604325e-16
1 90 2.8039571268290294e-17
1 91 2.939611594836463e-14
1 92 6.749290564106764e-14
1 93 1.3201707256551184e-13
1 94 1.6932943104568088e-13
1 95 9.798549485864298e-14
1 96 5.127407989605973e-14
1 97 2.0802622252197306e-14
1 98 9.294817099175176e-15
1 99 5.085750499766164e-15
1 100 3.0379556703286566e-15
1 101 1.886707688910814e-15
1 102 1.019765844732508e-15
1 103 4.524330393959494e-16
1 104 1.5830666847543754e-16
1 105 4.521930793655208e-17
1 106 3.1579868020239515e-14
1 107 7.431097684246224e-14
1 108 1.4795228015486388e-13
1 109 2.0136644147898007e-13
1 110 1.188737647971752e-13
1 111 5.922294915192661e-14
1 112 2.3549215438640686e-14
1 113 1.0656189421780164e-14
1 114 5.543342155363164e-15
1 115 3.4356961175528017e-15
1 116 2.171845170978323e-15
1 117 1.2248773158398753e-15
1 118 5.8702644526227e-16
1 119 1.9518944579214197e-16
1 120 5.561286853020549e-17
1 121 2.1096233618549208e-15
1 122 4.659033813910018e-15
1 123 9.16906747095499e-15
1 124 1.1748127986993783e-14
1 125 6.411490954757341e-15
1 126 3.4384678581054314e-15
1 127 1.4222311606438066e-15
1 128 6.954696377421415e-16
1 129 3.8644973230223424e-16
1 130 2.3725713358378997e-16
1 131 1.4484560724071545e-16
1 132 7.5193552726623e-17
1 133 3.419064335269666e-17
1 134 1.1205400295942634e-17
1 135 3.318089208445544e-18
1 136 1.3894090954004218e-14
1 137 3.172438595722553e-14
1 138 6.203217493726918e-14
1 139 8.090475610628872e-14
1 140 4.2712394270034913e-14
1 141 2.187307458912806e-14
1 142 9.260177552535034e-15
1 143 4.558780382545835e-15
1 144 2.5292868229542406e-15
1 145 1.5105920575781471e-15
1 146 8.947684283185245e-16
1 147 4.727188213084199e-16
1 148 2.150929032492619e-16
1 149 6.775509399629133e-17
1 150 1.8618204947182244e-17
1 151 2.2086643837375727e-14
1 152 4.9849917959691126e-14
1 153 9.789241299233094e-14
1 154 1.2666182501838758e-13
1 155 6.814375032157134e-14
1 156 3.6669076624632654e-14
1 157 1.4150894797106605e-14
1 158 7.258995603684742e-15
1 159 4.180579466923315e-15
1 160 2.49997673302975e-15
1 161 1.4609719483997016e-15
1 162 7.873445652336715e-16
1 163 3.438791892686439e-16
1 164 1.0645974037235663e-16
1 165 2.9851086070731e-17
1 166 2.5920443877583612e-14
1 167 5.827792637262047e-14
1 168 1.1750971771174498e-13
1 169 1.3717284589884197e-13
1 170 7.909204829154512e-14
1 171 4.0090114601090655e-14
1 172 1.683505608989798e-14
1 173 8.49351202889051e-15
1 174 4.4430592726127004e-15
1 175 2.8085008314894554e-15
1 176 1.69401084857351e-15
1 177 9.173662614719056e-16
1 178 4.0661934155047673e-16
1 179 1.2119930390035702e-16
1 180 3.522795157893978e-17
2 1 3.6871350347925307e-10
2 2 1.2153241784967487e-06
2 3 1.5577409917482623e-09
2 4 1.5673236942890097e-09
2 5 3.0937688348438555e-10
2 6 1.3098437037904158e-10
2 7 6.3440922445598e-12
2 8 6.371411139536816e-12
2 9 2.227301694685214e-12
2 10 9.768573821800227e-13
2 11 3.20005809024013e-13
2 12 7.363095698332456e-14
2 13 4.4229181482373967e-14
2 14 1.0711092964988625e-14
2 15 7.4621148057155e-15
2 16 4.550995039735342e-11
2 17 1.0231903446973321e-10
2 18 1.86166724236444e-10
2 19 2.1258504784526932e-10
2 20 5.925315527321986e-11
2 21 2.9012191449145586e-11
2 22 6.598949779696122e-12
2 23 2.9217372113306643e-12
2 24 1.0371652200035827e-12
2 25 4.3827413069877265e-13
2 26 1.919392505376067e-13
2 27 8.865142342465119e-14
2 28 4.546975218377665e-14
2 29 1.959717526260998e-14
2 30 7.420852221017e-15
2 31 5.487798996677057e-11
2 32 1.304267591267475e-10
2 33 2.3353177176582934e-10
2 34 2.677109835882582e-10
2 35 7.162720018532673e-11
