225 225
1 1 9.374182939272997e-06
1 2 1.3564186372057362e-09
1 3 2.440279715654448e-09
1 4 2.7116374339116563e-09
1 5 6.684927955122799e-10
1 6 3.3330640478186035e-10
1 7 6.356789366246217e-11
1 8 2.5811500939188405e-11
1 9 6.677226708221438e-12
1 10 1.6823761570510183e-12
1 11 4.201935088065424e-13
1 12 6.002814215399441e-14
1 13 4.1716770190372747e-14
1 14 4.212084922503381e-15
1 15 6.716018385379465e-15
1 16 1.0589111829544253e-12
1 17 2.4625173864282898e-12
1 18 4.3693933279611e-12
1 19 5.048193061145846e-12
1 20 1.647736851040534e-12
1 21 1.0406760709512487e-12
1 22 4.534088958601379e-13
1 23 2.5139415434259015e-13
1 24 1.1614574544154341e-13
1 25 4.524989324264437e-14
1 26 1.744353757194569e-14
1 27 7.692678409983862e-15
1 28 4.237202957187383e-15
1 29 2.3691924446556836e-15
1 30 1.2256708783099275e-15
1 31 1.3779972650830633e-12
1 32 3.204570690545968e-12
1 33 6.205589572360244e-12
1 34 6.78616192881158e-12
1 35 2.1003643611245277e-12
1 36 1.3871766175515738e-12
1 37 5.996016928219885e-13
1 38 3.4500931546842645e-13
1 39 1.5017005077922129e-13
1 40 5.754295700426881e-14
1 41 2.1517188845780966e-14
1 42 9.50282910132049e-15
1 43 5.4179411482540335e-15
1 44 2.7819395429159858e-15
1 45 1.4267537164747282e-15
1 46 1.838978652567592e-12
1 47 4.105547091900423e-12
1 48 7.56613402624425e-12
1 49 8.417389424806039e-12
1 50 2.5703561686043786e-12
1 51 1.6916784283004228e-12
1 52 7.193221873734028e-13
1 53 3.899337049014611e-13
1 54 1.6852461148480726e-13
1 55 6.509009709774367e-14
1 56 2.4868039857615215e-14
1 57 1.1344012562458405e-14
1 58 6.003390447974336e-15
1 59 3.1944521819762994e-15
1 60 1.6081961950432995e-15
1 61 1.9762387620242756e-12
1 62 4.514340211091566e-12
1 63 8.530515420619285e-12
1 64 9.529709803234388e-12
1 65 2.8272672496791383e-12
1 66 1.9082155422931118e-12
1 67 7.588489211022844e-13
1 68 4.18394524661694e-13
1 69 1.785027428846141e-13
1 70 6.923485416417517e-14
1 71 2.64804236323947e-14
1 72 1.1759568385089772e-14
1 73 6.4101388963530486e-15
1 74 3.390514584294925e-15
1 75 1.7750571759654482e-15
1 76 6.395606919289479e-15
1 77 1.4986469713141406e-14
1 78 2.868276343627464e-14
1 79 4.385222668089801e-14
1 80 3.999788178750129e-14
1 81 3.4480147706097665e-14
1 82 2.2189889631713135e-14
1 83 1.2433051249593607e-14
1 84 5.282604057554839e-15
1 85 1.9648023337505168e-15
1 86 8.459575561982854e-16
1 87 4.70811526496897e-16
1 88 2.6534054922220907e-16
1 89 1.583516522370988e-16
1 90 7.955601056839167e-17
1 91 1.0366073361593232e-14
1 92 2.4806809457461654e-14
1 93 5.051417767565227e-14
1 94 7.536090163937452e-14
1 95 6.98605281537237e-14
1 96 5.84700643876304e-14
1 97 4.0471287190813884e-14
1 98 2.2535308046073986e-14
1 99 9.25658947933675e-15
1 100 3.623759002317678e-15
1 101 1.5234705025202388e-15
1 102 8.555895786555548e-16
1 103 4.893440669677794e-16
1 104 2.692608952006333e-16
1 105 1.3680677641662866e-16
1 106 1.2361654770669059e-14
1 107 2.8270279253110536e-14
