225 225
1 1 7.196166675341865e-06
1 2 9.171495639483349e-10
1 3 1.6672546805462818e-09
1 4 1.899894520092004e-09
1 5 2.7381434087617737e-10
1 6 1.3918795435426802e-10
1 7 -1.1748079471694499e-12
1 8 5.170258084926999e-12
1 9 2.1145539685681852e-12
1 10 8.544953937323584e-13
1 11 2.551709393840583e-13
1 12 1.6778028322561034e-14
1 13 1.9868375940919806e-14
1 14 -3.639671261891607e-15
1 15 2.540591400130896e-15
1 16 1.0451605246193047e-12
1 17 2.2714814752532796e-12
1 18 4.2860850876409636e-12
1 19 4.896197053610711e-12
1 20 1.2734895133631842e-12
1 21 7.255734444088622e-13
1 22 1.857022478679921e-13
1 23 8.822182158232478e-14
1 24 3.447629008182005e-14
1 25 1.3479547037224201e-14
1 26 6.165405554657114e-15
1 27 2.8683345988699565e-15
1 28 1.373106791959484e-15
1 29 5.972465494593404e-16
1 30 2.2765958067553715e-16
1 31 1.3780987456227145e-12
1 32 3.199262026613152e-12
1 33 5.764941181214952e-12
1 34 6.638122818354382e-12
1 35 1.731286788693866e-12
1 36 8.723674945304524e-13
1 37 2.3962907255593265e-13
1 38 1.0995641469675543e-13
1 39 4.075093514244503e-14
1 40 1.725870090356846e-14
1 41 7.754531336912397e-15
1 42 3.5201733779269204e-15
1 43 1.7433247413753388e-15
1 44 7.259544477712307e-16
1 45 2.566599220446964e-16
1 46 1.6512160255111672e-12
1 47 3.8226762754794294e-12
1 48 7.234561683450669e-12
1 49 8.151498757267866e-12
1 50 1.996777365424861e-12
1 51 1.1843947725153808e-12
1 52 2.755588116130868e-13
1 53 1.3536544502721458e-13
1 54 5.021908211292064e-14
1 55 2.059003647151621e-14
1 56 9.502343646481863e-15
1 57 4.328571893140055e-15
1 58 2.121709064029044e-15
1 59 8.708646291970816e-16
1 60 3.1118984731475087e-16
1 61 1.940527343794377e-12
1 62 4.038341848701668e-12
1 63 8.023825869195595e-12
1 64 9.109736178559538e-12
1 65 2.2540358013501498e-12
1 66 1.2174617209996557e-12
1 67 3.0414290984950407e-13
1 68 1.4537852330181758e-13
1 69 5.389949085465334e-14
1 70 2.1714906181084614e-14
1 71 1.0354849983706173e-14
1 72 4.557131064265604e-15
1 73 2.252148117430228e-15
1 74 9.183906878349985e-16
1 75 3.1341176309494763e-16
1 76 4.972841710443902e-17
1 77 1.1888071766147642e-16
1 78 2.3283039175434605e-16
1 79 2.9836435899054926e-16
1 80 1.81051103769339e-16
1 81 9.443290528978184e-17
1 82 3.771192165709468e-17
1 83 1.667250726393996e-17
1 84 8.719736426381756e-18
1 85 5.229778251171617e-18
1 86 3.3100991338024174e-18
1 87 1.8257864086427674e-18
1 88 8.765512319289278e-19
1 89 2.883823046171397e-19
1 90 7.757037939734031e-20
1 91 1.1124420318703264e-16
1 92 2.575894327295288e-16
1 93 5.098585466593321e-16
1 94 7.112225964761845e-16
1 95 4.01336015803957e-16
1 96 2.0846047177958407e-16
1 97 8.672085235270264e-17
1 98 3.883678300910241e-17
1 99 2.051879332226864e-17
1 100 1.1910308783725878e-17
1 101 7.297654415526005e-18
1 102 4.1602638797731376e-18
1 103 1.8434938612464242e-18
1 104 6.303066228648254e-19
1 105 1.640106259668347e-19
1 106 6.530348961833477e-16
1 107 1.511614567392858e-15
1 108 2.907367435350664e-15
1 109 3.788453782587344e-15
1 110 2.1826863541849665e-15
1 111 1.1789716568830358e-15
1 112 4.639893264954745e-16
1 113 2.0365412690881224e-16
1 114 1.0853853804950764e-16
1 115 6.301958672020164e-17
1 116 3.8479732106660416e-17
1 117 2.18655711028176e-17
1 118 9.97293220719199e-18
1 119 3.3838717002624263e-18
1 120 8.366898575893981e-19
1 121 1.7027630319150535e-15
1 122 3.83712489567821e-15
1 123 7.393630619359524e-15
1 124 9.267300143960078e-15
1 125 5.769646359401005e-15
1 126 2.7533013091839957e-15
1 127 1.131400112527271e-15
1 128 5.114166407987098e-16
1 129 2.6882040500026227e-16
1 130 1.606147426041641e-16
1 131 9.991439728576675e-17
1 132 5.4630201326066154e-17
1 133 2.5326114461427197e-17
1 134 8.150702394939463e-18
1 135 1.9920856026226102e-18
1 136 2.1539775664920618e-15
1 137 4.846932694011573e-15
1 138 9.085395306565197e-15
1 139 1.2427951939531748e-14
1 140 6.907595180831242e-15
1 141 3.6634188533582464e-15
1 142 1.4728330767766395e-15
1 143 6.881346762961839e-16
1 144 3.5640122666663414e-16
1 145 2.123803628216723e-16
1 146 1.3304621449354465e-16
1 147 7.20649690581254e-17
1 148 3.2833152642455197e-17
1 149 1.0865328725285773e-17
1 150 2.547876203834283e-18
1 151 3.01299733780556e-17
1 152 7.16401270088676e-17
1 153 1.391027815021853e-16
1 154 1.7139588139546604e-16
1 155 9.982049994009924e-17
1 156 5.069102270742222e-17
1 157 2.021309163270389e-17
1 158 9.896305766330191e-18
1 159 5.652103978236144e-18
1 160 3.505510275105795e-18
1 161 2.1126054089476365e-18
1 162 1.0834723469809241e-18
1 163 4.734930812871689e-19
1 164 1.4294096070205244e-19
1 165 3.902200959418273e-20
1 166 6.98002546767089e-17
1 167 1.5924486704418095e-16
1 168 3.0428198448600814e-16
1 169 3.8135531079243593e-16
1 170 2.154187968182672e-16
1 171 1.0926563134977115e-16
1 172 4.554152229750571e-17
1 173 2.3330876981369783e-17
1 174 1.2398895040107106e-17
1 175 7.37836409137968e-18
1 176 4.561771492696343e-18
1 177 2.4600752387233638e-18
1 178 1.0857887629079518e-18
1 179 3.2499275532006295e-19
1 180 8.819764277446665e-20
1 181 3.6965380563465345e-16
1 182 8.741615914631655e-16
1 183 1.6592167032063482e-15
1 184 2.0336349493343775e-15
1 185 1.124700634606957e-15
1 186 5.869978130215932e-16
1 187 2.4694979649843506e-16
1 188 1.2427523539850304e-16
1 189 6.836473863360868e-17
1 190 4.132065887436428e-17
1 191 2.4455715090811127e-17
1 192 1.3049004826927787e-17
1 193 5.784622621999099e-18
1 194 1.6619348765389535e-18
1 195 4.262370524466071e-19
1 196 9.394445825624785e-16
1 197 2.114146033068867e-15
1 198 3.9997439014080835e-15
1 199 5.463281251247171e-15
1 200 2.9897321810348287e-15
1 201 1.4820769849244681e-15
1 202 6.140235010043234e-16
