configuration,lenses,sources,photometric redshifts,lens magnification,source magnification,intrinsic alignment,shear bias,fiber assignment,iip weights,reduced shear,one pass,shape noise
0,bgs,hsc,False,False,False,False,False,False,True,True,False,False
1,lrg,hsc,False,False,False,False,False,False,True,True,False,False
2,bgs-r,hsc,False,False,False,False,False,False,True,True,False,False
3,lrg-r,hsc,False,False,False,False,False,False,True,True,False,False
4,bgs,des,True,False,False,False,False,False,True,True,False,False
5,bgs,hsc,True,False,False,False,False,False,True,True,False,False
6,bgs,kids,True,False,False,False,False,False,True,True,False,False
7,lrg,des,True,False,False,False,False,False,True,True,False,False
8,lrg,hsc,True,False,False,False,False,False,True,True,False,False
9,lrg,kids,True,False,False,False,False,False,True,True,False,False
10,bgs-r,des,True,False,False,False,False,False,True,True,False,False
11,bgs-r,hsc,True,False,False,False,False,False,True,True,False,False
12,bgs-r,kids,True,False,False,False,False,False,True,True,False,False
13,lrg-r,des,True,False,False,False,False,False,True,True,False,False
14,lrg-r,hsc,True,False,False,False,False,False,True,True,False,False
15,lrg-r,kids,True,False,False,False,False,False,True,True,False,False
16,bgs,des,True,True,False,False,False,False,True,True,False,False
17,bgs,hsc,True,True,False,False,False,False,True,True,False,False
18,bgs,kids,True,True,False,False,False,False,True,True,False,False
19,lrg,des,True,True,False,False,False,False,True,True,False,False
20,lrg,hsc,True,True,False,False,False,False,True,True,False,False
21,lrg,kids,True,True,False,False,False,False,True,True,False,False
22,bgs,des,True,False,True,False,False,False,True,True,False,False
23,bgs,hsc,True,False,True,False,False,False,True,True,False,False
24,bgs,kids,True,False,True,False,False,False,True,True,False,False
25,lrg,des,True,False,True,False,False,False,True,True,False,False
26,lrg,hsc,True,False,True,False,False,False,True,True,False,False
27,lrg,kids,True,False,True,False,False,False,True,True,False,False
28,bgs-r,des,True,False,True,False,False,False,True,True,False,False
29,bgs-r,hsc,True,False,True,False,False,False,True,True,False,False
30,bgs-r,kids,True,False,True,False,False,False,True,True,False,False
31,lrg-r,des,True,False,True,False,False,False,True,True,False,False
32,lrg-r,hsc,True,False,True,False,False,False,True,True,False,False
33,lrg-r,kids,True,False,True,False,False,False,True,True,False,False
34,bgs,des,True,False,False,True,False,False,True,True,False,False
35,bgs,hsc,True,False,False,True,False,False,True,True,False,False
36,bgs,kids,True,False,False,True,False,False,True,True,False,False
37,lrg,des,True,False,False,True,False,False,True,True,False,False
38,lrg,hsc,True,False,False,True,False,False,True,True,False,False
39,lrg,kids,True,False,False,True,False,False,True,True,False,False
40,bgs-r,des,True,False,False,True,False,False,True,True,False,False
41,bgs-r,hsc,True,False,False,True,False,False,True,True,False,False
42,bgs-r,kids,True,False,False,True,False,False,True,True,False,False
43,lrg-r,des,True,False,False,True,False,False,True,True,False,False
44,lrg-r,hsc,True,False,False,True,False,False,True,True,False,False
45,lrg-r,kids,True,False,False,True,False,False,True,True,False,False
46,bgs,des,True,False,False,False,True,False,True,True,False,False
47,bgs,hsc,True,False,False,False,True,False,True,True,False,False
48,bgs,kids,True,False,False,False,True,False,True,True,False,False
49,lrg,des,True,False,False,False,True,False,True,True,False,False
50,lrg,hsc,True,False,False,False,True,False,True,True,False,False
51,lrg,kids,True,False,False,False,True,False,True,True,False,False
52,bgs-r,des,True,False,False,False,True,False,True,True,False,False
53,bgs-r,hsc,True,False,False,False,True,False,True,True,False,False
54,bgs-r,kids,True,False,False,False,True,False,True,True,False,False
55,lrg-r,des,True,False,False,False,True,False,True,True,False,False
56,lrg-r,hsc,True,False,False,False,True,False,True,True,False,False
57,lrg-r,kids,True,False,False,False,True,False,True,True,False,False
58,bgs,des,True,False,False,False,False,True,True,True,False,False
59,bgs,hsc,True,False,False,False,False,True,True,True,False,False
60,bgs,kids,True,False,False,False,False,True,True,True,False,False
61,lrg,des,True,False,False,False,False,True,True,True,False,False
62,lrg,hsc,True,False,False,False,False,True,True,True,False,False
63,lrg,kids,True,False,False,False,False,True,True,True,False,False
64,bgs,des,True,False,False,False,False,True,False,True,False,False
65,bgs,hsc,True,False,False,False,False,True,False,True,False,False
66,bgs,kids,True,False,False,False,False,True,False,True,False,False
67,lrg,des,True,False,False,False,False,True,False,True,False,False
68,lrg,hsc,True,False,False,False,False,True,False,True,False,False
69,lrg,kids,True,False,False,False,False,True,False,True,False,False
70,bgs,des,True,False,False,False,False,False,False,False,False,False
71,bgs,hsc,True,False,False,False,False,False,False,False,False,False
72,bgs,kids,True,False,False,False,False,False,False,False,False,False
73,lrg,des,True,False,False,False,False,False,False,False,False,False
74,lrg,hsc,True,False,False,False,False,False,False,False,False,False
75,lrg,kids,True,False,False,False,False,False,False,False,False,False
76,bgs-r,des,True,False,False,False,False,False,False,False,False,False
77,bgs-r,hsc,True,False,False,False,False,False,False,False,False,False
78,bgs-r,kids,True,False,False,False,False,False,False,False,False,False
79,lrg-r,des,True,False,False,False,False,False,False,False,False,False
80,lrg-r,hsc,True,False,False,False,False,False,False,False,False,False
81,lrg-r,kids,True,False,False,False,False,False,False,False,False,False
82,bgs,hsc,True,False,False,False,True,False,False,False,False,False
83,bgs-r,hsc,True,False,False,False,True,False,False,False,False,False
84,lrg,hsc,True,False,False,False,True,False,False,False,False,False
85,lrg-r,hsc,True,False,False,False,True,False,False,False,False,False
86,bgs,des,True,False,False,False,False,True,True,False,True,False
87,bgs,hsc,True,False,False,False,False,True,True,False,True,False
88,bgs,kids,True,False,False,False,False,True,True,False,True,False
89,lrg,des,True,False,False,False,False,True,True,False,True,False
90,lrg,hsc,True,False,False,False,False,True,True,False,True,False
91,lrg,kids,True,False,False,False,False,True,True,False,True,False
