bin,lens_bin,source_bin,radial_bin,r,value,error
0,0,0,0,0.101,6.09992064839422,0.0791990747694655
1,0,0,1,0.16,6.244537415757313,0.06855686282255703
2,0,0,2,0.253,5.618668065725257,0.06307025388300003
3,0,0,3,0.401,4.740946775069705,0.0603800385958509
4,0,0,4,0.635,3.893672948842087,0.05822008546877332
5,0,0,5,1.007,3.0461530725043477,0.05883348610166938
6,0,0,6,1.596,2.2089130460353643,0.06008635256706889
7,0,0,7,2.53,1.5204141430467617,0.049370191130846834
8,0,0,8,4.009,1.05921236332512,0.03770566011216148
9,0,0,9,6.355,0.7481003018446777,0.03160605313436052
10,0,0,10,10.071,0.5573662269442188,0.03125563400414444
11,0,0,11,15.962,0.41056768671841093,0.026618473361397093
12,0,0,12,25.298,0.29239701346111546,0.02821629180514936
13,0,0,13,40.095,0.22963805346344254,0.027162867699158884
14,0,0,14,63.546,0.15744864561642766,0.02368085190548036
15,0,1,0,0.101,5.986092092846005,0.06610563598874783
16,0,1,1,0.16,6.2012976861878535,0.06858280677798174
17,0,1,2,0.253,5.579710353156772,0.057428204499365004
18,0,1,3,0.401,4.692371729616938,0.05434793009023523
19,0,1,4,0.635,3.8612640742991795,0.05419586270378099
20,0,1,5,1.007,3.018327040423918,0.054680477499240786
21,0,1,6,1.596,2.18326702587183,0.05660505097771636
22,0,1,7,2.53,1.4996022384234204,0.045563716817376074
23,0,1,8,4.009,1.0419887880840053,0.03551805547432177
24,0,1,9,6.355,0.7369707332857172,0.0299007485994021
25,0,1,10,10.071,0.557033092817919,0.02976346141395892
26,0,1,11,15.962,0.4125697358652139,0.025578698229059203
27,0,1,12,25.298,0.29215478377137216,0.02790044120419953
28,0,1,13,40.095,0.22734556791860963,0.027598294331604427
29,0,1,14,63.546,0.15368731382786946,0.0225483662661778
30,0,2,0,0.101,5.8998530629518,0.07689797622626307
31,0,2,1,0.16,6.196577821419887,0.07594964662377035
32,0,2,2,0.253,5.595919675864832,0.05512323571406189
33,0,2,3,0.401,4.665574261563292,0.051901907917019444
34,0,2,4,0.635,3.86249607365686,0.054372425339044725
35,0,2,5,1.007,3.0148598814126824,0.05409668263597585
36,0,2,6,1.596,2.176646544241344,0.055682177112325384
37,0,2,7,2.53,1.4959510349875298,0.04556097317317728
38,0,2,8,4.009,1.0361993055436989,0.036724228657482115
39,0,2,9,6.355,0.7278307177892058,0.03270809736123114
40,0,2,10,10.071,0.5566799296362105,0.03211908012044862
41,0,2,11,15.962,0.41358670510517637,0.028149868086538014
42,0,2,12,25.298,0.2892168501434053,0.03172389438456269
43,0,2,13,40.095,0.22910382645323113,0.03175778245497432
44,0,2,14,63.546,0.15668389409456285,0.024606677219701157
45,0,3,0,0.101,6.077370429644803,0.1034766014165582
46,0,3,1,0.16,6.1924329846197965,0.06782083194990207
47,0,3,2,0.253,5.6184345250079755,0.06041318841850574
48,0,3,3,0.401,4.702239280848607,0.05247943445841724
49,0,3,4,0.635,3.8871521778205094,0.05457335539316207
50,0,3,5,1.007,3.0222352707252593,0.052926076178306
51,0,3,6,1.596,2.1963671443921435,0.05611681785507434
52,0,3,7,2.53,1.5073554593781635,0.0468523406500149
53,0,3,8,4.009,1.0343631183132787,0.037571195802350375
54,0,3,9,6.355,0.7208136453262024,0.035569687919991315
55,0,3,10,10.071,0.5537805237181426,0.03458859098531921
56,0,3,11,15.962,0.41215983261146544,0.03206960362124081
57,0,3,12,25.298,0.2952217155783372,0.03499371578466949
58,0,3,13,40.095,0.23257103529178882,0.03421903339337007
59,0,3,14,63.546,0.15756685606268075,0.025767636417395844
60,1,0,0,0.101,6.01497747191161,0.10138559334190751
61,1,0,1,0.16,8.064988001330601,0.10412680814961323
62,1,0,2,0.253,7.44323001749903,0.09237554938832133
63,1,0,3,0.401,5.903951907000742,0.06838549483899746
64,1,0,4,0.635,4.298365441504078,0.060413497749025345
65,1,0,5,1.007,2.9924515971973933,0.04695867515601046
66,1,0,6,1.596,2.0160211181571808,0.03749590024286676
67,1,0,7,2.53,1.3835594580681998,0.03585654908156984
68,1,0,8,4.009,0.9804255596180939,0.027414360313912967
69,1,0,9,6.355,0.7390726453524181,0.02483700988228281
70,1,0,10,10.071,0.5724319147353764,0.025114005307489824
71,1,0,11,15.962,0.4799711423514173,0.023003092632632297
72,1,0,12,25.298,0.3730221836662815,0.02823651058814361
73,1,0,13,40.095,0.25383496492481145,0.02807555194215325
74,1,0,14,63.546,0.12458875386173571,0.028120934266913877
75,1,1,0,0.101,5.793172453221526,0.08053482931660709
76,1,1,1,0.16,7.810460224661246,0.07283427036321613
77,1,1,2,0.253,7.392533923216198,0.07074227924465695
78,1,1,3,0.401,5.841101916134757,0.05988595209407116
79,1,1,4,0.635,4.268198567689284,0.0526357280627371
80,1,1,5,1.007,2.970995505037856,0.04139209494003231
81,1,1,6,1.596,2.0030000971825803,0.03321820701157756
82,1,1,7,2.53,1.367324695022841,0.030524863561911638
83,1,1,8,4.009,0.9720617141072092,0.023298279724462304
84,1,1,9,6.355,0.7314296774638639,0.02031867810546435
85,1,1,10,10.071,0.5684127141557666,0.020019632635663764
86,1,1,11,15.962,0.4735353829656769,0.01859041901074677
87,1,1,12,25.298,0.3623047635658591,0.02206163389802247
88,1,1,13,40.095,0.24899048860282486,0.021704536117578957
89,1,1,14,63.546,0.12111679121999647,0.02190184168358224
90,1,2,0,0.101,5.888025038304846,0.08606543714886701
91,1,2,1,0.16,7.913662867046093,0.08302944636830141
92,1,2,2,0.253,7.360714782055217,0.06812119346300174
93,1,2,3,0.401,5.83990860422052,0.05798431897209748
94,1,2,4,0.635,4.237667800296174,0.04965708153310016
95,1,2,5,1.007,2.9489652792312357,0.040000465360386546
96,1,2,6,1.596,1.987152541197335,0.03129391610059494
97,1,2,7,2.53,1.3488156472831396,0.02839887733527121
98,1,2,8,4.009,0.9601792552293361,0.022832003359058085
99,1,2,9,6.355,0.7224016049648606,0.01988478088222367
100,1,2,10,10.071,0.5675087644108572,0.01969966615375496
101,1,2,11,15.962,0.4715476885869477,0.01978355385602055
102,1,2,12,25.298,0.3585570985725111,0.023146618888996866
103,1,2,13,40.095,0.2479083977336324,0.02127649383723473
104,1,2,14,63.546,0.11766375436874538,0.02064866315546858
105,1,3,0,0.101,5.836586153522612,0.07387897695773575
106,1,3,1,0.16,7.916359598265153,0.07694443337562115
107,1,3,2,0.253,7.366481378995409,0.07567535097491661
108,1,3,3,0.401,5.82741857681029,0.05712250616179777
109,1,3,4,0.635,4.234934405399106,0.050085434293107134
110,1,3,5,1.007,2.959505448058822,0.04001870839936979
111,1,3,6,1.596,1.9857640272253758,0.03033080682537498
112,1,3,7,2.53,1.3471798600909533,0.028680803805403377
113,1,3,8,4.009,0.9616035741272562,0.022950722297536325
114,1,3,9,6.355,0.7274818444556511,0.02087926553722677
115,1,3,10,10.071,0.5677024362683931,0.02108615693590044
116,1,3,11,15.962,0.47289722261343786,0.021333064899456054
117,1,3,12,25.298,0.3573294399648922,0.02516890975014015
118,1,3,13,40.095,0.24811898089580814,0.022747937093027353
119,1,3,14,63.546,0.11759687450918778,0.021376969415039672
120,2,0,0,0.101,3.7563414899197674,0.18545601871971593
121,2,0,1,0.16,6.535112331685024,0.12005048209893356
122,2,0,2,0.253,7.6228516187228985,0.09976730575460852
123,2,0,3,0.401,6.46126017132343,0.07135332772837572
124,2,0,4,0.635,4.787993716689901,0.06135705148496363
125,2,0,5,1.007,3.1731451148536434,0.05011073768937415
126,2,0,6,1.596,1.9846575854490425,0.043156152275357566
127,2,0,7,2.53,1.2814036256438708,0.036208341362623526
128,2,0,8,4.009,0.9125580652152474,0.03806522743842678
129,2,0,9,6.355,0.6529540704262892,0.03316367773102974
130,2,0,10,10.071,0.44475513616222684,0.028963383052326017
131,2,0,11,15.962,0.3355911982506322,0.035750799121946626
132,2,0,12,25.298,0.21345410295570827,0.04030706537534662
133,2,0,13,40.095,0.143682828706732,0.04247994115490236
134,2,0,14,63.546,0.051014450713801424,0.036978994029919256
135,2,1,0,0.101,4.075908195003092,0.10958998135829619
136,2,1,1,0.16,6.875317680717654,0.07873249882182506
137,2,1,2,0.253,7.903024431611332,0.06126149252202805
138,2,1,3,0.401,6.779954728571516,0.056723907642507135
139,2,1,4,0.635,4.956115068909467,0.04257838345283928
140,2,1,5,1.007,3.3027113689977767,0.037061189488139946
141,2,1,6,1.596,2.048318058425869,0.030693544754292593
142,2,1,7,2.53,1.310385263258853,0.02490428960387518
143,2,1,8,4.009,0.9186721589805633,0.023188187348053238
144,2,1,9,6.355,0.6652904034665232,0.019875881824531757
145,2,1,10,10.071,0.48153199252098783,0.017170980589805974
146,2,1,11,15.962,0.35887561082627495,0.020890192225156264
147,2,1,12,25.298,0.2545855378423604,0.023702642848679897
148,2,1,13,40.095,0.17657492575737802,0.02562207890401731
149,2,1,14,63.546,0.08315472541564148,0.02149341533433595
150,2,2,0,0.101,4.0198189943535585,0.10003007686434966
151,2,2,1,0.16,7.000316015277671,0.05848729174692946
152,2,2,2,0.253,8.247048805341779,0.060469108825493355
153,2,2,3,0.401,7.0854602443842065,0.04799753894415472
154,2,2,4,0.635,5.157677169425291,0.03695242257276593
155,2,2,5,1.007,3.435602462137492,0.03421199806954482
156,2,2,6,1.596,2.115991376334707,0.027391198975967337
157,2,2,7,2.53,1.3447474244747673,0.02186776653766551
158,2,2,8,4.009,0.9331546864435141,0.019006715567541577
159,2,2,9,6.355,0.6816361814045734,0.015780391893681713
160,2,2,10,10.071,0.5057035059386982,0.013808634491711779
161,2,2,11,15.962,0.370351234218778,0.016434973368456528
162,2,2,12,25.298,0.2674343071016279,0.018924735695753148
163,2,2,13,40.095,0.18777924969074136,0.01994408310080851
164,2,2,14,63.546,0.09096272417080771,0.01666774607044438
165,2,3,0,0.101,4.264884819782677,0.1182372438656829
166,2,3,1,0.16,7.27146199602699,0.13706116305626573
167,2,3,2,0.253,8.46865135669033,0.05842131982536677
168,2,3,3,0.401,7.19626935021418,0.04805512200740877
169,2,3,4,0.635,5.224485697250121,0.03834493974865626
170,2,3,5,1.007,3.4761934811876305,0.03449188114367267
171,2,3,6,1.596,2.128548682331261,0.025759581851724486
172,2,3,7,2.53,1.3566050751780996,0.022051237287990234
173,2,3,8,4.009,0.9373734779866273,0.01873871281985193
174,2,3,9,6.355,0.6885580343446048,0.015464833455390133
175,2,3,10,10.071,0.5170094819971883,0.014341721622098232
176,2,3,11,15.962,0.376790097754539,0.017141822642814636
177,2,3,12,25.298,0.2690990116699752,0.019613966045098272
178,2,3,13,40.095,0.19289464314002572,0.020412181909098277
179,2,3,14,63.546,0.09224144038355515,0.017293723217446436
180,3,0,0,0.101,5.7070105785423815,1.2532530669161184
181,3,0,1,0.16,8.110283515939882,0.6284862019050087
182,3,0,2,0.253,13.084253252563911,0.3976374030261177
183,3,0,3,0.401,12.294701137888994,0.24011450654634056
184,3,0,4,0.635,9.105487760141118,0.19733436098453067
185,3,0,5,1.007,6.001897221896553,0.15138037447846361
186,3,0,6,1.596,3.5531508357884323,0.1282646135551039
187,3,0,7,2.53,1.9448696281315547,0.10371097266367192
188,3,0,8,4.009,1.2188476275410898,0.09673331974221991
189,3,0,9,6.355,0.8458218160365781,0.08285119604330543
190,3,0,10,10.071,0.6994852999325488,0.07043819305395232
191,3,0,11,15.962,0.5585536108652006,0.07594508407495767
192,3,0,12,25.298,0.47876279217253737,0.08480820611912264
193,3,0,13,40.095,0.26379010809167996,0.07825440967109644
194,3,0,14,63.546,0.033566099852072824,0.0834966253270515
195,3,1,0,0.101,4.072196709207155,0.3823175100602885
196,3,1,1,0.16,7.919937727015707,0.21586241026443095
197,3,1,2,0.253,11.827456955543113,0.17744807852524155
198,3,1,3,0.401,11.774600995069319,0.13849675590401717
199,3,1,4,0.635,8.93166003378917,0.11713131998233592
200,3,1,5,1.007,5.775049509157601,0.0975635725642432
201,3,1,6,1.596,3.4064587510920408,0.06830829003768256
202,3,1,7,2.53,1.9568291634310953,0.0497029190487898
203,3,1,8,4.009,1.2549545236722757,0.04097303958722182
204,3,1,9,6.355,0.8581790219470069,0.03560939723156082
205,3,1,10,10.071,0.650652170273561,0.027905610188285884
206,3,1,11,15.962,0.48832385195100186,0.026386125399812804
207,3,1,12,25.298,0.38559397625862585,0.03191262141151095
208,3,1,13,40.095,0.22476195175322278,0.03207253355631492
209,3,1,14,63.546,0.07874294579648819,0.03128841605292816
210,3,2,0,0.101,3.6901914047965416,0.1257263849321852
211,3,2,1,0.16,7.246682986921297,0.10580496119297944
212,3,2,2,0.253,11.231197972087704,0.12460462917894845
213,3,2,3,0.401,11.200917432439471,0.1016473140970224
214,3,2,4,0.635,8.532292687962125,0.08739240931785058
215,3,2,5,1.007,5.480392323180638,0.059248376726749714
216,3,2,6,1.596,3.1898934442246527,0.0385667014190763
217,3,2,7,2.53,1.8658860914065822,0.02524727233531691
218,3,2,8,4.009,1.1995399263199742,0.01884175391883135
219,3,2,9,6.355,0.8411676358975364,0.017163796490399886
220,3,2,10,10.071,0.6262668677369375,0.013148968805022178
221,3,2,11,15.962,0.46605548859906104,0.011514567347933163
222,3,2,12,25.298,0.3540571046315499,0.014712768166889283
223,3,2,13,40.095,0.21208190421441833,0.01661027369495081
224,3,2,14,63.546,0.09627447152528341,0.014512223919165138
225,3,3,0,0.101,3.534300778718686,0.17133505632757998
226,3,3,1,0.16,7.258834473639435,0.123444276547164
227,3,3,2,0.253,10.772792866718424,0.10247682585986456
228,3,3,3,0.401,10.974403840883602,0.08309593013778539
229,3,3,4,0.635,8.380380569545034,0.06511317114613469
230,3,3,5,1.007,5.377400080658066,0.04736566727521316
231,3,3,6,1.596,3.1166788390452753,0.03344986608599867
232,3,3,7,2.53,1.8322833548092883,0.0212858471521402
233,3,3,8,4.009,1.1859854545707869,0.016132466835264116
234,3,3,9,6.355,0.8280176766799061,0.013850743247041171
235,3,3,10,10.071,0.6236922772962715,0.011001450019615475
236,3,3,11,15.962,0.4624448577046986,0.009789663961367745
237,3,3,12,25.298,0.3477789608381835,0.01232067580732051
238,3,3,13,40.095,0.21074810514174566,0.014165835863104095
239,3,3,14,63.546,0.09708886694075221,0.012435241064072265
240,4,0,0,0.101,-4.206846341247539,6.382668085905586
241,4,0,1,0.16,6.298103447822415,3.7909717687009965
242,4,0,2,0.253,7.327257430345568,2.1767064146760675
243,4,0,3,0.401,6.773900970145423,1.4474399784327165
244,4,0,4,0.635,6.779638451102507,1.0344231041517957
245,4,0,5,1.007,2.9916863042710755,0.7538844357366418
246,4,0,6,1.596,1.9995958656733126,0.7527978724501337
247,4,0,7,2.53,0.7306595779012781,0.6485693000179048
248,4,0,8,4.009,-0.14977543479373606,0.6137794367449896
249,4,0,9,6.355,0.3926394823059991,0.5773851257655831
250,4,0,10,10.071,1.201799087663479,0.5152440968278057
251,4,0,11,15.962,0.6335510959323605,0.5598816681129143
252,4,0,12,25.298,-1.1901201374831625,0.6353053918593227
253,4,0,13,40.095,-0.6339846548947977,0.5919044077183379
254,4,0,14,63.546,0.46178803905437205,0.6111008321688743
255,4,1,0,0.101,-0.472307444462687,1.5460304835210936
256,4,1,1,0.16,2.4798036904963308,0.7917646075766047
257,4,1,2,0.253,6.365271572268675,0.4870782563468346
258,4,1,3,0.401,8.06302192966519,0.34834817348993263
259,4,1,4,0.635,6.550138064701243,0.2254613972567694
260,4,1,5,1.007,3.9236627044053853,0.223323800864636
261,4,1,6,1.596,2.2308264066457926,0.18340842531610085
262,4,1,7,2.53,1.2994757551850606,0.1547824814592962
263,4,1,8,4.009,0.6813284972490428,0.13643438427872046
264,4,1,9,6.355,0.7017916304036735,0.12064602608698434
265,4,1,10,10.071,0.7407681867098265,0.11500320176004801
266,4,1,11,15.962,0.48366613965387156,0.12418371178081782
267,4,1,12,25.298,0.04331902726330888,0.1394692682573305
268,4,1,13,40.095,0.08771073129553325,0.1307329999088308
269,4,1,14,63.546,0.24279538144572577,0.13996193710339813
270,4,2,0,0.101,1.0152405777850568,0.28867503882960316
271,4,2,1,0.16,3.36936354981526,0.16133402363823765
272,4,2,2,0.253,6.145554867477206,0.1149734644166723
273,4,2,3,0.401,7.983870422705366,0.10292263056774471
274,4,2,4,0.635,6.291980704356001,0.07314319491387308
275,4,2,5,1.007,4.018456663956401,0.055308014168529845
276,4,2,6,1.596,2.280529520187299,0.04102769612120885
277,4,2,7,2.53,1.388890636732254,0.035543285095233905
278,4,2,8,4.009,0.9348890355349712,0.029306984593317723
279,4,2,9,6.355,0.7192014108513008,0.02489670119669046
280,4,2,10,10.071,0.589427734241659,0.025199647251978475
281,4,2,11,15.962,0.4395409380903087,0.02648009113118922
282,4,2,12,25.298,0.2802884452752969,0.030639856507725355
283,4,2,13,40.095,0.20217601953643424,0.028374224655147204
284,4,2,14,63.546,0.14694422138125052,0.029324582571154376
285,4,3,0,0.101,1.5298873326862612,0.14923688176163888
286,4,3,1,0.16,3.244848494224772,0.08413458664912121
287,4,3,2,0.253,6.030813643305607,0.06123958772255159
288,4,3,3,0.401,7.705094081047168,0.05824548904366979
289,4,3,4,0.635,6.195774290225308,0.049676519552355906
290,4,3,5,1.007,3.9702367380392403,0.03386905644543737
291,4,3,6,1.596,2.244380717201799,0.02569514815351017
292,4,3,7,2.53,1.374966346743158,0.019588541501862632
293,4,3,8,4.009,0.9386797417210856,0.015900670466620005
294,4,3,9,6.355,0.7030746329589282,0.013284208948859073
295,4,3,10,10.071,0.5607136832995837,0.014119660866664692
296,4,3,11,15.962,0.42436149277945895,0.014008367498132125
297,4,3,12,25.298,0.2942257419244225,0.015723940482195123
298,4,3,13,40.095,0.20251488593163816,0.014803568111647618
299,4,3,14,63.546,0.13119725527449363,0.014814916384064111
300,5,0,0,0.101,nan,nan
301,5,0,1,0.16,nan,nan
302,5,0,2,0.253,nan,nan
303,5,0,3,0.401,nan,nan
304,5,0,4,0.635,nan,nan
305,5,0,5,1.007,nan,nan
306,5,0,6,1.596,nan,nan
307,5,0,7,2.53,nan,nan
308,5,0,8,4.009,nan,nan
309,5,0,9,6.355,nan,nan
310,5,0,10,10.071,nan,nan
311,5,0,11,15.962,nan,nan
312,5,0,12,25.298,nan,nan
313,5,0,13,40.095,nan,nan
314,5,0,14,63.546,nan,nan
315,5,1,0,0.101,nan,nan
316,5,1,1,0.16,nan,nan
317,5,1,2,0.253,nan,nan
318,5,1,3,0.401,nan,nan
319,5,1,4,0.635,nan,nan
320,5,1,5,1.007,nan,nan
321,5,1,6,1.596,nan,nan
322,5,1,7,2.53,nan,nan
323,5,1,8,4.009,nan,nan
324,5,1,9,6.355,nan,nan
325,5,1,10,10.071,nan,nan
326,5,1,11,15.962,nan,nan
327,5,1,12,25.298,nan,nan
328,5,1,13,40.095,nan,nan
329,5,1,14,63.546,nan,nan
330,5,2,0,0.101,nan,nan
331,5,2,1,0.16,nan,nan
332,5,2,2,0.253,nan,nan
333,5,2,3,0.401,nan,nan
334,5,2,4,0.635,nan,nan
335,5,2,5,1.007,nan,nan
336,5,2,6,1.596,nan,nan
337,5,2,7,2.53,nan,nan
338,5,2,8,4.009,nan,nan
339,5,2,9,6.355,nan,nan
340,5,2,10,10.071,nan,nan
341,5,2,11,15.962,nan,nan
342,5,2,12,25.298,nan,nan
343,5,2,13,40.095,nan,nan
344,5,2,14,63.546,nan,nan
345,5,3,0,0.101,nan,nan
346,5,3,1,0.16,nan,nan
347,5,3,2,0.253,nan,nan
348,5,3,3,0.401,nan,nan
349,5,3,4,0.635,nan,nan
350,5,3,5,1.007,nan,nan
351,5,3,6,1.596,nan,nan
352,5,3,7,2.53,nan,nan
353,5,3,8,4.009,nan,nan
354,5,3,9,6.355,nan,nan
355,5,3,10,10.071,nan,nan
356,5,3,11,15.962,nan,nan
357,5,3,12,25.298,nan,nan
358,5,3,13,40.095,nan,nan
359,5,3,14,63.546,nan,nan
