bin,lens_bin,source_bin,radial_bin,r,value,error
0,0,0,0,0.006,0.0003731975874924019,9.920320539715357e-06
1,0,0,1,0.01,0.0006378194234846261,9.854790270349884e-06
2,0,0,2,0.016,0.0007550382131744718,8.080784741211187e-06
3,0,0,3,0.025,0.0007178862458861126,6.653865560109668e-06
4,0,0,4,0.04,0.0006239799931625407,5.973181234742927e-06
5,0,0,5,0.063,0.0005166186456199355,5.485734012147089e-06
6,0,0,6,0.1,0.0004181984986632165,5.60115810789849e-06
7,0,0,7,0.158,0.00031515830009163465,5.996914916872294e-06
8,0,0,8,0.251,0.0002245975456652119,5.458791866765798e-06
9,0,0,9,0.397,0.00015393702665055772,4.587561236541144e-06
10,0,0,10,0.629,0.00010943469833812079,3.572882151068719e-06
11,0,0,11,0.998,7.928028340186235e-05,3.4850976594242733e-06
12,0,0,12,1.581,6.090470570036929e-05,3.4922555983850274e-06
13,0,0,13,2.506,4.5095403575646854e-05,3.442611642575663e-06
14,0,0,14,3.972,3.1907429648734353e-05,3.7145396388799315e-06
15,0,1,0,0.006,0.0005089259862914271,1.2582472304077361e-05
16,0,1,1,0.01,0.0009426492408985812,1.2041126324880551e-05
17,0,1,2,0.016,0.001128997203743386,1.1009269102058473e-05
18,0,1,3,0.025,0.0010848650270486857,1.1706479234113188e-05
19,0,1,4,0.04,0.0009291805496349862,9.484190457348409e-06
20,0,1,5,0.063,0.0007747729000558945,9.291425026523116e-06
21,0,1,6,0.1,0.0006235698905230362,9.0998173053049e-06
22,0,1,7,0.158,0.0004694056738012849,9.530284020628653e-06
23,0,1,8,0.251,0.000332016051864943,8.367431736929534e-06
24,0,1,9,0.397,0.00022742614725773015,6.792576784063031e-06
25,0,1,10,0.629,0.0001609440332903299,5.2459415591956575e-06
26,0,1,11,0.998,0.00011854427253115827,5.234534845401386e-06
27,0,1,12,1.581,9.198111519365815e-05,5.145178389412944e-06
28,0,1,13,2.506,6.745229151306677e-05,5.2152666323278915e-06
29,0,1,14,3.972,4.665376230487422e-05,5.540362526357254e-06
30,0,2,0,0.006,0.0006948503183047414,1.8049023499714306e-05
31,0,2,1,0.01,0.0011712620071924642,1.56784636717389e-05
32,0,2,2,0.016,0.0014072748560188704,1.88834686551496e-05
33,0,2,3,0.025,0.0013451023002636058,1.4201331104761227e-05
34,0,2,4,0.04,0.0011483591429771686,1.203307702747411e-05
35,0,2,5,0.063,0.0009556791108407742,1.1784483810806179e-05
36,0,2,6,0.1,0.0007733430092990998,1.173438239605582e-05
37,0,2,7,0.158,0.0005789305130384161,1.2241594814424091e-05
38,0,2,8,0.251,0.0004090669098067796,1.0633244481897825e-05
39,0,2,9,0.397,0.00027985299173084374,8.697259274902195e-06
40,0,2,10,0.629,0.0001968201069628221,7.032632554872462e-06
41,0,2,11,0.998,0.00014659115773446233,7.135919652470443e-06
42,0,2,12,1.581,0.0001156351346895749,6.935155762465441e-06
43,0,2,13,2.506,8.317112267055772e-05,7.318175922096078e-06
44,0,2,14,3.972,5.633066573121888e-05,7.630066732136999e-06
45,0,3,0,0.006,0.0007281253377425626,3.241389812770802e-05
46,0,3,1,0.01,0.0012870471920615495,3.147619415377486e-05
47,0,3,2,0.016,0.0014821640934254501,1.8966677047308924e-05
48,0,3,3,0.025,0.0014127494704092485,1.5843768966711294e-05
49,0,3,4,0.04,0.0012098081331224165,1.280832414042299e-05
50,0,3,5,0.063,0.0010092154593871084,1.265650368325599e-05
51,0,3,6,0.1,0.0008116750366442702,1.1834380209755305e-05
52,0,3,7,0.158,0.0006089442302036751,1.2866755078475899e-05
53,0,3,8,0.251,0.0004309284716628334,1.1366103999597268e-05
54,0,3,9,0.397,0.0002934849983683674,9.395518944592318e-06
55,0,3,10,0.629,0.00020457536263865188,7.815013953232555e-06
