bin,lens_bin,source_bin,radial_bin,r,value,error
0,0,0,0,0.006,30.018381460954213,0.633616945458873
1,0,0,1,0.01,22.43800102304816,0.2968423116593911
2,0,0,2,0.016,17.080089679238597,0.2203227828010244
3,0,0,3,0.025,12.968377764989869,0.208248352438208
4,0,0,4,0.04,9.817881932968774,0.1861837993362993
5,0,0,5,0.063,7.3302625127518395,0.1784375142635673
6,0,0,6,0.1,5.394892484252334,0.1639620253758544
7,0,0,7,0.158,3.9037570885854356,0.1471111381585749
8,0,0,8,0.251,2.8542920239406744,0.13163665514467063
9,0,0,9,0.397,2.0863363845906813,0.11904214853264736
10,0,0,10,0.629,1.4799177618991521,0.10776289607545912
11,0,0,11,0.998,1.004031984254783,0.1016222754122333
12,0,0,12,1.581,0.5964158132603314,0.10933417369048415
13,0,0,13,2.506,0.24848235534076224,0.14569132251546418
14,0,0,14,3.972,-0.0204375730150419,0.22353463058994466
15,0,1,0,0.006,7.460581308188496,0.259097166601941
16,0,1,1,0.01,5.703286916092898,0.18305214922134486
17,0,1,2,0.016,4.300497933232972,0.12332978157373338
18,0,1,3,0.025,3.3344794878191752,0.11257543897756118
19,0,1,4,0.04,2.5055685089934387,0.10697715334750099
20,0,1,5,0.063,1.8533685546893164,0.1006434564479984
21,0,1,6,0.1,1.35292036369834,0.09799808526789013
22,0,1,7,0.158,0.9711535483611033,0.09070170288470339
23,0,1,8,0.251,0.6903535773390201,0.08516119416936006
24,0,1,9,0.397,0.4920276348410413,0.07971362815141479
25,0,1,10,0.629,0.3598060511222245,0.07763645988523127
26,0,1,11,0.998,0.24449366984087284,0.08251364899386632
27,0,1,12,1.581,0.1310194337132531,0.10266093133855853
28,0,1,13,2.506,0.011786840073990668,0.14798759925674865
29,0,1,14,3.972,-0.13123831756723936,0.22614627882832408
30,0,2,0,0.006,2.413463864862364,0.19112224848195988
31,0,2,1,0.01,1.8016144438604886,0.12265785287769981
32,0,2,2,0.016,1.430095409556431,0.10471116607536822
33,0,2,3,0.025,1.1073307151195477,0.08339879681189113
34,0,2,4,0.04,0.8243993429237317,0.08013691338556979
35,0,2,5,0.063,0.6152786033872815,0.08641215562306372
36,0,2,6,0.1,0.41638854886987264,0.07836131551033154
37,0,2,7,0.158,0.2876606654812486,0.07538767880840479
38,0,2,8,0.251,0.18872926068134177,0.07407564321638244
39,0,2,9,0.397,0.1273491675449545,0.07487805741755955
40,0,2,10,0.629,0.11072526148256934,0.07729121406755693
41,0,2,11,0.998,0.09189936065814308,0.08837059969674929
42,0,2,12,1.581,0.05747582952098096,0.1104402961674009
43,0,2,13,2.506,-0.047315205940545724,0.15083776178173022
44,0,2,14,3.972,-0.20033276252894305,0.22056349445819376
45,0,3,0,0.006,2.852013964492617,0.15785787078650043
46,0,3,1,0.01,2.226484280121488,0.111821727713172
47,0,3,2,0.016,1.6830873668707724,0.09038886584359562
48,0,3,3,0.025,1.2694975177199197,0.06525843402665099
49,0,3,4,0.04,1.0169096510755926,0.06480742870692338
50,0,3,5,0.063,0.7209209627898394,0.06118378221791194
51,0,3,6,0.1,0.5132267942741242,0.05921746320577723
52,0,3,7,0.158,0.3463799102491061,0.055413927479484516
53,0,3,8,0.251,0.25351216656765985,0.056620767223351125
54,0,3,9,0.397,0.17488466945101422,0.0580109558290859
55,0,3,10,0.629,0.14398848705075018,0.06146928425514663
56,0,3,11,0.998,0.114478949373642,0.07537530477273854
57,0,3,12,1.581,0.08714277714210183,0.10052154505426483
58,0,3,13,2.506,-0.025990103737227876,0.14805745093654782
59,0,3,14,3.972,-0.17419922912458308,0.22237349837130319
60,1,0,0,0.006,37.548899084195696,0.45627954437641927
61,1,0,1,0.01,25.750812920578483,0.3001883529213579
62,1,0,2,0.016,18.09399112134782,0.22922636851317893
63,1,0,3,0.025,12.875075996277285,0.1719080008499298
64,1,0,4,0.04,9.361850957942263,0.15401550176202128
65,1,0,5,0.063,6.763151836066528,0.13553566854826302
66,1,0,6,0.1,5.155243133444887,0.12546860290149192
67,1,0,7,0.158,3.969240806370178,0.11226216838810119
68,1,0,8,0.251,3.015813569833181,0.10521083386584781
69,1,0,9,0.397,2.1603501835595784,0.09905886546174296
70,1,0,10,0.629,1.4613392003429482,0.0925973437397917
71,1,0,11,0.998,0.8522623037981569,0.09978450506686593
72,1,0,12,1.581,0.43411679650182666,0.11707332202968833
73,1,0,13,2.506,0.1435335390025605,0.14582016052790278
74,1,0,14,3.972,0.01384464525093776,0.17579948436151435
75,1,1,0,0.006,12.999287780193525,0.28219750250142
76,1,1,1,0.01,8.830605082285814,0.15441873625268254
77,1,1,2,0.016,6.166485232046459,0.12367291779584266
78,1,1,3,0.025,4.371599046111108,0.1165278059791574
79,1,1,4,0.04,3.2035982828806375,0.10152740280220478
80,1,1,5,0.063,2.3070042186599027,0.0886389361080017
81,1,1,6,0.1,1.7527859084182085,0.08021585598882681
82,1,1,7,0.158,1.3631672695054498,0.07890053062131475
83,1,1,8,0.251,1.0347283872461421,0.07409304661350877
84,1,1,9,0.397,0.7450197646172496,0.07160252389518153
85,1,1,10,0.629,0.4920583315904725,0.07008766599295482
