bin,lens_bin,source_bin,radial_bin,r,value,error
0,0,0,0,0.006,5.2420415289330835,0.17896480743450635
1,0,0,1,0.01,3.898556450087054,0.13924946982951714
2,0,0,2,0.016,2.94321097902126,0.11418561666156596
3,0,0,3,0.025,2.257255659453339,0.11040381979922614
4,0,0,4,0.04,1.7064648912362923,0.10929924726351681
5,0,0,5,0.063,1.2666725425539038,0.10549071868128838
6,0,0,6,0.1,0.9118695475564875,0.09811333739967036
7,0,0,7,0.158,0.6524115233295102,0.09419783193924246
8,0,0,8,0.251,0.439524283172954,0.09030267964204904
9,0,0,9,0.397,0.305123372079974,0.08649758886079352
10,0,0,10,0.629,0.22738726899944606,0.08275514464440988
11,0,0,11,0.998,0.1509613516892383,0.08440754945646013
12,0,0,12,1.581,0.06495267795199045,0.10212414947184104
13,0,0,13,2.506,-0.016770200475879626,0.14807037086975305
14,0,0,14,3.972,-0.12872455177087572,0.2277553093268654
15,0,1,0,0.006,0.8112707516602313,0.1096017338872397
16,0,1,1,0.01,0.5930761774957993,0.09747648582110133
17,0,1,2,0.016,0.4966971529309472,0.08520401874946305
18,0,1,3,0.025,0.4136042841322185,0.08473299701081853
19,0,1,4,0.04,0.3288469659339377,0.08273311921948336
20,0,1,5,0.063,0.20978486638101312,0.08307889885631921
21,0,1,6,0.1,0.14250399362378818,0.08094993580009917
22,0,1,7,0.158,0.08099417450584401,0.07881377630926838
23,0,1,8,0.251,0.05810208316470167,0.07732774295773469
24,0,1,9,0.397,0.03367098930149304,0.0771094809524545
25,0,1,10,0.629,0.03941681113099893,0.07931512656248962
26,0,1,11,0.998,0.045188347364488735,0.09025686750165729
27,0,1,12,1.581,0.04413557958924397,0.11176622298440266
28,0,1,13,2.506,-0.056396873606467945,0.15117276228947055
29,0,1,14,3.972,-0.21422442340465198,0.2193104671643025
30,0,2,0,0.006,0.9366944639732866,0.12241758081500285
31,0,2,1,0.01,0.8131557127962985,0.09767117314110497
32,0,2,2,0.016,0.554845977062568,0.07633499551327128
33,0,2,3,0.025,0.4654366999692572,0.0765844072343063
34,0,2,4,0.04,0.3600705244879876,0.06859785400958673
35,0,2,5,0.063,0.27064734183042116,0.06910868995998186
36,0,2,6,0.1,0.22220014134659571,0.06775327858386758
37,0,2,7,0.158,0.16778325340280897,0.06554122364058472
38,0,2,8,0.251,0.13097695726689285,0.0657998257816515
39,0,2,9,0.397,0.08564025888586624,0.06535313408791518
40,0,2,10,0.629,0.07986856884334426,0.06584395363592392
41,0,2,11,0.998,0.08497931639108725,0.07561614412323461
42,0,2,12,1.581,0.08969903875877261,0.09743822958337722
43,0,2,13,2.506,-0.014245378372856887,0.14775476318549743
44,0,2,14,3.972,-0.16646303106739868,0.22406270722589186
45,0,3,0,0.006,0.8322368863848517,0.14066990227380546
46,0,3,1,0.01,0.7418727953269144,0.11362695770316222
47,0,3,2,0.016,0.4855220466074117,0.08633717150645158
48,0,3,3,0.025,0.4025066359892193,0.07279497222847278
49,0,3,4,0.04,0.3264955067230346,0.0665966827960327
50,0,3,5,0.063,0.2874054261141845,0.059310378570427154
51,0,3,6,0.1,0.249368258711824,0.05565314772868223
52,0,3,7,0.158,0.2149836862719301,0.056340901358101846
53,0,3,8,0.251,0.1806528276238062,0.05519102651259085
54,0,3,9,0.397,0.13634337790331408,0.052891565449011774
55,0,3,10,0.629,0.11842288078132146,0.05755280460917209
56,0,3,11,0.998,0.09180774077428566,0.0709913041356641
57,0,3,12,1.581,0.060946553281149285,0.09775587659809332
58,0,3,13,2.506,-0.021178141631450487,0.14422450565350553
59,0,3,14,3.972,-0.1432581589377535,0.222260486458564
60,1,0,0,0.006,12.467662840863735,0.25519422478383
61,1,0,1,0.01,8.39846625800793,0.14433134458421767
62,1,0,2,0.016,5.849436630859728,0.11706718386982692
63,1,0,3,0.025,4.139896414667166,0.10990553756985055
64,1,0,4,0.04,2.9753501038578767,0.09731561441743974
65,1,0,5,0.063,2.103451486300667,0.09254104667268055
66,1,0,6,0.1,1.5820440395098112,0.08916867118109101
67,1,0,7,0.158,1.2178742497808148,0.08706821456998108
68,1,0,8,0.251,0.9282787567235218,0.0838082195610526
69,1,0,9,0.397,0.6583946226687676,0.08201847432976733
70,1,0,10,0.629,0.4207410239110976,0.07898010821353131
71,1,0,11,0.998,0.18654664715462843,0.08542228904092404
72,1,0,12,1.581,0.08237635728112203,0.10784069292400056
73,1,0,13,2.506,0.030523888202749205,0.14184287343564603
74,1,0,14,3.972,-0.0015079174857879352,0.1769624149940675
75,1,1,0,0.006,1.4050924711903834,0.12750034697018178
76,1,1,1,0.01,1.156883308616452,0.10320301317846094
77,1,1,2,0.016,0.7595752189708982,0.08904761897118647
