bin,lens_bin,source_bin,radial_bin,r,value,error
0,0,0,0,0.101,-0.5768252166339682,0.6581944889133938
1,0,0,1,0.16,-0.6018712501631326,0.512881101745347
2,0,0,2,0.253,0.1463469795027152,0.540651980468509
3,0,0,3,0.401,-0.09838125721333149,0.5181037713543131
4,0,0,4,0.635,-0.036274878844300175,0.4518689760528064
5,0,0,5,1.007,-0.06573043107991351,0.4117620011147459
6,0,0,6,1.596,-0.4238387224643763,0.4649605758881314
7,0,0,7,2.53,-0.05543775304142721,0.467441494711274
8,0,0,8,4.009,-0.3099002054224694,0.48647932039750796
9,0,0,9,6.355,-0.3961173480059707,0.4531158790002844
10,0,0,10,10.071,0.3702330727020481,0.5326089277262324
11,0,0,11,15.962,0.1711579973312847,0.587913257295416
12,0,0,12,25.298,-0.6407642065451417,0.6258818930723756
13,0,0,13,40.095,-0.4430873976146504,0.7272304632879218
14,0,0,14,63.546,-0.6763278643658447,0.8291958372031109
15,0,1,0,0.101,-0.5197935025943656,0.5450695365047048
16,0,1,1,0.16,-0.24903103654459088,0.5628780320253624
17,0,1,2,0.253,-0.21299288990740567,0.5408279469112028
18,0,1,3,0.401,-0.2401109195699154,0.5112659897927498
19,0,1,4,0.635,-0.23495240486667268,0.43566063094463103
20,0,1,5,1.007,0.019812574266329527,0.4250676952606668
21,0,1,6,1.596,-0.48064429454820906,0.4991486541943962
22,0,1,7,2.53,-0.04907729552287659,0.5172493635112457
23,0,1,8,4.009,-0.07312952649270321,0.5733642433031063
24,0,1,9,6.355,-0.05227243501506261,0.5814601231956692
25,0,1,10,10.071,1.2018859327348725,0.6662842136288756
26,0,1,11,15.962,-0.2682185881656321,0.711032482094329
27,0,1,12,25.298,-0.847767295465416,0.7634666748270397
28,0,1,13,40.095,-0.597756139800863,0.8489812136452891
29,0,1,14,63.546,-0.40080461722814864,0.9443379728087316
30,0,2,0,0.101,-1.0857333885512737,0.708336945478798
31,0,2,1,0.16,-0.7617605087408149,0.6955907311351947
32,0,2,2,0.253,-0.10447971951611598,0.5925072192927265
33,0,2,3,0.401,-0.2467039312486959,0.5622357208685671
34,0,2,4,0.635,-0.19349116124991228,0.4816914859731645
35,0,2,5,1.007,0.054547515956264156,0.46978740765949994
36,0,2,6,1.596,-0.48176157740730563,0.5551141550433292
37,0,2,7,2.53,-0.07440087956261017,0.5759329105712129
38,0,2,8,4.009,0.02663677759898555,0.6532187141837339
39,0,2,9,6.355,0.2514458920517047,0.7133931529146581
40,0,2,10,10.071,1.5541435137698913,0.8359784040454347
41,0,2,11,15.962,-0.622449843710157,0.8844317077502578
42,0,2,12,25.298,-0.8769247942799497,0.8707905879908112
43,0,2,13,40.095,-0.6392851313966187,0.9080336870834153
44,0,2,14,63.546,-0.08835180695752343,0.9817508940246575
45,0,3,0,0.101,0.39570074977660114,0.784614184567942
46,0,3,1,0.16,-0.2064536974240631,0.6399616040069964
47,0,3,2,0.253,-0.2642872765655998,0.632444343874347
48,0,3,3,0.401,-0.49840549883416657,0.559543118918716
49,0,3,4,0.635,-0.1869887506839497,0.466929960524555
50,0,3,5,1.007,0.07621362203994352,0.5024026963525016
51,0,3,6,1.596,-0.33700900303532005,0.5635787783455155
52,0,3,7,2.53,-0.1176764312195102,0.6207351708875016
53,0,3,8,4.009,-0.13726938695948473,0.7479517007881127
54,0,3,9,6.355,0.4336378872936093,0.7856880130064312
55,0,3,10,10.071,1.6575006589707368,0.9660152650004131
56,0,3,11,15.962,-0.6600888416064621,1.0294766221017562
57,0,3,12,25.298,-0.7897593643939688,0.9484868971829264
58,0,3,13,40.095,-0.8279513268233698,0.9540151587072675
59,0,3,14,63.546,-0.10840574879800803,0.9758399020969223
60,1,0,0,0.101,0.06211399097297245,0.600159424065254
61,1,0,1,0.16,-0.15860067012151063,0.4418924296514293
62,1,0,2,0.253,0.08350037192525589,0.5388163494674395
63,1,0,3,0.401,0.37047814401466245,0.5432572342259601
64,1,0,4,0.635,0.4214588625412685,0.5123565621910624
65,1,0,5,1.007,0.03674508915374101,0.5573942578193135
66,1,0,6,1.596,-0.24102168189459483,0.5672847059925828
67,1,0,7,2.53,0.23526979691540903,0.5562857335924304
68,1,0,8,4.009,0.660615732259278,0.6102160877043872
69,1,0,9,6.355,-0.08009002869717652,0.5318017408334424
70,1,0,10,10.071,-0.3067590383158397,0.5220056549447641
71,1,0,11,15.962,0.3728522360534858,0.6562900007565315
72,1,0,12,25.298,-0.47732000309442385,0.5616424851814812
73,1,0,13,40.095,-0.12156399324484182,0.6748824611355989
74,1,0,14,63.546,0.9687160121109705,1.170657112435978
75,1,1,0,0.101,-0.4741991669799699,0.7718010715506699
76,1,1,1,0.16,-0.0493162069586557,0.3848714676041599
77,1,1,2,0.253,-0.30026597105613867,0.48214479710259606
78,1,1,3,0.401,0.020487739243710407,0.4532338303072267
79,1,1,4,0.635,0.30598384129279266,0.4654241442615223
80,1,1,5,1.007,-0.023636814285632513,0.480441761441535
81,1,1,6,1.596,0.01506130965909286,0.5061304964872414
82,1,1,7,2.53,0.3535665862546194,0.4848598969363471
83,1,1,8,4.009,0.7997787433297522,0.5834144945513605
84,1,1,9,6.355,0.00410085453388488,0.5248488526955931
85,1,1,10,10.071,-0.2946956795294179,0.5444497568628708
86,1,1,11,15.962,0.25596439871134885,0.64217874134315
87,1,1,12,25.298,-0.43327663909082453,0.6192200260134874
88,1,1,13,40.095,0.1851472267330599,0.6940574096322163
89,1,1,14,63.546,2.108310591070108,1.2607317562512717
90,1,2,0,0.101,0.32493756535805796,1.0190679720553184
91,1,2,1,0.16,-0.23866419984822895,0.3977887469825874
92,1,2,2,0.253,-0.01129728840156426,0.6629557084828396
93,1,2,3,0.401,0.06179621620068254,0.44977419620618553
94,1,2,4,0.635,0.3956170986205424,0.45896224992453866
95,1,2,5,1.007,0.2892973623675045,0.4990396968255493
96,1,2,6,1.596,0.21823805843162974,0.5245375081162215
97,1,2,7,2.53,0.49974998775170487,0.5255002055358525
98,1,2,8,4.009,0.7858386728298,0.6331523433809959
99,1,2,9,6.355,-0.2220477456289654,0.5904233297038981
100,1,2,10,10.071,-0.32652285680335114,0.6354405139934609
101,1,2,11,15.962,0.44930675230715894,0.7291625266628717
102,1,2,12,25.298,-0.5958658629712827,0.7177575121802926
103,1,2,13,40.095,-0.09379468586109313,0.7778116377472348
104,1,2,14,63.546,3.0120421443149583,1.4569349445137207
105,1,3,0,0.101,-2.0543644175535665,0.9734680026075682
106,1,3,1,0.16,-0.18322082228632217,0.4445387556358282
107,1,3,2,0.253,-0.10494499059788921,0.555222453762334
108,1,3,3,0.401,-0.21697142362386934,0.5528266796745931
109,1,3,4,0.635,0.28836530344317046,0.49682925624069557
110,1,3,5,1.007,0.29599092462521787,0.4945602954323706
111,1,3,6,1.596,0.11444512572598697,0.5446031153243012
112,1,3,7,2.53,0.5674545241191152,0.5651641440628439
113,1,3,8,4.009,0.8049662771758597,0.6784336799544772
114,1,3,9,6.355,-0.36419852903116817,0.6781078223220531
115,1,3,10,10.071,-0.24786531583821084,0.7504459289738982
116,1,3,11,15.962,0.5607819981068916,0.822867425861461
117,1,3,12,25.298,-0.6785335850594639,0.821408762119098
118,1,3,13,40.095,-0.3175275531285416,0.8560492288246497
119,1,3,14,63.546,3.6043199050022006,1.5968173406846846
120,2,0,0,0.101,nan,nan
121,2,0,1,0.16,nan,nan
122,2,0,2,0.253,nan,nan
123,2,0,3,0.401,nan,nan
124,2,0,4,0.635,nan,nan
125,2,0,5,1.007,nan,nan
126,2,0,6,1.596,nan,nan
127,2,0,7,2.53,nan,nan
128,2,0,8,4.009,nan,nan
129,2,0,9,6.355,nan,nan
130,2,0,10,10.071,nan,nan
131,2,0,11,15.962,nan,nan
132,2,0,12,25.298,nan,nan
133,2,0,13,40.095,nan,nan
134,2,0,14,63.546,nan,nan
135,2,1,0,0.101,0.16453677424529298,0.6358229681211197
136,2,1,1,0.16,-0.29970222917131634,0.38095265448490245
137,2,1,2,0.253,0.2240129379487481,0.31049061753659274
138,2,1,3,0.401,0.2614103205124474,0.3067552190821735
139,2,1,4,0.635,-0.3625631730726674,0.31105081484610675
140,2,1,5,1.007,-0.3462837500729752,0.3650840505018566
141,2,1,6,1.596,-0.5186491731340486,0.4816757405985619
142,2,1,7,2.53,-0.9535707580297164,0.5016882188450714
143,2,1,8,4.009,-0.2244911550738031,0.5884293578817544
144,2,1,9,6.355,-1.3488996102272477,0.6314074456945376
145,2,1,10,10.071,0.13472037641442616,0.7028328512979105
146,2,1,11,15.962,-0.571000741890668,0.7457586782058583
147,2,1,12,25.298,1.0999306421919604,0.7928862323328927
148,2,1,13,40.095,-0.9540683397340696,1.0321151840115095
149,2,1,14,63.546,-3.485080825482751,1.7971033200630615
150,2,2,0,0.101,-1.6115290728461074,1.1584420748601307
151,2,2,1,0.16,-0.6294182774623582,0.38277625239955176
152,2,2,2,0.253,0.07918687951669832,0.2721998750366591
153,2,2,3,0.401,-0.05816852629538438,0.34709019661166124
154,2,2,4,0.635,-0.29644244736836345,0.2875520020132227
155,2,2,5,1.007,-0.662984051811917,0.36836938301393957
156,2,2,6,1.596,-0.5848372129373464,0.4971940258565488
