bin,lens_bin,source_bin,radial_bin,r,value,error
0,0,0,0,0.101,-20.088491128545567,0.7897947127765534
1,0,0,1,0.16,-24.26635475112557,0.7565447656821871
2,0,0,2,0.253,-28.286586296448824,0.7412616046988731
3,0,0,3,0.401,-30.809107516059,0.784740878440361
4,0,0,4,0.635,-30.19328169716727,0.828279499114321
5,0,0,5,1.007,-28.56517783194026,0.870640913804414
6,0,0,6,1.596,-26.941499462890278,0.9564478139811192
7,0,0,7,2.53,-24.571175442173875,1.0299058353509125
8,0,0,8,4.009,-22.927506296011632,1.092512191130226
9,0,0,9,6.355,-20.884446283266303,1.0915520859396939
10,0,0,10,10.071,-17.037954616451675,1.1057455211262708
11,0,0,11,15.962,-17.519746467344266,1.2126345462235042
12,0,0,12,25.298,-18.27515831395971,1.992591232903059
13,0,0,13,40.095,-13.659701329174746,2.5041721511026664
14,0,0,14,63.546,-16.256074271917743,3.1673752991858466
15,0,1,0,0.101,-20.90002458009618,0.7602493569347284
16,0,1,1,0.16,-25.644001722056874,0.8007868050437749
17,0,1,2,0.253,-30.414841006790684,0.7946749882324899
18,0,1,3,0.401,-33.278780134830015,0.7886351545944565
19,0,1,4,0.635,-32.29379267195166,0.8250961095204071
20,0,1,5,1.007,-30.212573095787246,0.8604587543726563
21,0,1,6,1.596,-28.64581666140439,1.0046733774707801
22,0,1,7,2.53,-26.29509660551643,1.1203154555711006
23,0,1,8,4.009,-24.25399507366756,1.1814064648878495
24,0,1,9,6.355,-22.55540048681021,1.2840111132170613
25,0,1,10,10.071,-18.407465449713516,1.3710115664617295
26,0,1,11,15.962,-19.57271298333064,1.45766124415734
27,0,1,12,25.298,-20.912881192137593,2.2692895913043816
28,0,1,13,40.095,-13.05910090594542,2.9149256901082228
29,0,1,14,63.546,-15.68231583908622,3.4581670348503426
30,0,2,0,0.101,-21.744479612683573,0.8309813618517325
31,0,2,1,0.16,-26.380812118260334,0.9581471123041793
32,0,2,2,0.253,-31.1365224756909,0.8748726169952716
33,0,2,3,0.401,-34.1094028972372,0.8417135981726909
34,0,2,4,0.635,-33.25146415645186,0.8740279462917141
35,0,2,5,1.007,-30.936830742284986,0.8452486027227935
36,0,2,6,1.596,-28.905159266446862,0.9454797038268585
37,0,2,7,2.53,-26.88576225846559,1.1382538039704657
38,0,2,8,4.009,-24.834989486716843,1.322702215722911
39,0,2,9,6.355,-23.074067666542014,1.6300363602604695
40,0,2,10,10.071,-18.33280340305827,1.700290744278922
41,0,2,11,15.962,-19.746258246768285,1.6828193828261129
42,0,2,12,25.298,-20.83457632028843,2.3744930631688215
43,0,2,13,40.095,-11.402072182642435,3.145800264945129
44,0,2,14,63.546,-14.54865031534721,3.512871573365192
45,0,3,0,0.101,-20.853050509349544,0.8950717924800176
46,0,3,1,0.16,-25.799019148687663,0.797366584545242
47,0,3,2,0.253,-31.35025057505926,0.8868717036335736
48,0,3,3,0.401,-34.65478618938166,0.8537451415415696
49,0,3,4,0.635,-33.730029593764556,0.8403543689286522
50,0,3,5,1.007,-31.55796175605869,0.8429010484568283
51,0,3,6,1.596,-29.191606917034466,0.9748983610601659
52,0,3,7,2.53,-27.069964130567985,1.1526426747087717
53,0,3,8,4.009,-25.181855830218886,1.4139363922936916
54,0,3,9,6.355,-23.464444469668244,1.8126021760937032
55,0,3,10,10.071,-18.20731576639678,1.8815024754128038
56,0,3,11,15.962,-19.78482448849206,1.8790906287243
57,0,3,12,25.298,-20.273103091269963,2.456080655640096
58,0,3,13,40.095,-10.394318329878082,3.2103203193639764
59,0,3,14,63.546,-13.812989272922099,3.407439323744892
60,1,0,0,0.101,-9.31491817281303,0.515241135591142
61,1,0,1,0.16,-10.714237284974688,0.42615919911178535
62,1,0,2,0.253,-13.566255621506105,0.5293760400024184
63,1,0,3,0.401,-17.74790931381093,0.5662451232508077
64,1,0,4,0.635,-21.57686750400603,0.6494847296344606
65,1,0,5,1.007,-24.2422274280431,0.7319626789790319
66,1,0,6,1.596,-25.330364346565116,0.788478408380086
67,1,0,7,2.53,-24.177667058935,0.8375471754083315
68,1,0,8,4.009,-22.256950820553868,1.004753801227719
69,1,0,9,6.355,-21.07217739291064,1.2007206044478897
70,1,0,10,10.071,-18.34500408417807,1.1100787899929396
71,1,0,11,15.962,-14.14083228587655,1.1503368503409224
72,1,0,12,25.298,-14.208506849790952,1.1060235718097953
73,1,0,13,40.095,-15.691366752888838,1.8484567119385922
74,1,0,14,63.546,-17.894517856056567,4.093035173999165
75,1,1,0,0.101,-10.521091465000072,0.6260600299751929
76,1,1,1,0.16,-11.294778942128413,0.5474216750843889
77,1,1,2,0.253,-13.795302105454216,0.5689291479744745
78,1,1,3,0.401,-17.830438684687138,0.6151690661963656
79,1,1,4,0.635,-21.670021536514167,0.6556236630578608
80,1,1,5,1.007,-23.84328747550594,0.7384719424326719
81,1,1,6,1.596,-24.469301525183127,0.7231539093528977
82,1,1,7,2.53,-23.410046519447505,0.8293551095065175
83,1,1,8,4.009,-20.968189037430335,0.9305876025552923
84,1,1,9,6.355,-19.83882787251768,1.1298843485728223
85,1,1,10,10.071,-17.098209506301444,1.116881362092887
86,1,1,11,15.962,-12.919308523789738,1.209075211889771
87,1,1,12,25.298,-13.007690263200903,1.2476889185393347
88,1,1,13,40.095,-14.295883240195918,1.9125569888314837
89,1,1,14,63.546,-14.51261234155762,4.131536979389629
90,1,2,0,0.101,-10.221349571676901,0.667912193584176
91,1,2,1,0.16,-10.830091104195501,0.5038757284392563
92,1,2,2,0.253,-14.083505368851235,0.6201806712385598
93,1,2,3,0.401,-17.86388369768259,0.6026577937747807
94,1,2,4,0.635,-21.661444767026005,0.6572191140520752
95,1,2,5,1.007,-23.704597303959243,0.7182805112042484
96,1,2,6,1.596,-24.236694606643418,0.7168315600823814
97,1,2,7,2.53,-23.232037345732227,0.8678844965161657
98,1,2,8,4.009,-20.765413585700124,0.9772924239219093
99,1,2,9,6.355,-19.43380974491288,1.191750531590056
100,1,2,10,10.071,-16.974185780607417,1.3109814508456326
101,1,2,11,15.962,-12.376308765086609,1.4601353369124812
102,1,2,12,25.298,-12.682507786876835,1.5111186910686893
103,1,2,13,40.095,-14.208362332289573,2.145057830863732
104,1,2,14,63.546,-11.993920203410454,4.415998064958185
105,1,3,0,0.101,-11.091930121808591,1.165884536363102
106,1,3,1,0.16,-10.827059094664714,0.6480618190143032
107,1,3,2,0.253,-13.602497890105568,0.6411133029592836
108,1,3,3,0.401,-18.106704344008225,0.6565063797856152
109,1,3,4,0.635,-21.577027555343573,0.6565545720934388
110,1,3,5,1.007,-23.668017374517518,0.759109986681923
111,1,3,6,1.596,-24.159949872358396,0.7184135145371887
112,1,3,7,2.53,-22.96109401322574,0.8951414277617242
113,1,3,8,4.009,-20.616241952311142,0.9963601844575494
114,1,3,9,6.355,-19.260078435770996,1.2793037027796506
115,1,3,10,10.071,-16.9850952543214,1.4841919105581927
116,1,3,11,15.962,-12.229111018916614,1.6228872719346505
117,1,3,12,25.298,-12.677161331707163,1.7128807386257612
118,1,3,13,40.095,-14.266560522369137,2.325027553274065
119,1,3,14,63.546,-10.69383505524652,4.50698742575321
120,2,0,0,0.101,nan,nan
121,2,0,1,0.16,nan,nan
122,2,0,2,0.253,nan,nan
123,2,0,3,0.401,nan,nan
124,2,0,4,0.635,nan,nan
125,2,0,5,1.007,nan,nan
126,2,0,6,1.596,nan,nan
127,2,0,7,2.53,nan,nan
128,2,0,8,4.009,nan,nan
129,2,0,9,6.355,nan,nan
130,2,0,10,10.071,nan,nan
131,2,0,11,15.962,nan,nan
132,2,0,12,25.298,nan,nan
133,2,0,13,40.095,nan,nan
134,2,0,14,63.546,nan,nan
135,2,1,0,0.101,-4.314481875124666,0.5267850014863693
136,2,1,1,0.16,-5.568530560155056,0.4038709889914156
137,2,1,2,0.253,-6.7722743785320505,0.3644346359567581
138,2,1,3,0.401,-9.29917665725094,0.36506414938858495
139,2,1,4,0.635,-13.559268728970876,0.42395795258331526
140,2,1,5,1.007,-17.62151407136012,0.5453917389480057
141,2,1,6,1.596,-20.840299113517645,0.6057431648797198
142,2,1,7,2.53,-22.488965985137117,0.6939235618222235
143,2,1,8,4.009,-20.75749745032911,0.6348286722579413
144,2,1,9,6.355,-20.050105855020142,0.7949555265109579
145,2,1,10,10.071,-18.818301711922444,1.057844154254627
146,2,1,11,15.962,-18.803687111591252,1.3691043129466514
147,2,1,12,25.298,-17.103042711671083,1.8004932279886747
148,2,1,13,40.095,-20.21958296314651,1.7675742031979387
149,2,1,14,63.546,-25.02896653486111,4.142300673951135
150,2,2,0,0.101,-5.957603064927219,0.8289058776036319
151,2,2,1,0.16,-5.933704844560268,0.4965212273448502
152,2,2,2,0.253,-6.318475328288409,0.34981978803866026
153,2,2,3,0.401,-9.081849129116502,0.38619881588788624
154,2,2,4,0.635,-12.909624244741902,0.368034046297392
155,2,2,5,1.007,-16.91460456271984,0.5260951278236952
156,2,2,6,1.596,-19.70128113788574,0.5940849216283332
157,2,2,7,2.53,-21.033290297265076,0.6777772752403287
158,2,2,8,4.009,-19.171976424216655,0.6337783908251332
159,2,2,9,6.355,-18.475583232128045,0.7696981934688726
160,2,2,10,10.071,-16.80334051578263,1.058205697397907
161,2,2,11,15.962,-17.228577054411083,1.4623089706179646
162,2,2,12,25.298,-15.89532541791978,1.901285776678459
163,2,2,13,40.095,-17.43489664974909,1.9023845133591542
164,2,2,14,63.546,-20.077896806365246,3.866953689203016
165,2,3,0,0.101,-4.633907832365313,0.6538041319446893
166,2,3,1,0.16,-4.644436784039836,0.48047386535310344
167,2,3,2,0.253,-6.310053207739371,0.39238325694882087
168,2,3,3,0.401,-8.751808179866833,0.3606115629546561
169,2,3,4,0.635,-12.732932003835666,0.382391923829924
170,2,3,5,1.007,-16.575685503383728,0.5292086773916207
171,2,3,6,1.596,-19.33254321416748,0.5901765018462298
172,2,3,7,2.53,-20.568685955667643,0.7048098360431532
173,2,3,8,4.009,-18.55285238981242,0.6435424370121758
174,2,3,9,6.355,-17.884981955012382,0.8033678788831581
