bin,lens_bin,source_bin,radial_bin,r,value,error
0,0,0,0,0.101,-97.95701880840967,6.872305570537492
1,0,0,1,0.16,-107.83152823043173,4.20230553574113
2,0,0,2,0.253,-120.52182615705601,4.233034079875221
3,0,0,3,0.401,-107.97383988630021,3.7168437630116657
4,0,0,4,0.635,-92.46029156464667,3.4511117719718603
5,0,0,5,1.007,-79.74541958433429,3.7117101473404555
6,0,0,6,1.596,-65.27284046319586,3.736972743415625
7,0,0,7,2.53,-54.69626179315017,3.095528315817075
8,0,0,8,4.009,-46.51853075049952,2.576448526323136
9,0,0,9,6.355,-41.069832940481625,2.8612558347209136
10,0,0,10,10.071,-35.56279804917716,3.226816679842203
11,0,0,11,15.962,-32.019231954136956,3.383621287212153
12,0,0,12,25.298,-35.62403869754448,4.663988777118824
13,0,0,13,40.095,-26.211513918035955,4.7441759587157355
14,0,0,14,63.546,-29.650543149516576,5.504752368704065
15,0,1,0,0.101,-15.987876678649295,1.4160039186483053
16,0,1,1,0.16,-17.0465698630059,0.9043899664538344
17,0,1,2,0.253,-19.70377903059683,0.8767255107092919
18,0,1,3,0.401,-17.61770534676849,0.6797665870475255
19,0,1,4,0.635,-15.02793587907677,0.6434620238185341
20,0,1,5,1.007,-12.873636739855126,0.6394593183564853
21,0,1,6,1.596,-11.418956173823059,0.65777050463321
22,0,1,7,2.53,-9.100025140561094,0.5767450804577811
23,0,1,8,4.009,-7.4271769996605,0.576134855227966
24,0,1,9,6.355,-6.284496949651059,0.8338534082686628
25,0,1,10,10.071,-6.298277105183976,1.0808322401663926
26,0,1,11,15.962,-5.026641615323701,1.182580100778047
27,0,1,12,25.298,-5.481213274154693,1.8579448150175941
28,0,1,13,40.095,-3.2440824671721424,2.1859818223947367
29,0,1,14,63.546,-3.222810668442778,3.109108486969655
30,0,2,0,0.101,-2.4639411638063065,0.42180055327001287
31,0,2,1,0.16,-3.1571088028921115,0.26033465506018627
32,0,2,2,0.253,-3.2173333531377097,0.19676296848153774
33,0,2,3,0.401,-3.102184160050712,0.18515315406706812
34,0,2,4,0.635,-2.6665379865415515,0.15502694447561263
35,0,2,5,1.007,-2.270062323448131,0.14859691415984447
36,0,2,6,1.596,-2.0954896967028205,0.16606934447702634
37,0,2,7,2.53,-1.660728018655062,0.1713822046591642
38,0,2,8,4.009,-1.1154272807615395,0.26760252532948137
39,0,2,9,6.355,-0.982542341090166,0.3997182449440825
40,0,2,10,10.071,-1.086494627530095,0.5239973174169429
41,0,2,11,15.962,-1.2043482742663998,0.8222267532745737
42,0,2,12,25.298,-2.5794110113074673,1.142306482011869
43,0,2,13,40.095,-0.9793047445115348,1.3764221082587402
44,0,2,14,63.546,0.6485640477368951,2.5064971971913748
45,0,3,0,0.101,-3.0914383117878614,0.365518135539098
46,0,3,1,0.16,-3.08538142765929,0.18783286330969684
47,0,3,2,0.253,-3.363667749717962,0.17862891662466857
48,0,3,3,0.401,-3.0283243586411506,0.15825608354917736
49,0,3,4,0.635,-2.6521604714885827,0.15406659694123626
50,0,3,5,1.007,-2.0903402490126584,0.13266723213691847
51,0,3,6,1.596,-1.9354392170637087,0.13524901993571017
52,0,3,7,2.53,-1.5605288423340784,0.12356322382280477
53,0,3,8,4.009,-1.1607922771928152,0.18985349665043774
54,0,3,9,6.355,-1.1789312255929705,0.309486099274646
55,0,3,10,10.071,-1.0407097092938675,0.3846548355840332
56,0,3,11,15.962,-0.9925597591277091,0.5429797615525912
57,0,3,12,25.298,-2.356440489641265,0.7357876234447249
