bin,lens_bin,source_bin,radial_bin,r,value,error
0,0,0,0,0.101,-11.310985112752444,0.8474898940420541
1,0,0,1,0.16,-12.567648012556075,0.585136375166986
2,0,0,2,0.253,-14.445558567862316,0.5966524412976726
3,0,0,3,0.401,-12.86198552252079,0.5155480587543108
4,0,0,4,0.635,-11.103194657356084,0.5103399690866667
5,0,0,5,1.007,-9.262794924795962,0.5128157517059977
6,0,0,6,1.596,-8.40399016331365,0.5599983996145049
7,0,0,7,2.53,-6.592629358921338,0.47876253594830315
8,0,0,8,4.009,-4.985661471613744,0.5565688181648025
9,0,0,9,6.355,-4.388829900347093,0.8602436286770587
10,0,0,10,10.071,-4.560367165391812,1.0825859884122762
11,0,0,11,15.962,-3.4151804875789162,1.288269608362279
12,0,0,12,25.298,-2.7277527733329405,1.9616726203867763
13,0,0,13,40.095,-1.308720701694484,2.339113482263988
14,0,0,14,63.546,-1.4554662652093322,3.3396509783147597
15,0,1,0,0.101,-0.7949798933984299,0.16231184378490096
16,0,1,1,0.16,-1.1090267335250985,0.12357368196134533
17,0,1,2,0.253,-1.2037982989327796,0.1001998941407748
18,0,1,3,0.401,-1.005966877688024,0.0913314754326015
19,0,1,4,0.635,-0.8195953775971999,0.08206725243315445
20,0,1,5,1.007,-0.701596751736109,0.10079321629084476
21,0,1,6,1.596,-0.6723007549382419,0.1252648553216134
22,0,1,7,2.53,-0.43588609505807013,0.1515513979904662
23,0,1,8,4.009,-0.1276895395821461,0.23409765802009735
24,0,1,9,6.355,-0.16888517487730823,0.3511475014175188
25,0,1,10,10.071,-0.2740186339313017,0.46727181828663383
26,0,1,11,15.962,-0.37945554714490876,0.7911178877935181
27,0,1,12,25.298,-1.8756723468296512,1.0538425824801592
28,0,1,13,40.095,-0.5742308601790319,1.2786528000499489
29,0,1,14,63.546,1.1507323892663672,2.261261502117774
30,0,2,0,0.101,-0.8281461991218473,0.12249276297237142
31,0,2,1,0.16,-1.0759705488338116,0.11508936498003741
32,0,2,2,0.253,-0.9346177083277205,0.0819640213592786
33,0,2,3,0.401,-0.7466817850192151,0.07180283719206892
34,0,2,4,0.635,-0.7172234145397667,0.07782401208713355
35,0,2,5,1.007,-0.5519145367566755,0.08287467595812202
36,0,2,6,1.596,-0.5901659337386445,0.09333841728840389
37,0,2,7,2.53,-0.6178304779374052,0.1126875850384692
38,0,2,8,4.009,-0.49480065268233814,0.18531376551629153
39,0,2,9,6.355,-0.6109806329379606,0.2630831450402639
