bin,lens_bin,source_bin,radial_bin,r,value,error
0,0,0,0,0.101,-209.7652189852965,14.31575582105674
1,0,0,1,0.16,-239.25996115364336,10.11186876901854
2,0,0,2,0.253,-267.13790307454605,10.309447767260247
3,0,0,3,0.401,-238.05583896176535,8.10161839348204
4,0,0,4,0.635,-201.27646367861095,7.2693033334741495
5,0,0,5,1.007,-172.34969299257537,7.897446092553422
6,0,0,6,1.596,-138.8699477557422,7.801751521301011
7,0,0,7,2.53,-114.94842329129389,6.4553436328186615
8,0,0,8,4.009,-98.91139510308601,5.318839368510907
9,0,0,9,6.355,-88.02581750197912,5.517871460143659
10,0,0,10,10.071,-78.90289959944641,6.458813556431779
11,0,0,11,15.962,-71.92249719673002,7.069163251735301
12,0,0,12,25.298,-74.36826788863037,8.714822307666916
13,0,0,13,40.095,-57.91629732883703,8.556632045612535
14,0,0,14,63.546,-61.30766267245645,8.7110036611304
15,0,1,0,0.101,-6.6306961866227185,1.1465984186839924
16,0,1,1,0.16,-7.3759442305778675,0.4854972332037821
17,0,1,2,0.253,-8.492085891345779,0.5020319337898684
18,0,1,3,0.401,-8.024187825531376,0.4315082702684526
19,0,1,4,0.635,-6.88633856935961,0.46780623983961
20,0,1,5,1.007,-5.560749855898065,0.43877086090429324
21,0,1,6,1.596,-5.936280646918119,0.5529087029737794
22,0,1,7,2.53,-4.807868085437179,0.5065550959476133
23,0,1,8,4.009,-2.8377831863515537,0.6394665103485092
24,0,1,9,6.355,-2.154844275958997,0.9469892117211036
25,0,1,10,10.071,-2.462085189004393,1.2751958826808845
26,0,1,11,15.962,-0.9752799147139252,1.4091791593618845
27,0,1,12,25.298,-2.0370859654033744,2.1902144284960743
28,0,1,13,40.095,-1.5436994329185691,2.96712126206032
29,0,1,14,63.546,-3.9046167561467606,3.6937900117617515
30,0,2,0,0.101,-5.914125732736809,0.61980621551469
31,0,2,1,0.16,-6.270068634468418,0.3867859120105824
32,0,2,2,0.253,-7.132884065829282,0.3728740483967558
33,0,2,3,0.401,-6.570880773980987,0.3072261805922395
34,0,2,4,0.635,-5.647518096797098,0.27785409005829703
35,0,2,5,1.007,-4.838495362623329,0.28757185972329513
36,0,2,6,1.596,-4.5500449612678135,0.3363316523724756
37,0,2,7,2.53,-3.390706400308909,0.32660457334819093
38,0,2,8,4.009,-2.588646338289573,0.42717459618929005
39,0,2,9,6.355,-2.2252893231352164,0.6397993824369848
40,0,2,10,10.071,-2.9004315240647416,0.8993466792845477
41,0,2,11,15.962,-2.3010088874235044,1.1211617855801919
42,0,2,12,25.298,-1.6649892083183058,1.6424402535870293
43,0,2,13,40.095,-1.246169056332711,1.9005085724039745
44,0,2,14,63.546,0.2640070845565325,2.967706994308236
45,0,3,0,0.101,-2.1063141480466023,0.4412585726640502
46,0,3,1,0.16,-2.1771069084496477,0.22760115505929304
47,0,3,2,0.253,-2.4606778900944244,0.16942894957127097
48,0,3,3,0.401,-2.166647275664312,0.17641813063992623
49,0,3,4,0.635,-1.8062357827423652,0.11932215520325007
50,0,3,5,1.007,-1.5896501805119978,0.14595302295795526
51,0,3,6,1.596,-1.5065719717059434,0.1537201064880192
52,0,3,7,2.53,-1.0002250657906049,0.17121084193932884
53,0,3,8,4.009,-0.6000546509684989,0.2328866045237344
54,0,3,9,6.355,-0.6278044521696282,0.3766272516564742
55,0,3,10,10.071,-0.6675597488643789,0.48072743464580336
56,0,3,11,15.962,-0.688194601330723,0.8065203957088075
57,0,3,12,25.298,-2.3973962160289912,1.1708717290234034
58,0,3,13,40.095,-0.7330234070152662,1.3533587948447134
59,0,3,14,63.546,1.0867870199351375,2.361003403472332
60,0,4,0,0.101,-1.5372782973388828,0.30912513123337887
61,0,4,1,0.16,-1.4998768548754788,0.17597723093722897
62,0,4,2,0.253,-1.7508035726679223,0.1496524470992202
63,0,4,3,0.401,-1.687465889274138,0.13560268955618263
64,0,4,4,0.635,-1.5053448674867784,0.08965667547393436
65,0,4,5,1.007,-1.2139509068759207,0.10265724377048122
66,0,4,6,1.596,-1.0993378988937623,0.11179002591165164
67,0,4,7,2.53,-0.9467227511677602,0.11448915805857804
68,0,4,8,4.009,-0.7141213054576794,0.18743209517178075
69,0,4,9,6.355,-0.7838333017876677,0.2923887199828917
70,0,4,10,10.071,-0.7213241625353779,0.3598393528895925
71,0,4,11,15.962,-0.6901526298569507,0.5390758879396681
72,0,4,12,25.298,-2.2435430206676754,0.6907901718911823
73,0,4,13,40.095,-1.075694967463997,0.8166924052792708
74,0,4,14,63.546,-0.056944909465709764,1.7635918481495623
75,1,0,0,0.101,-349.6776176731916,61.71586016590621
76,1,0,1,0.16,-266.61479377495385,15.311707839700947
77,1,0,2,0.253,-353.59992634751046,11.631185692360651
78,1,0,3,0.401,-443.4940792934023,14.232244466184337
79,1,0,4,0.635,-399.25684454483013,15.138380268688408
80,1,0,5,1.007,-342.9063878554357,13.640033125480407
81,1,0,6,1.596,-304.480145490545,15.962399254721726
82,1,0,7,2.53,-274.42744877552474,14.8748767663323
83,1,0,8,4.009,-247.96531897910072,11.115859372308801
84,1,0,9,6.355,-224.35701787093177,11.338112246387816
85,1,0,10,10.071,-203.71649963017074,10.844805624345781
86,1,0,11,15.962,-178.6168118890364,10.248064615804989
87,1,0,12,25.298,-148.939561737648,11.954178352065329
88,1,0,13,40.095,-137.93003736627708,16.49091189887981
89,1,0,14,63.546,-129.5959474381256,28.44246370827714
90,1,1,0,0.101,-22.7327652111692,3.2210678051314137
91,1,1,1,0.16,-18.943290327404533,1.2175527421480907
92,1,1,2,0.253,-26.76461349737294,0.8889928093839133
93,1,1,3,0.401,-35.509881669334085,1.3176044797204847
94,1,1,4,0.635,-32.74370827198923,1.2095485182481236
95,1,1,5,1.007,-28.50059782959555,1.1330305531569038
96,1,1,6,1.596,-25.837383207369985,0.8679722028161203
97,1,1,7,2.53,-22.460960044524082,0.9821794561905567
98,1,1,8,4.009,-19.76843501192783,0.9145838929734261
99,1,1,9,6.355,-18.518507063069375,1.0006026098548964
100,1,1,10,10.071,-17.886937104592,1.226286227698919
101,1,1,11,15.962,-17.111319116607596,1.7482405410626076
102,1,1,12,25.298,-15.137511725387155,2.4146114159123324
103,1,1,13,40.095,-12.651561262478129,2.7381186214517363
104,1,1,14,63.546,-8.919540105123398,4.588536326469323
105,1,2,0,0.101,-8.243866570863258,1.3051468713582766
106,1,2,1,0.16,-6.402827129409532,0.34262876334874753
107,1,2,2,0.253,-8.046226204324544,0.3115214639084938
108,1,2,3,0.401,-10.690680897042228,0.3463143066947598
109,1,2,4,0.635,-9.82815322565982,0.3498066028044869
110,1,2,5,1.007,-8.455432420712105,0.34524401761398027
111,1,2,6,1.596,-7.634115483944619,0.3350058579802001
112,1,2,7,2.53,-6.179402039782387,0.38282450221830056
113,1,2,8,4.009,-5.243905744037011,0.40665522805214965
114,1,2,9,6.355,-5.500393692918791,0.45250901564997015
115,1,2,10,10.071,-5.205045417825055,0.6181492539395277
116,1,2,11,15.962,-5.1229439197150155,0.767899262386155
117,1,2,12,25.298,-4.393869655657607,1.0345178151614995
118,1,2,13,40.095,-4.881721399126387,1.3409265085940691
119,1,2,14,63.546,-5.461065327991294,2.472749418183864
120,1,3,0,0.101,-1.4747594359412757,0.552091303850889
121,1,3,1,0.16,-1.0517602423441763,0.17235738093752528
122,1,3,2,0.253,-1.4013060934584236,0.1343253437857589
123,1,3,3,0.401,-1.6616837560811961,0.1351774721462566
124,1,3,4,0.635,-1.4790541295100397,0.11606305291877862
125,1,3,5,1.007,-1.324811354966673,0.13823735738576798
126,1,3,6,1.596,-1.2733166773604512,0.15131773512629856
127,1,3,7,2.53,-1.2566758986941322,0.15406469806251133
128,1,3,8,4.009,-0.8880959648801495,0.20425245353468174
129,1,3,9,6.355,-1.0973518751420428,0.2770871086996861
130,1,3,10,10.071,-0.5913112604195104,0.3457835667031502
131,1,3,11,15.962,-0.8217227439474183,0.41297984263803383
132,1,3,12,25.298,-0.29191033277903294,0.591622183440346
133,1,3,13,40.095,-0.6839454144472201,0.8974275095102916
134,1,3,14,63.546,-1.364856722711381,1.942173999505256
135,1,4,0,0.101,-0.5004304008585253,0.4405789817861685
136,1,4,1,0.16,-0.7968843022497093,0.15084984303639512
137,1,4,2,0.253,-0.7518204002754748,0.1457413446171796
138,1,4,3,0.401,-0.9628042651637174,0.08765646363140335
139,1,4,4,0.635,-0.9161895944001087,0.09238686301294657
140,1,4,5,1.007,-0.8486210187254298,0.0829098708438137
141,1,4,6,1.596,-0.9484303248202236,0.08706073334045879
142,1,4,7,2.53,-0.772887818806043,0.09950462852675744
143,1,4,8,4.009,-0.575062657114136,0.12760087537167417
144,1,4,9,6.355,-0.6953323081947306,0.1638303470892985
145,1,4,10,10.071,-0.5096053998974762,0.2318037409220578
146,1,4,11,15.962,-0.5572210454199749,0.276502962742428
147,1,4,12,25.298,-0.5094531557065753,0.3698350007930945
148,1,4,13,40.095,-0.38423447775658176,0.5645816015588688
149,1,4,14,63.546,-0.319140195550898,1.2334153997103705
150,2,0,0,0.101,-498.0748612830346,128.56178354291532
151,2,0,1,0.16,-217.41340428610022,28.100935786335192
152,2,0,2,0.253,-190.65739456065435,15.469616173976284
153,2,0,3,0.401,-308.11930892274654,13.36673408915119
154,2,0,4,0.635,-366.0298692573634,12.048876788795829
155,2,0,5,1.007,-341.83470854181564,14.63242608110529
156,2,0,6,1.596,-314.88471198313647,18.16050090558005
157,2,0,7,2.53,-287.4937007373707,18.22049859704375
158,2,0,8,4.009,-206.37551670100032,17.879304542578726
159,2,0,9,6.355,-207.5665993484602,22.174094147795252
160,2,0,10,10.071,-211.97754845935165,29.60564063175546
161,2,0,11,15.962,-198.54801130970992,30.14101826600692
162,2,0,12,25.298,-374.9921745624139,108.99469196349122
163,2,0,13,40.095,-523.3905890315409,297.14470366145815
164,2,0,14,63.546,124.66580817928414,116.6327749280144
165,2,1,0,0.101,-183.24160717812953,27.367536570230463
166,2,1,1,0.16,-88.05685836453311,5.986961961382676
167,2,1,2,0.253,-92.49122841848332,3.125041584516783
168,2,1,3,0.401,-140.8072522252351,3.444698822692288
169,2,1,4,0.635,-175.63653289174613,3.76324682705738
170,2,1,5,1.007,-156.83096030979473,4.218877858851697
171,2,1,6,1.596,-141.70514853952042,4.024993814599916
172,2,1,7,2.53,-120.9570011455165,3.505330877559599
173,2,1,8,4.009,-105.82810965736205,2.853781926028712
174,2,1,9,6.355,-97.06950056502839,2.840017171360372
175,2,1,10,10.071,-94.4077188021176,2.927154363359679
176,2,1,11,15.962,-80.93131074833924,3.8922922804823274
177,2,1,12,25.298,-85.72481777556172,5.393392631818145
178,2,1,13,40.095,-89.11156372948793,7.729383714977544
179,2,1,14,63.546,-98.65219747980834,16.006801038264353
180,2,2,0,0.101,-24.600226675273987,4.197575644577962
181,2,2,1,0.16,-10.951254476510988,0.7447160253882179
182,2,2,2,0.253,-12.00489271984756,0.4268048546445997
183,2,2,3,0.401,-17.446996416156246,0.46147786834219867
184,2,2,4,0.635,-21.875508122040657,0.5437377185587966
185,2,2,5,1.007,-19.77284117722013,0.5739684447049032
186,2,2,6,1.596,-17.242265431267466,0.5819700525056931
187,2,2,7,2.53,-15.915332544225146,0.5973681240139901
188,2,2,8,4.009,-14.31456506157978,0.5794626365479327
189,2,2,9,6.355,-12.882748121246216,0.6360580917579632
190,2,2,10,10.071,-12.098870918959996,0.7982910182330103
191,2,2,11,15.962,-10.10486288596526,1.0312147517055363
192,2,2,12,25.298,-9.819776237529993,1.4959287393824323
193,2,2,13,40.095,-9.893451804112516,2.0268247134724913
194,2,2,14,63.546,-7.139609653432743,4.039518433227151
195,2,3,0,0.101,-0.862700568825845,0.8242199855863888
196,2,3,1,0.16,-0.7695497041608158,0.2731938670157612
197,2,3,2,0.253,-0.8512389087313658,0.15385750091301648
198,2,3,3,0.401,-0.891178285639151,0.11561446732659697
199,2,3,4,0.635,-1.2005761225380016,0.13673336639023573
200,2,3,5,1.007,-1.4489042991624619,0.12961346655825512
201,2,3,6,1.596,-0.9182370188305944,0.13495374905824137
202,2,3,7,2.53,-0.9107994787280096,0.17480643108706484
203,2,3,8,4.009,-0.9486631039343864,0.18598665742903558
204,2,3,9,6.355,-1.1702179466580618,0.22419050848764066
205,2,3,10,10.071,-1.4092572379721486,0.30639817291134536
206,2,3,11,15.962,-0.8334168152077994,0.4553994575869311
207,2,3,12,25.298,-0.6256676024087361,0.5748717209060445
208,2,3,13,40.095,-1.411502527744065,0.8131264173285443
209,2,3,14,63.546,0.1686538922673136,1.6390770195000388
210,2,4,0,0.101,-1.6225818522005415,0.6684525063528065
211,2,4,1,0.16,-0.8520267286139701,0.21315427420339286
212,2,4,2,0.253,-0.625649487510101,0.10226460970505394
213,2,4,3,0.401,-0.7106046308176418,0.07880225525631726
214,2,4,4,0.635,-0.7478685512002092,0.08014214471608662
215,2,4,5,1.007,-0.7496171633711894,0.08087173515160032
216,2,4,6,1.596,-0.7065395354982935,0.0982208373474935
217,2,4,7,2.53,-0.6016928285497919,0.10997098198031792
218,2,4,8,4.009,-0.36043763289268715,0.12311006718418487
219,2,4,9,6.355,-0.6671912592355889,0.13252153723418492
220,2,4,10,10.071,-0.700816926365778,0.20709604705909426
221,2,4,11,15.962,-0.30420554231083513,0.3272369192908077
222,2,4,12,25.298,-0.0629208747160944,0.3803214303690458
223,2,4,13,40.095,-0.45335125219132744,0.5019062838695902
224,2,4,14,63.546,-0.5054125705016955,0.9997459764185467
225,3,0,0,0.101,-1045.4792961137339,306.32720300711776
226,3,0,1,0.16,-383.70651126128803,133.57420325893844
227,3,0,2,0.253,-144.44316160356422,30.573790153751492
228,3,0,3,0.401,-149.9745660785202,20.377678040245108
229,3,0,4,0.635,-297.0563351864824,28.371678097071285
230,3,0,5,1.007,-292.5571048118816,26.80096210402903
231,3,0,6,1.596,-257.6982437702548,38.85118612779204
232,3,0,7,2.53,-163.70299581094676,41.908286301333234
233,3,0,8,4.009,-236.80264588325485,56.354579637327355
234,3,0,9,6.355,-165.78470004540614,54.0007226780776
235,3,0,10,10.071,-197.4203819439804,51.50292422122969
236,3,0,11,15.962,-170.27570198768836,37.2685758978461
237,3,0,12,25.298,-155.52518085353094,39.137607031060455
238,3,0,13,40.095,-167.6466604756963,71.25062054106098
239,3,0,14,63.546,-183.32475156452324,222.0657667689017
240,3,1,0,0.101,-965.8220259010928,180.86931983633704
241,3,1,1,0.16,-375.39998442358853,49.78873365962214
242,3,1,2,0.253,-209.18962222814957,12.570452401135048
243,3,1,3,0.401,-313.8991204695468,13.707967896785863
244,3,1,4,0.635,-473.0172698684698,15.942020171107858
245,3,1,5,1.007,-509.96610718442946,18.523887042261492
246,3,1,6,1.596,-444.23084181381563,17.8622844102747
247,3,1,7,2.53,-413.2957704117994,15.038272059133002
248,3,1,8,4.009,-363.8481724624153,11.557802143026162
249,3,1,9,6.355,-361.23315538797476,12.563774308272958
250,3,1,10,10.071,-264.05846811306736,9.277994682941676
251,3,1,11,15.962,-236.33481137952447,8.816038818901449
252,3,1,12,25.298,-210.82520021627786,9.816935238630679
253,3,1,13,40.095,-224.54042815913763,17.807482565784937
254,3,1,14,63.546,-776.1602342660779,80.83930959229068
255,3,2,0,0.101,-119.69462119688309,27.337251824493247
256,3,2,1,0.16,-48.095070275276974,7.9973420580228645
257,3,2,2,0.253,-31.29872280181482,1.4612420375408743
258,3,2,3,0.401,-46.128124750836065,1.5977642260549012
259,3,2,4,0.635,-73.1377192401021,1.9641320663185822
260,3,2,5,1.007,-84.20229607605597,1.7318252803938827
261,3,2,6,1.596,-77.05210429804727,1.54072025488045
262,3,2,7,2.53,-72.0016660217861,1.343917079603733
263,3,2,8,4.009,-67.12688616479498,1.1906180157666133
264,3,2,9,6.355,-62.91024531469662,1.2399645950275808
265,3,2,10,10.071,-57.150289006352224,1.219723326802934
266,3,2,11,15.962,-51.01550951596004,1.2182985381394873
267,3,2,12,25.298,-46.590440272445555,1.6055787492273983
268,3,2,13,40.095,-48.028387034183716,2.8722509529140057
269,3,2,14,63.546,-66.26839659905328,5.314357231413703
270,3,3,0,0.101,-6.3480286709056415,2.182430720642691
271,3,3,1,0.16,-2.8326068819381187,0.5524756182216254
272,3,3,2,0.253,-1.326772798132751,0.20263213772879296
273,3,3,3,0.401,-2.2636153952462013,0.13187715158453947
274,3,3,4,0.635,-3.6912832443111845,0.145131933833918
