bin,lens_bin,source_bin,radial_bin,r,value,error,prediction
0,0,0,0,0.101,-0.06328788152705662,0.034581255378195785,-0.018967375405649432
1,0,0,1,0.16,-0.07437449080380543,0.033293195183758145,-0.020005358689106818
2,0,0,2,0.253,-0.026962045354300274,0.0252448475355768,-0.023152685001415377
3,0,0,3,0.401,-0.08833586491575164,0.028931780072691152,-0.027320399834116164
4,0,0,4,0.635,-0.05427060309427913,0.027353760681621726,-0.031494247663736694
5,0,0,5,1.007,-0.035970971384290014,0.03287188631923538,-0.035890564420102807
6,0,0,6,1.596,-0.03817718525996384,0.03673278857083711,-0.041087347995350174
7,0,0,7,2.53,-0.0563679918715706,0.04191695208917129,-0.04546589286460421
8,0,0,8,4.009,-0.028913254486208264,0.0427079630603038,-0.04546154570709066
9,0,0,9,6.355,-0.007579568798565673,0.04443799329500524,-0.04237504079702324
10,0,0,10,10.071,-0.0003882935114696069,0.04369525050540752,-0.03743674820563237
11,0,0,11,15.962,-0.05334749318761945,0.04147118646639322,-0.034756994614237355
12,0,0,12,25.298,-0.018815342028001992,0.04519589481223132,-0.034615745076469764
13,0,0,13,40.095,0.0351458300641752,0.058889111532309045,-0.03140985305537479
14,0,0,14,63.546,-0.06783487139635185,0.05967728737107039,-0.03151923959141227
15,0,1,0,0.101,-0.019420923334562475,0.03386251548141795,-0.014126792825162311
16,0,1,1,0.16,-0.061256696894270796,0.022814839296654843,-0.015142678300088539
17,0,1,2,0.253,-0.025143873476387635,0.02645845817190609,-0.017901700067884784
18,0,1,3,0.401,-0.06204773334604592,0.02786239106808142,-0.021561646532419158
19,0,1,4,0.635,-0.0471901744660069,0.02552883046103819,-0.025108054301270246
20,0,1,5,1.007,-0.029691850573105538,0.03032203296873807,-0.02889938906174218
21,0,1,6,1.596,-0.03694952267994793,0.03210931777012333,-0.0333278197494481
22,0,1,7,2.53,-0.03735900655954818,0.0387270754083549,-0.03701131473829124
23,0,1,8,4.009,-0.02283657599478589,0.03953646164564816,-0.03711786796919603
24,0,1,9,6.355,-0.002178293167773665,0.04399457052132246,-0.03460145687886431
25,0,1,10,10.071,-0.004705604356410916,0.043075335322298715,-0.03025892951722047
26,0,1,11,15.962,-0.06249266158371854,0.041911829900873276,-0.0280982428611517
27,0,1,12,25.298,-0.028624477013975216,0.04674263628548418,-0.02825984367188194
28,0,1,13,40.095,0.011007446708105332,0.06214589894847982,-0.02591770089857971
29,0,1,14,63.546,-0.07463871602669543,0.061696002105802436,-0.026313683160582777
30,0,2,0,0.101,-0.04245995180048491,0.03825666646382849,-0.012696683303934956
31,0,2,1,0.16,-0.048864115717261125,0.028899333297472008,-0.01350458767601593
32,0,2,2,0.253,-0.05146553129962031,0.02509967896083625,-0.01599803754225836
33,0,2,3,0.401,-0.06930767493934357,0.02839713768962992,-0.019494830654456764
34,0,2,4,0.635,-0.022804788938871088,0.02976682441942839,-0.022623200734467774
35,0,2,5,1.007,-0.021099880649316467,0.030190860439327775,-0.026106937909615272
36,0,2,6,1.596,-0.033182991479566985,0.03501595250376365,-0.030167433910625208
37,0,2,7,2.53,-0.030632563773045195,0.041078268115497675,-0.03343852199987936
38,0,2,8,4.009,-0.01364741729108241,0.04396373066441465,-0.03359290160508152
39,0,2,9,6.355,-0.00868915965811737,0.05204703108304039,-0.03151713292908192
40,0,2,10,10.071,0.0010480567055696924,0.052738436429498395,-0.027279066852254633
41,0,2,11,15.962,-0.08276727106300098,0.05155943724329669,-0.025313056187251992
42,0,2,12,25.298,-0.0187339143702678,0.0575623960117523,-0.025815784200993706
43,0,2,13,40.095,0.008216496792511466,0.07040374240383805,-0.023267288159910804
44,0,2,14,63.546,-0.04497121286248301,0.06899893175446165,-0.023309932361239055
45,0,3,0,0.101,-0.04343534999333448,0.042557500347766834,-0.01226689787760752
46,0,3,1,0.16,-0.02459506534413918,0.03134213777793948,-0.01343179386605705
47,0,3,2,0.253,-0.028629910124181198,0.0266492770554945,-0.015823882039725307
48,0,3,3,0.401,-0.06156864379503654,0.028950533344479043,-0.019196253054304408
49,0,3,4,0.635,-0.02940742307163323,0.031331334200570035,-0.02229528862241988
50,0,3,5,1.007,-0.028521085135325894,0.03284053006656897,-0.025803702977592345
51,0,3,6,1.596,-0.037237677739713024,0.038323018540436696,-0.029593858992800263
52,0,3,7,2.53,-0.02710721335452649,0.045693263467640056,-0.03281943142640937
53,0,3,8,4.009,-0.002482663989355137,0.04970277533835654,-0.03324352891201109
54,0,3,9,6.355,0.004886477693135205,0.060609947846582295,-0.03141706781341972
55,0,3,10,10.071,0.018709744760759015,0.06197174178707963,-0.02707482189883402
56,0,3,11,15.962,-0.09564811975643234,0.059806153450593896,-0.025095061206414696
57,0,3,12,25.298,0.007561766309344918,0.06340133555352466,-0.02499985756016973
58,0,3,13,40.095,0.05440264783030324,0.07493188336389775,-0.022657421411833422
59,0,3,14,63.546,-0.03246795507082017,0.07289191497992097,-0.02289713497568516
60,1,0,0,0.101,0.10631320038052046,0.13652534055991494,nan
61,1,0,1,0.16,0.2841042724881903,0.07791361001778314,nan
62,1,0,2,0.253,0.2515398526407091,0.06000116948305196,nan
63,1,0,3,0.401,0.44071002494809464,0.060637736097652675,nan
64,1,0,4,0.635,0.6471794530401848,0.0906785318109833,nan
65,1,0,5,1.007,0.923991360082868,0.12047082998962796,nan
66,1,0,6,1.596,1.1796470659020328,0.1325545705727521,nan
67,1,0,7,2.53,1.447759434865918,0.14011876522446692,nan
68,1,0,8,4.009,1.4823866293546648,0.16443311520642384,nan
69,1,0,9,6.355,1.446328425766673,0.15035088833558016,nan
70,1,0,10,10.071,1.0528629050639935,0.13926388773264134,nan
71,1,0,11,15.962,0.8422096961728786,0.10908579783565314,nan
72,1,0,12,25.298,0.4552250398328123,0.11482073992248959,nan
73,1,0,13,40.095,0.5074683445539417,0.13927938104178963,nan
74,1,0,14,63.546,0.8130466001734467,0.28674530778786567,nan
75,1,1,0,0.101,0.1861601845313591,0.09266951794989522,0.301037652806428
76,1,1,1,0.16,0.08774794676688774,0.05187440836954069,0.2450767485400037
77,1,1,2,0.253,0.16674742524177358,0.046255003185391545,0.27335119262512075
78,1,1,3,0.401,0.33458563403131897,0.04919373747730745,0.35092023474407213
