bin,lens_bin,source_bin,radial_bin,r,value,error
0,0,0,0,0.101,-0.02015092429497284,0.019823269782924893
1,0,0,1,0.16,-0.04291585010144102,0.023091262484945044
2,0,0,2,0.253,-0.0326605499516541,0.024250932396144644
3,0,0,3,0.401,-0.053657845557386716,0.02696838296740889
4,0,0,4,0.635,-0.039383854824814844,0.023755950775205665
5,0,0,5,1.007,-0.02605474884246189,0.028947441650089237
6,0,0,6,1.596,-0.035484062238209636,0.03211812542363419
7,0,0,7,2.53,-0.039115815637698136,0.038098720355211335
8,0,0,8,4.009,-0.024512909595386788,0.039208693782045445
9,0,0,9,6.355,-0.00575634417146352,0.04263778219984245
10,0,0,10,10.071,-0.0055453702003593,0.04130208930568795
11,0,0,11,15.962,-0.054310856164525315,0.04137784954785382
12,0,0,12,25.298,-0.031078752867123235,0.04512189142350498
13,0,0,13,40.095,0.01129155569364679,0.06127423840058557
14,0,0,14,63.546,-0.0812545448973437,0.06185327941369818
15,0,1,0,0.101,-0.028014029276201828,0.025159785949864705
16,0,1,1,0.16,-0.03409159775414144,0.02354766467975806
17,0,1,2,0.253,-0.04697930501578371,0.0233029774760687
18,0,1,3,0.401,-0.06576027752671307,0.027606188884976613
19,0,1,4,0.635,-0.032384395445698086,0.028888744351198856
20,0,1,5,1.007,-0.015664485039151594,0.030028460879418996
21,0,1,6,1.596,-0.03753290093872335,0.03596913830513811
22,0,1,7,2.53,-0.02853334845543201,0.042260531269741095
23,0,1,8,4.009,-0.00892850462681674,0.04521311179478346
24,0,1,9,6.355,-0.004085362593770906,0.05478393527731288
25,0,1,10,10.071,0.005781311929805052,0.055762626126224624
26,0,1,11,15.962,-0.09158347220254978,0.054193168192317696
27,0,1,12,25.298,-0.013156062391571379,0.06106965803013976
28,0,1,13,40.095,0.010016270168630164,0.07318039543587995
29,0,1,14,63.546,-0.04227034554171951,0.07148559081873415
30,0,2,0,0.101,-0.02505804581797515,0.034809815681269306
31,0,2,1,0.16,-0.02436654168148023,0.0270638610015005
32,0,2,2,0.253,-0.039938968699805594,0.02487165847957977
33,0,2,3,0.401,-0.05654045312355777,0.03070854415784234
34,0,2,4,0.635,-0.02435615784236268,0.034478284504282156
35,0,2,5,1.007,-0.03125650122979096,0.035521823519730863
36,0,2,6,1.596,-0.05152426748840006,0.039911932196877976
37,0,2,7,2.53,-0.031089114634067418,0.04858891895943118
38,0,2,8,4.009,0.002778837675526418,0.056524030533156876
39,0,2,9,6.355,5.262819164041761e-05,0.07036504785547293
40,0,2,10,10.071,0.030818511873310216,0.07353927546365813
41,0,2,11,15.962,-0.09516609725482712,0.07029051435026648
42,0,2,12,25.298,0.03750685176932869,0.0721015450343734
43,0,2,13,40.095,0.09417340258891596,0.08036696637483136
44,0,2,14,63.546,-0.018135126647959448,0.07843350515732446
45,0,3,0,0.101,-0.04482717811303053,0.045951295456165255
46,0,3,1,0.16,-0.07586214836036909,0.0289292916089068
47,0,3,2,0.253,-0.03174429338527696,0.0285240666803851
48,0,3,3,0.401,-0.03805339020587343,0.034996953778994415
49,0,3,4,0.635,-0.019942698079723004,0.038310343706511915
50,0,3,5,1.007,-0.0570455646296594,0.03891193595090197
51,0,3,6,1.596,-0.04533037880570092,0.042995910065281695
52,0,3,7,2.53,-0.02094985447220256,0.054710217451563105
53,0,3,8,4.009,0.012446353983551437,0.06753982361711114
54,0,3,9,6.355,-0.004107422384320328,0.08103519081277591
55,0,3,10,10.071,0.07057807475239766,0.08534226125405936
56,0,3,11,15.962,-0.10245595626265322,0.07915353993666609
57,0,3,12,25.298,0.06727437267907277,0.07661769480383901
58,0,3,13,40.095,0.129472829646452,0.08517583913556387
59,0,3,14,63.546,-0.008889436530652866,0.08324770045694962
60,1,0,0,0.101,0.13973916919384793,0.057847906653980076
61,1,0,1,0.16,0.1539390405403695,0.03655043347870001
62,1,0,2,0.253,0.12635129549931992,0.03759958431016772
63,1,0,3,0.401,0.27434420024827305,0.03554585263473333
64,1,0,4,0.635,0.3934764267891058,0.05384769256818171
65,1,0,5,1.007,0.5802953991034944,0.07939949121210918
66,1,0,6,1.596,0.7408545699897976,0.0927952817817733
67,1,0,7,2.53,0.8941606214155452,0.09485203989739097
68,1,0,8,4.009,0.8674482703552747,0.10382662668778753
69,1,0,9,6.355,0.8849274183232473,0.10024559168433858
70,1,0,10,10.071,0.6725111199866786,0.09434072161039637
71,1,0,11,15.962,0.5383778983348376,0.08019918176395918
72,1,0,12,25.298,0.2610173216121693,0.08668113429159519
73,1,0,13,40.095,0.32861046849016856,0.10692411338749465
74,1,0,14,63.546,0.4738032507234913,0.22055942537757658
75,1,1,0,0.101,0.10160148377749817,0.052661934156937644
76,1,1,1,0.16,0.07891447045702973,0.03215907223500642
77,1,1,2,0.253,0.12904436433163852,0.03159014082214853
78,1,1,3,0.401,0.24461039775394855,0.03997744004166938
79,1,1,4,0.635,0.34271480182194447,0.05240089060154084
80,1,1,5,1.007,0.464490967934016,0.07049746500533868
81,1,1,6,1.596,0.565073458582263,0.09079321616919232
82,1,1,7,2.53,0.706035303528577,0.09204332402455606
83,1,1,8,4.009,0.7277570778974697,0.09414226708982891
84,1,1,9,6.355,0.7480907561921986,0.09124307563454055
85,1,1,10,10.071,0.5349111454468006,0.09309054322872903
86,1,1,11,15.962,0.4334038698441947,0.07439825994798188
87,1,1,12,25.298,0.24585534432264877,0.0958359211618551
88,1,1,13,40.095,0.33519095327510334,0.10971416328482884
89,1,1,14,63.546,0.3648161083099802,0.24390470205755732
90,1,2,0,0.101,0.16294678757644535,0.06753123528508725
91,1,2,1,0.16,0.0979098065254446,0.036771312276328266
92,1,2,2,0.253,0.09902293316818414,0.03531556454690228
93,1,2,3,0.401,0.22186333567383856,0.037419914617105414
94,1,2,4,0.635,0.32361729928260824,0.050634521335430685
95,1,2,5,1.007,0.4251975848398738,0.06759139589076776
96,1,2,6,1.596,0.4939783646995119,0.09161707109793336
97,1,2,7,2.53,0.6057199211414284,0.09475907784606366
98,1,2,8,4.009,0.6562833762533624,0.09611889723062166
99,1,2,9,6.355,0.6998871831578395,0.09978615111265704
100,1,2,10,10.071,0.4415434341438214,0.10661796115986819
101,1,2,11,15.962,0.35458298708691294,0.0841819500137871
102,1,2,12,25.298,0.2325130534204641,0.11381552159787371
103,1,2,13,40.095,0.357091248141584,0.1315176208356247
104,1,2,14,63.546,0.3114312854208409,0.27037886927388016
105,1,3,0,0.101,0.21281180181371478,0.08898304990387379
106,1,3,1,0.16,0.07543454143457777,0.04643254228876097
107,1,3,2,0.253,0.09640082259053685,0.042050564707403315
108,1,3,3,0.401,0.2644393315072916,0.04404221238386529
109,1,3,4,0.635,0.35762125632930003,0.05568948887378754
110,1,3,5,1.007,0.44120158646584545,0.07109342242231774
111,1,3,6,1.596,0.4597296593738745,0.09857058677223102
112,1,3,7,2.53,0.54171958012939,0.1002191644862047
113,1,3,8,4.009,0.5816936593999473,0.10804153918426894
114,1,3,9,6.355,0.6632521374484375,0.11397930636371593
115,1,3,10,10.071,0.40158418343664365,0.1162005009452073
116,1,3,11,15.962,0.2916095340210554,0.09677905316021704
117,1,3,12,25.298,0.2117336140115496,0.1277681194265787
118,1,3,13,40.095,0.36567025444398915,0.14860089874533666
119,1,3,14,63.546,0.35184761703232303,0.28573370368829687
120,2,0,0,0.101,nan,nan
121,2,0,1,0.16,nan,nan
122,2,0,2,0.253,nan,nan
123,2,0,3,0.401,nan,nan
124,2,0,4,0.635,nan,nan
125,2,0,5,1.007,nan,nan
126,2,0,6,1.596,nan,nan
127,2,0,7,2.53,nan,nan
128,2,0,8,4.009,nan,nan
129,2,0,9,6.355,nan,nan
130,2,0,10,10.071,nan,nan
131,2,0,11,15.962,nan,nan
132,2,0,12,25.298,nan,nan
133,2,0,13,40.095,nan,nan
134,2,0,14,63.546,nan,nan
135,2,1,0,0.101,0.45431367190121474,0.15711404487947417
136,2,1,1,0.16,0.44147542371980125,0.06540925152939257
137,2,1,2,0.253,0.572085675039594,0.04990411491706347
138,2,1,3,0.401,0.7269534441011893,0.052899726590468925
139,2,1,4,0.635,1.0473009836384883,0.06571502839902703
140,2,1,5,1.007,1.4934442734270164,0.09187447669430668
141,2,1,6,1.596,2.243985047260801,0.11994642612677504
142,2,1,7,2.53,2.8873824146775653,0.1563197100532968
143,2,1,8,4.009,2.9477607344360988,0.19528572607646238
144,2,1,9,6.355,2.570279767034779,0.19541436364843917
145,2,1,10,10.071,2.2427977671865333,0.18684023677039494
146,2,1,11,15.962,1.9549135284991452,0.2063920983303179
147,2,1,12,25.298,2.021425443192241,0.2504573384805326
148,2,1,13,40.095,1.8402725791462935,0.277944896653226
149,2,1,14,63.546,2.9421774323521204,0.4726896956381188
150,2,2,0,0.101,0.28046462353203727,0.1595979226720485
151,2,2,1,0.16,0.38781355388418426,0.07173756281613212
152,2,2,2,0.253,0.4804293316169032,0.05170087259752436
153,2,2,3,0.401,0.6496318959570628,0.055157191513939385
154,2,2,4,0.635,0.8884298982525146,0.06077056366535235
155,2,2,5,1.007,1.282510766544429,0.0946756626222332
156,2,2,6,1.596,2.072967805480588,0.12095660450602497
157,2,2,7,2.53,2.572590582224564,0.14750546435029332
158,2,2,8,4.009,2.6535018188702306,0.1734410084018462
159,2,2,9,6.355,2.3053907401799356,0.19050708746932482
160,2,2,10,10.071,1.8356683505094697,0.18480323680461322
161,2,2,11,15.962,1.5913527895493078,0.2060237467338045
162,2,2,12,25.298,1.712972094825781,0.2552460539185585
163,2,2,13,40.095,1.4346720562309532,0.2935954053324263
164,2,2,14,63.546,2.6580150829386247,0.46801447035297566
165,2,3,0,0.101,0.05572613691127648,0.21314829273070113
166,2,3,1,0.16,0.5502505714168919,0.0768780413798539
167,2,3,2,0.253,0.5062361371231255,0.062074052919028136
168,2,3,3,0.401,0.6994669586702447,0.05860082476239322
169,2,3,4,0.635,0.8710122659076457,0.06476656477292003
170,2,3,5,1.007,1.2228801929000472,0.10086087399743283
171,2,3,6,1.596,1.9723378982567166,0.1280597458420587
172,2,3,7,2.53,2.4562874009489795,0.149223780537212
173,2,3,8,4.009,2.526835266263546,0.1670658034879481
174,2,3,9,6.355,2.2244704652008367,0.18884877203266343
175,2,3,10,10.071,1.6653253502151781,0.19523681915638613
176,2,3,11,15.962,1.4232197003348883,0.21362866401653252
177,2,3,12,25.298,1.4935120597718006,0.26862491616723333
178,2,3,13,40.095,1.2370147795278126,0.31679177635054756
179,2,3,14,63.546,2.5009021335522164,0.4593559647662558
180,3,0,0,0.101,nan,nan
181,3,0,1,0.16,nan,nan
182,3,0,2,0.253,nan,nan
183,3,0,3,0.401,nan,nan
184,3,0,4,0.635,nan,nan
185,3,0,5,1.007,nan,nan
186,3,0,6,1.596,nan,nan
187,3,0,7,2.53,nan,nan
188,3,0,8,4.009,nan,nan
189,3,0,9,6.355,nan,nan
190,3,0,10,10.071,nan,nan
191,3,0,11,15.962,nan,nan
192,3,0,12,25.298,nan,nan
193,3,0,13,40.095,nan,nan
194,3,0,14,63.546,nan,nan
195,3,1,0,0.101,0.5628906665478665,0.3126120389861121
196,3,1,1,0.16,0.7401067181701803,0.12034696195184873
197,3,1,2,0.253,0.860367776602102,0.06551799970796965
198,3,1,3,0.401,1.1479826349158084,0.056223686654414996
199,3,1,4,0.635,1.6797890927307166,0.07038570576117724
200,3,1,5,1.007,2.6230707135657316,0.1023792168586291
201,3,1,6,1.596,3.973769955250807,0.1521309422220717
202,3,1,7,2.53,5.187870726843425,0.20375634625864655
203,3,1,8,4.009,5.853586426650275,0.24322402858682213
204,3,1,9,6.355,5.988366259414594,0.281335486707003
205,3,1,10,10.071,5.682208766100618,0.26676044907254876
206,3,1,11,15.962,5.3043000527237,0.30876325656931725
207,3,1,12,25.298,4.528945961388436,0.3201755245238743
208,3,1,13,40.095,5.174934338423526,0.4180776176068897
209,3,1,14,63.546,7.883937704809513,0.7333346224616717
210,3,2,0,0.101,0.5041766162193468,0.3255006413023234
211,3,2,1,0.16,0.6880129481261013,0.11000361011712585
212,3,2,2,0.253,0.7274420792883363,0.06054129208183273
213,3,2,3,0.401,0.999416723411608,0.04756939702483528
214,3,2,4,0.635,1.553373925048994,0.05812152969450138
215,3,2,5,1.007,2.316076566047833,0.08167210067085771
216,3,2,6,1.596,3.4758947846716155,0.1232687369360494
217,3,2,7,2.53,4.658109600493419,0.17335274247903262
218,3,2,8,4.009,5.152551308586731,0.20693779157287848
219,3,2,9,6.355,5.231701896406356,0.23351471881911542
220,3,2,10,10.071,4.923755201152849,0.22871448653465176
221,3,2,11,15.962,4.5469868460566385,0.2607132881272283
222,3,2,12,25.298,4.017251184407957,0.2745756995766979
223,3,2,13,40.095,4.772896312485016,0.39865066476081124
224,3,2,14,63.546,7.093012425754399,0.7167580060985198
225,3,3,0,0.101,0.4548704181018388,0.44048361911485107
226,3,3,1,0.16,0.6955127095580617,0.12409834193814293
227,3,3,2,0.253,0.6856597088493879,0.06412937809057713
228,3,3,3,0.401,0.9414021496169266,0.044984074140440665
229,3,3,4,0.635,1.4217927539123147,0.061888955061724316
230,3,3,5,1.007,2.1451011267881204,0.0808413729936682
