bin,lens_bin,source_bin,radial_bin,r,value,error
0,0,0,0,0.101,-0.026652520575644087,0.05589061133007938
1,0,0,1,0.16,-0.11842809787353033,0.037235523309287165
2,0,0,2,0.253,-0.04097322990557494,0.03417351343704408
3,0,0,3,0.401,-0.11554170174895545,0.0383200192597805
4,0,0,4,0.635,-0.06704695352305674,0.033781884080702915
5,0,0,5,1.007,-0.030793932678561776,0.0421126898669049
6,0,0,6,1.596,-0.03710540456961824,0.04465551514782176
7,0,0,7,2.53,-0.06335336625671882,0.04565388380186898
8,0,0,8,4.009,-0.032025442595782876,0.046732205740698085
9,0,0,9,6.355,-0.006053729174860799,0.04941189008083028
10,0,0,10,10.071,0.005283092679540344,0.05032958027102157
11,0,0,11,15.962,-0.04152233678283613,0.04645557998921142
12,0,0,12,25.298,-0.005634834020032264,0.04964237394346554
13,0,0,13,40.095,0.04651232870807373,0.06008814226958281
14,0,0,14,63.546,-0.04801555964874359,0.062075580032571034
15,0,1,0,0.101,-0.0351176322543988,0.03397341715586016
16,0,1,1,0.16,-0.021152194816044294,0.028938363649957104
17,0,1,2,0.253,-0.011974534389599858,0.024629743840460343
18,0,1,3,0.401,-0.060138471772557725,0.028320926470570662
19,0,1,4,0.635,-0.047991491196111055,0.02349255345855863
20,0,1,5,1.007,-0.03318380894008198,0.03001737223590558
21,0,1,6,1.596,-0.027564397791785242,0.03341122575566366
22,0,1,7,2.53,-0.04346895397468095,0.03865144599847389
23,0,1,8,4.009,-0.02899734855662127,0.03950941738398673
24,0,1,9,6.355,-0.008230021904530786,0.041522846564975
25,0,1,10,10.071,-0.008486791491351503,0.039926000526098626
26,0,1,11,15.962,-0.04716471971144412,0.03904752172845676
27,0,1,12,25.298,-0.023601240733840866,0.04292168477776139
28,0,1,13,40.095,0.02625426841757577,0.0581945586399747
29,0,1,14,63.546,-0.07937544111103383,0.05863856996394012
30,0,2,0,0.101,-0.041099450639514985,0.030711663494462596
31,0,2,1,0.16,-0.02138892841069616,0.02333820126514285
32,0,2,2,0.253,-0.02448393324717266,0.02354927524796057
33,0,2,3,0.401,-0.053422654997121656,0.028314851913952107
34,0,2,4,0.635,-0.03372562658731633,0.026167145525083344
35,0,2,5,1.007,-0.02726536369928336,0.029171621027600184
36,0,2,6,1.596,-0.042795926434901835,0.03240965230823629
37,0,2,7,2.53,-0.03864378635153862,0.03773154703401879
38,0,2,8,4.009,-0.021585554354542347,0.04028809910917149
39,0,2,9,6.355,-0.007798396812168063,0.04457298600981412
40,0,2,10,10.071,-0.0038297417993298603,0.04378527101712924
41,0,2,11,15.962,-0.06761963257189824,0.04311387461737075
42,0,2,12,25.298,-0.03431209298562228,0.04848411014897644
43,0,2,13,40.095,-0.00019926213081900484,0.06405457545874804
44,0,2,14,63.546,-0.07970448812549154,0.06433809716133157
45,0,3,0,0.101,-0.02004560558272539,0.04020182857940433
46,0,3,1,0.16,-0.092819406015166,0.02574967011966413
47,0,3,2,0.253,-0.03056351721548037,0.025622272265229715
48,0,3,3,0.401,-0.07416554884618645,0.028467988958581925
49,0,3,4,0.635,-0.03146913919280122,0.0298721760164304
50,0,3,5,1.007,-0.016397168767640476,0.030178520678975366
51,0,3,6,1.596,-0.03413765444596526,0.03596398841617414
52,0,3,7,2.53,-0.032291401258374805,0.04256871504104563
53,0,3,8,4.009,-0.008077654989515288,0.04456227904822326
54,0,3,9,6.355,-0.005186668136907123,0.05443271162251312
55,0,3,10,10.071,0.001548091368818702,0.0550441073265094
56,0,3,11,15.962,-0.09621121939410812,0.054223079671590776
57,0,3,12,25.298,-0.01329630751722924,0.06019017612794511
58,0,3,13,40.095,0.005547313026213767,0.07328291440798597
59,0,3,14,63.546,-0.042185198693915134,0.07136075705722099
60,0,4,0,0.101,-0.08613159613990096,0.050867271573747486
61,0,4,1,0.16,0.005566184639940485,0.03433470565353522
62,0,4,2,0.253,-0.057943252916450465,0.027454329197670345
63,0,4,3,0.401,-0.07562987634240706,0.02907730891866175
64,0,4,4,0.635,-0.02647440111202576,0.034134772331183144
65,0,4,5,1.007,-0.022407611796310317,0.034174458561087175
66,0,4,6,1.596,-0.03629583507185953,0.039737228027999116
67,0,4,7,2.53,-0.02806674186678469,0.04756362272187202
