bin,lens_bin,source_bin,radial_bin,r,value,error
0,0,0,0,0.006,-0.06957342744478942,0.1463337029582297
1,0,0,1,0.01,-0.0817199195824102,0.056466265500765785
2,0,0,2,0.016,-0.052366771534133764,0.03934144215698386
3,0,0,3,0.025,0.00011603618029956175,0.03502024964274917
4,0,0,4,0.04,-0.07281803892564095,0.030478342107044747
5,0,0,5,0.063,-0.10039122251024377,0.03043070321558001
6,0,0,6,0.1,-0.07558880569807824,0.030240992810723004
7,0,0,7,0.158,-0.04680747091289788,0.03550244720613647
8,0,0,8,0.251,-0.047700912869360915,0.03940523151535133
9,0,0,9,0.397,-0.04298812891261025,0.04733762955484381
10,0,0,10,0.629,-0.017888585279454607,0.049913181934160014
11,0,0,11,0.998,0.01623370664912166,0.046330290505291145
12,0,0,12,1.581,-0.043152665056713065,0.040237896630895394
13,0,0,13,2.506,-0.053311923042219066,0.04849783581332526
14,0,0,14,3.972,0.011807904130004269,0.05241045420591656
15,0,1,0,0.006,0.10898696543704792,0.14786055556748695
16,0,1,1,0.01,-0.0662243148751232,0.04891871257279691
17,0,1,2,0.016,-0.05055734428261594,0.028071462788215457
18,0,1,3,0.025,-0.0198272114685213,0.02559019136058164
19,0,1,4,0.04,-0.031236807490200857,0.03322184273643611
20,0,1,5,0.063,-0.08517015974516014,0.027034950991061266
21,0,1,6,0.1,-0.055454080402789346,0.026958673648592547
22,0,1,7,0.158,-0.030384027015862975,0.031975514158140095
23,0,1,8,0.251,-0.03012970294510378,0.03423835561057565
24,0,1,9,0.397,-0.0370895762573678,0.04274595550603914
25,0,1,10,0.629,-0.014507319301222624,0.045285258837751495
26,0,1,11,0.998,0.019950545595486674,0.0435619471816764
27,0,1,12,1.581,-0.045106773243403134,0.03933147055148488
28,0,1,13,2.506,-0.061263052828974145,0.04937685522008065
29,0,1,14,3.972,-0.008537923477224197,0.054298943500417536
30,0,2,0,0.006,0.013701839884288549,0.1348143486270828
31,0,2,1,0.01,-0.09079259025922262,0.050213531474188375
32,0,2,2,0.016,-0.037954181556528396,0.03275304569382263
33,0,2,3,0.025,-0.0438499113680563,0.027068047688885963
34,0,2,4,0.04,-0.053861255794776006,0.028871545270684446
35,0,2,5,0.063,-0.07079844876008583,0.029759652085626854
36,0,2,6,0.1,-0.02908114652932301,0.028724097845565504
37,0,2,7,0.158,-0.01926200736314021,0.03537186855146556
38,0,2,8,0.251,-0.026572059008759134,0.03707595581649379
39,0,2,9,0.397,-0.03149669778548849,0.04592672771721116
40,0,2,10,0.629,-0.01554427752016529,0.049362772585335106
41,0,2,11,0.998,0.027614455308562883,0.05021226122443716
42,0,2,12,1.581,-0.042865599303377515,0.04780231951757219
43,0,2,13,2.506,-0.07262402322323849,0.056370432893677866
44,0,2,14,3.972,-0.0077290179909967225,0.06399603331905625
45,0,3,0,0.006,0.17650757260616254,0.15065050613578757
