bin,lens_bin,source_bin,radial_bin,r,value,error
0,0,0,0,0.101,3.215337361449398,0.23212701932988347
1,0,0,1,0.16,2.124817723336761,0.14014384284172632
2,0,0,2,0.253,1.3743204476469442,0.09401361169924176
3,0,0,3,0.401,0.9318042240231167,0.0533619516579608
4,0,0,4,0.635,0.6880707066770898,0.0413955445979587
5,0,0,5,1.007,0.5238236318040749,0.036170253963367115
6,0,0,6,1.596,0.3977845709396584,0.031011462206673193
7,0,0,7,2.53,0.33071493908691024,0.028098805745078063
8,0,0,8,4.009,0.29443738077837706,0.04491716424527187
9,0,0,9,6.355,0.22384607579999324,0.025628142955863912
10,0,0,10,10.071,0.20741752790536214,0.046162863011666416
11,0,0,11,15.962,0.16231294849591188,0.04685653501515303
12,0,0,12,25.298,0.19408139122992848,0.03632028276373361
13,0,0,13,40.095,0.17135964382804494,0.05040641954886277
14,0,0,14,63.546,0.2713830294925871,0.07072297086474529
15,0,1,0,0.101,4.301019533268601,0.3630413037115006
16,0,1,1,0.16,2.8858739540064398,0.2063417822273121
17,0,1,2,0.253,1.7911215305767878,0.1253764235926872
18,0,1,3,0.401,1.1904934336612263,0.0733014133702791
19,0,1,4,0.635,0.8803423572370007,0.05163756957255813
20,0,1,5,1.007,0.6796033890473143,0.047785107712460764
21,0,1,6,1.596,0.5462626533698647,0.04250486915859479
22,0,1,7,2.53,0.4373235631600952,0.03943986330477412
23,0,1,8,4.009,0.3764545312962928,0.06178830566005127
24,0,1,9,6.355,0.3012315809849276,0.043269083424623975
25,0,1,10,10.071,0.288805880529869,0.06856457462794528
26,0,1,11,15.962,0.2019458173379354,0.06485684236630267
27,0,1,12,25.298,0.2932058952285088,0.06502081950363928
28,0,1,13,40.095,0.2774254433186073,0.08116116547055283
29,0,1,14,63.546,0.40672063810651105,0.12401120089504378
30,0,2,0,0.101,4.863322634219338,0.4247832990978256
31,0,2,1,0.16,3.376489468839766,0.31379053427607506
32,0,2,2,0.253,2.0835860343202524,0.16098039851727153
33,0,2,3,0.401,1.3243679347607167,0.08800859731365807
34,0,2,4,0.635,0.988844559245919,0.06290789905289074
35,0,2,5,1.007,0.7836049195101529,0.05300064297432589
36,0,2,6,1.596,0.6269974337182079,0.04906181128251939
37,0,2,7,2.53,0.48004202267328994,0.043853038333616125
38,0,2,8,4.009,0.41578957283107765,0.05783666679316517
39,0,2,9,6.355,0.351969504643096,0.05866864922955195
40,0,2,10,10.071,0.30949745094878106,0.06810497060833749
41,0,2,11,15.962,0.20610298910781416,0.07818475243553119
42,0,2,12,25.298,0.37917008944200714,0.09196928396512684
43,0,2,13,40.095,0.3921477080547186,0.09734990219841907
44,0,2,14,63.546,0.5240203734928071,0.15931117623990862
45,0,3,0,0.101,5.0680964111051825,0.4772671249422121
46,0,3,1,0.16,3.0956907568797627,0.22416800429732828
47,0,3,2,0.253,2.200089714798012,0.17622661480283106
48,0,3,3,0.401,1.3445350722359288,0.11823528163808329
49,0,3,4,0.635,1.0282519344671859,0.07310644706516647
50,0,3,5,1.007,0.8404307157371158,0.07126377751000765
51,0,3,6,1.596,0.7178624539997668,0.06582790602551207
52,0,3,7,2.53,0.5139304590548646,0.062371843703073165
53,0,3,8,4.009,0.47739954459078876,0.07712765648094051
54,0,3,9,6.355,0.4900338479925568,0.11586226148581535
55,0,3,10,10.071,0.32065876018365125,0.10510473829618339
56,0,3,11,15.962,0.26625729076622323,0.1162529984476637
57,0,3,12,25.298,0.36345585162497357,0.11371659777187122
58,0,3,13,40.095,0.32851257639790826,0.13751740213581276
59,0,3,14,63.546,0.4545208545468662,0.20251705467346443
60,1,0,0,0.101,4.850261001220974,0.6918356388444783
61,1,0,1,0.16,2.7294014304366203,0.17525416619766718
62,1,0,2,0.253,1.7450070203672718,0.19789103773752
63,1,0,3,0.401,0.9150953047893037,0.0737898943951496
64,1,0,4,0.635,0.7314749883395858,0.09029487536994787
65,1,0,5,1.007,0.5079337734619297,0.053138838105736566
66,1,0,6,1.596,0.5472286923303534,0.14763599769285107
67,1,0,7,2.53,0.42366681308477827,0.08895117676531109
68,1,0,8,4.009,0.27559312841222594,0.026633323994742983
69,1,0,9,6.355,0.3319524708685335,0.07615333892597999
70,1,0,10,10.071,0.30708651122345176,0.08209892841769151
71,1,0,11,15.962,0.2575284060911934,0.05474783499489064
72,1,0,12,25.298,0.178061030405266,0.038468892189034654
73,1,0,13,40.095,0.17237136513804407,0.07299112242055697
74,1,0,14,63.546,0.18181877460515528,0.09500504670222482
75,1,1,0,0.101,7.833432118110531,1.5879430749609798
76,1,1,1,0.16,5.482983743394591,1.7777017097942485
77,1,1,2,0.253,2.4709653100197255,0.35596299005063636
78,1,1,3,0.401,1.3864038651622004,0.10072610795218734
79,1,1,4,0.635,0.870258127995016,0.05058372489318728
80,1,1,5,1.007,0.7194284394433452,0.06844038109476415
81,1,1,6,1.596,0.6719470142173211,0.12180206054480926
82,1,1,7,2.53,0.5367155511467621,0.08005645018421845
83,1,1,8,4.009,0.37729694453909784,0.06104645743400054
84,1,1,9,6.355,0.4169014593592737,0.05364871461772466
85,1,1,10,10.071,0.37486932193338934,0.0642191220092643
86,1,1,11,15.962,0.33920000173900944,0.053421719990142405
87,1,1,12,25.298,0.23976718283059667,0.036619643643746175
88,1,1,13,40.095,0.24963947984951088,0.09614611750434829
89,1,1,14,63.546,0.2729507129354347,0.1103928670850919
90,1,2,0,0.101,6.642261066693796,0.4891346830393455
91,1,2,1,0.16,4.418186858000065,0.28447001296769553
92,1,2,2,0.253,3.2294086966139095,0.5087527506599967
93,1,2,3,0.401,1.6942538902759126,0.15121370673400997
94,1,2,4,0.635,1.1130361893581648,0.07559723152262983
95,1,2,5,1.007,0.8816500649469082,0.070658711724334
96,1,2,6,1.596,0.7750120551230817,0.06394660756282665
97,1,2,7,2.53,0.6297838140723918,0.06643356380877719
98,1,2,8,4.009,0.5004289831682253,0.03537456809381513
99,1,2,9,6.355,0.45914459671289426,0.0499021553206464
100,1,2,10,10.071,0.4337055558511467,0.06276834256488488
101,1,2,11,15.962,0.43790916015043135,0.0552943708345561
102,1,2,12,25.298,0.3682277584236673,0.055383730237268995
103,1,2,13,40.095,0.29230656553123624,0.08036289297349127
104,1,2,14,63.546,0.23412491434079813,0.11230641184820528
105,1,3,0,0.101,11.41389479063256,3.8648632816689474
106,1,3,1,0.16,5.167186872591831,0.742626404745319
107,1,3,2,0.253,3.104606404950079,0.32135915876880766
108,1,3,3,0.401,2.0255409481073396,0.21202340481321633
109,1,3,4,0.635,1.2737209925310473,0.1069805764064184
110,1,3,5,1.007,0.9754159737579516,0.09530823393033183
111,1,3,6,1.596,0.80890184771503,0.05694150388858512
112,1,3,7,2.53,0.6758390228014785,0.07125815575455555
113,1,3,8,4.009,0.6029062562650501,0.04920701310304196
114,1,3,9,6.355,0.5726294566198917,0.07615118003963228
115,1,3,10,10.071,0.5358886123595609,0.07956865556289941
116,1,3,11,15.962,0.48378919703957174,0.06703247650870496
117,1,3,12,25.298,0.4151382584267344,0.07671117822714223
118,1,3,13,40.095,0.2969926565791641,0.09987556137706984
119,1,3,14,63.546,0.38957683710496877,0.1611967751954735
120,2,0,0,0.101,nan,nan
121,2,0,1,0.16,nan,nan
122,2,0,2,0.253,nan,nan
123,2,0,3,0.401,nan,nan
124,2,0,4,0.635,nan,nan
125,2,0,5,1.007,nan,nan
126,2,0,6,1.596,nan,nan
127,2,0,7,2.53,nan,nan
128,2,0,8,4.009,nan,nan
129,2,0,9,6.355,nan,nan
130,2,0,10,10.071,nan,nan
131,2,0,11,15.962,nan,nan
132,2,0,12,25.298,nan,nan
133,2,0,13,40.095,nan,nan
134,2,0,14,63.546,nan,nan
135,2,1,0,0.101,5.622097869739843,0.3107500572832228
136,2,1,1,0.16,4.221182872015051,0.23561569101095386
137,2,1,2,0.253,2.562176364057461,0.12925542965611306
138,2,1,3,0.401,1.567085945860839,0.06261639506792144
139,2,1,4,0.635,1.047418469611149,0.040619375820221466
140,2,1,5,1.007,0.7719750680736883,0.05438405467170749
141,2,1,6,1.596,0.5763926797493829,0.04918749559882063
142,2,1,7,2.53,0.4767617807982739,0.039753571280668955
143,2,1,8,4.009,0.3599397116064449,0.029721512703055925
144,2,1,9,6.355,0.3708147520241601,0.031307125590176406
145,2,1,10,10.071,0.31433509734345266,0.037424735925242904
146,2,1,11,15.962,0.24035476858830288,0.03956587117358432
147,2,1,12,25.298,0.21246245712411513,0.05164927716691241
148,2,1,13,40.095,0.17992413413302674,0.06271225830259561
149,2,1,14,63.546,0.1472254942359764,0.17263511708963974
150,2,2,0,0.101,8.504422414638126,0.746023295791098
151,2,2,1,0.16,5.937461567009157,0.5401998553793859
152,2,2,2,0.253,3.3313211813957944,0.12761088043767338
153,2,2,3,0.401,2.0450795702781885,0.08272557260784913
154,2,2,4,0.635,1.3340778295121192,0.04908338598482004
155,2,2,5,1.007,1.002265097025498,0.04782931594909576
156,2,2,6,1.596,0.7141270372022481,0.04530541000708508
157,2,2,7,2.53,0.6182234588047152,0.04709645540108713
158,2,2,8,4.009,0.4875702987282622,0.03559692810454607
159,2,2,9,6.355,0.49166372991733265,0.03979000738665005
160,2,2,10,10.071,0.4358404212946024,0.04519942018186271
161,2,2,11,15.962,0.3329348560516933,0.048302991842657184
162,2,2,12,25.298,0.3420350774543845,0.06670195858329198
163,2,2,13,40.095,0.3075072271251421,0.07365925018566329
164,2,2,14,63.546,0.20567779381773826,0.14347028890670693
165,2,3,0,0.101,8.213894772160781,0.6250783601158165
166,2,3,1,0.16,5.917564910656516,0.423501563703098
167,2,3,2,0.253,3.860569942337934,0.16421889868584863
168,2,3,3,0.401,2.257240257311222,0.09041949497406292
169,2,3,4,0.635,1.4323406769580276,0.059701244922117654
170,2,3,5,1.007,1.1224579387370373,0.05662360236860668
171,2,3,6,1.596,0.8870892567285931,0.05822307904757331
172,2,3,7,2.53,0.7488190189382227,0.06517708911366693
173,2,3,8,4.009,0.6097681934559015,0.05041938644857215
174,2,3,9,6.355,0.6233500801070647,0.06644721445553384
175,2,3,10,10.071,0.545341236041491,0.059689704722733904
176,2,3,11,15.962,0.35479980119680893,0.06128678254509407
177,2,3,12,25.298,0.38906994230025466,0.08646949966230656
178,2,3,13,40.095,0.27117739241090727,0.09181835094491629
179,2,3,14,63.546,0.3280127130002675,0.16673405586680792
180,3,0,0,0.101,nan,nan
181,3,0,1,0.16,nan,nan
182,3,0,2,0.253,nan,nan
183,3,0,3,0.401,nan,nan
184,3,0,4,0.635,nan,nan
185,3,0,5,1.007,nan,nan
186,3,0,6,1.596,nan,nan
187,3,0,7,2.53,nan,nan
188,3,0,8,4.009,nan,nan
189,3,0,9,6.355,nan,nan
190,3,0,10,10.071,nan,nan
191,3,0,11,15.962,nan,nan
192,3,0,12,25.298,nan,nan
193,3,0,13,40.095,nan,nan
194,3,0,14,63.546,nan,nan
195,3,1,0,0.101,7.820439754934405,1.116142275732814
196,3,1,1,0.16,5.717854015166065,0.5737732503511135
197,3,1,2,0.253,3.4622749822502876,0.18403649861700064
198,3,1,3,0.401,2.0662825526833255,0.1140209107831739
199,3,1,4,0.635,1.1768801861846667,0.060138706968700134
200,3,1,5,1.007,0.7565937332339993,0.038122257989089796
201,3,1,6,1.596,0.5066046991430969,0.044646178496972645
202,3,1,7,2.53,0.3560335730683613,0.026446644827456123
203,3,1,8,4.009,0.39586223619806726,0.04269117773310088
204,3,1,9,6.355,0.318933497382336,0.026943126815632074
205,3,1,10,10.071,0.29233825570487415,0.027065626684476797
206,3,1,11,15.962,0.3133829501764214,0.04343438654708032
207,3,1,12,25.298,0.2970150163238975,0.033772910994072626
208,3,1,13,40.095,0.26524393901984683,0.050161459788406706
209,3,1,14,63.546,0.0868511571304881,0.15802132010149747
210,3,2,0,0.101,8.554959639708953,1.2487714832726107
211,3,2,1,0.16,7.569278232288881,0.4539837815691698
212,3,2,2,0.253,5.0143201162670135,0.34158169315542336
213,3,2,3,0.401,2.7209178820887208,0.14517336169001435
214,3,2,4,0.635,1.5941274367420568,0.07247601751117305
215,3,2,5,1.007,0.9909342132923022,0.04097573495391995
216,3,2,6,1.596,0.705046718727356,0.038469977598381
217,3,2,7,2.53,0.5438365549832703,0.028121697825409016
218,3,2,8,4.009,0.5285970494398595,0.03394540106234944
219,3,2,9,6.355,0.46196424634527555,0.028282543386801855
220,3,2,10,10.071,0.3955840472009383,0.0256847095345243
221,3,2,11,15.962,0.38659152662674817,0.031209424370654482
222,3,2,12,25.298,0.37147493578832325,0.03590109680976669
223,3,2,13,40.095,0.3806062634316884,0.052400360643853165
224,3,2,14,63.546,0.20646585405779985,0.10297333559668825
225,3,3,0,0.101,19.45655741024352,6.673676049025789
226,3,3,1,0.16,10.31015189639277,1.2487337493611643
227,3,3,2,0.253,6.07217134008578,0.6293642542112527
228,3,3,3,0.401,3.3061925271521693,0.21185072252699588
229,3,3,4,0.635,1.9089890159335527,0.0823293761372159
230,3,3,5,1.007,1.2171057053354544,0.05845537037929615
231,3,3,6,1.596,0.8622591511926992,0.04347298425359516
232,3,3,7,2.53,0.7178972085476388,0.04899543539670165
233,3,3,8,4.009,0.6394447920593316,0.037068336897040956
234,3,3,9,6.355,0.6177257212774114,0.03936478539190183
235,3,3,10,10.071,0.5187855567264364,0.031494468673237665
236,3,3,11,15.962,0.5144004273671986,0.04038658769962422
237,3,3,12,25.298,0.48969372968204355,0.0419596125591299
238,3,3,13,40.095,0.5048938611071004,0.07087937086352396
239,3,3,14,63.546,0.3859558158475957,0.11505655038341758
240,4,0,0,0.101,nan,nan
241,4,0,1,0.16,nan,nan
242,4,0,2,0.253,nan,nan
243,4,0,3,0.401,nan,nan
244,4,0,4,0.635,nan,nan
245,4,0,5,1.007,nan,nan
246,4,0,6,1.596,nan,nan
247,4,0,7,2.53,nan,nan
248,4,0,8,4.009,nan,nan
