bin,lens_bin,source_bin,radial_bin,r,value,error
0,0,0,0,0.101,-0.5811895549815482,0.3208458384878914
1,0,0,1,0.16,-0.6109044499784374,0.1773919064169598
2,0,0,2,0.253,-0.49619760964444926,0.11326950085677134
3,0,0,3,0.401,-0.346186544543905,0.08411415072884915
4,0,0,4,0.635,-0.2304155264359327,0.06487244596295945
5,0,0,5,1.007,-0.1676983135374021,0.06152649541449294
6,0,0,6,1.596,-0.018517219305313366,0.050771946334395156
7,0,0,7,2.53,0.0006789191540486488,0.06456975227233132
8,0,0,8,4.009,0.03775193733855014,0.07055678716159004
9,0,0,9,6.355,0.061497259774338765,0.09204844619692636
10,0,0,10,10.071,-0.003182236002836831,0.12638990415868054
11,0,0,11,15.962,-0.022902813880797655,0.11652293448299299
12,0,0,12,25.298,0.0443326358206579,0.13504623980090763
13,0,0,13,40.095,0.041354998317729354,0.16415007270849252
14,0,0,14,63.546,0.1570250587826057,0.22064332641176337
15,0,1,0,0.101,-0.3938981944787918,0.3109046788498933
16,0,1,1,0.16,-0.22395048378670804,0.1817688154107417
17,0,1,2,0.253,-0.05871493548460474,0.25985480647313713
18,0,1,3,0.401,-0.07251722815559637,0.1045400473010583
19,0,1,4,0.635,0.01234249325077245,0.07935758422528569
20,0,1,5,1.007,-0.04404009311138451,0.060055379987293434
21,0,1,6,1.596,-0.018776421934289786,0.058416276951399365
22,0,1,7,2.53,-0.02179275757903065,0.06375497181671733
23,0,1,8,4.009,0.04412038782615544,0.07078385671770918
24,0,1,9,6.355,0.10789584836859846,0.06906968038602308
25,0,1,10,10.071,0.1210005001173256,0.0816059721353789
26,0,1,11,15.962,0.09307060434860957,0.1127698863437342
27,0,1,12,25.298,-0.07035509855608861,0.13036613035760303
28,0,1,13,40.095,0.033604374638904186,0.14396301457543592
29,0,1,14,63.546,-0.12471560159054403,0.1507536808732348
30,0,2,0,0.101,-0.49367323826509135,0.5838167873833233
31,0,2,1,0.16,0.17066624307155726,0.2937471944310086
32,0,2,2,0.253,-0.07111888191224797,0.23631106373836072
33,0,2,3,0.401,-0.12041124247767397,0.177717529454651
34,0,2,4,0.635,-0.1514531328653418,0.12737029604824548
35,0,2,5,1.007,0.07720591312795042,0.1100523617679641
36,0,2,6,1.596,0.032987551114831475,0.08739286501056158
37,0,2,7,2.53,0.12733658604536177,0.08974481173004849
38,0,2,8,4.009,0.09524373183167534,0.10782854386064766
39,0,2,9,6.355,-0.03873478868401443,0.13474413286298867
40,0,2,10,10.071,0.15810488193709676,0.14604702769223218
41,0,2,11,15.962,0.4562345395125438,0.144304131302367
42,0,2,12,25.298,0.5143801039135829,0.18493507154631886
43,0,2,13,40.095,0.3862964696757035,0.1823503750736938
44,0,2,14,63.546,0.5859250534765175,0.2519975189088514
45,0,3,0,0.101,-0.46473432249896224,0.9904322152111869
46,0,3,1,0.16,-0.8377278395254222,0.6601572519630593
47,0,3,2,0.253,-0.6015261043611246,0.536993855824139
48,0,3,3,0.401,0.2920669643566429,0.37784760349418695
49,0,3,4,0.635,-0.2222050129240819,0.289563585044342
50,0,3,5,1.007,-0.4546098983900969,0.2631875596904388
51,0,3,6,1.596,-0.4011297304368837,0.22464878077471034
52,0,3,7,2.53,0.12671618181377367,0.2191665119223943
53,0,3,8,4.009,-0.10499932994705985,0.2561486226828704
54,0,3,9,6.355,-0.40491969822376284,0.34795056915853173
55,0,3,10,10.071,-0.5320787497254381,0.4409785909074365
56,0,3,11,15.962,-0.07298828106856828,0.4372174795414329
57,0,3,12,25.298,-0.6843926254139652,0.583288157325997
58,0,3,13,40.095,-0.3677850475474545,0.6088831923062271
59,0,3,14,63.546,-0.19890436507366294,0.643723599958667
60,1,0,0,0.101,0.7531778738654855,0.42879948715706157
61,1,0,1,0.16,0.5640704542778349,0.2671339148488838
62,1,0,2,0.253,0.3364428836471082,0.20663254659033556
63,1,0,3,0.401,0.004487965254561038,0.11462248848891872
64,1,0,4,0.635,-0.06438783184689645,0.10430583482901136
65,1,0,5,1.007,-0.06125891992186138,0.09762822040859839
66,1,0,6,1.596,-0.1021109205886278,0.09421265035794975
67,1,0,7,2.53,0.14432969178093555,0.0935752243579134
68,1,0,8,4.009,-0.22769937792258477,0.08828155084349577
69,1,0,9,6.355,-0.07942296692593383,0.10624590126963625
70,1,0,10,10.071,0.005013846102634479,0.13413673985033767
71,1,0,11,15.962,0.13698743772422434,0.15058129312100643
72,1,0,12,25.298,0.16472244101142686,0.2164293661421864
73,1,0,13,40.095,0.16262981576809554,0.2818829423458193
74,1,0,14,63.546,0.16916155680224262,0.46652116377622393
75,1,1,0,0.101,-0.26888855522431077,0.4568194941053617
76,1,1,1,0.16,-0.45339383894216373,0.1964263722700735
77,1,1,2,0.253,-0.21223193459840684,0.15608728760879673
78,1,1,3,0.401,-0.35101915087148633,0.11318265478419466
79,1,1,4,0.635,-0.009958837643376316,0.0823566599161125
80,1,1,5,1.007,-0.06354113881366823,0.08169667361777405
81,1,1,6,1.596,-0.049741015670398035,0.07855985839275571
82,1,1,7,2.53,-0.21660647596616153,0.07211204999383933
83,1,1,8,4.009,-0.15068325802677573,0.08487373093092491
84,1,1,9,6.355,-0.08271354471868003,0.08736547999031521
85,1,1,10,10.071,0.002526890595426312,0.08101078131814005
86,1,1,11,15.962,-0.02232371167610905,0.08048022040610096
87,1,1,12,25.298,0.050547137418900344,0.10182782985614852
88,1,1,13,40.095,0.0238030787231207,0.13794866951570176
89,1,1,14,63.546,0.13403651897993973,0.21500436087972394
90,1,2,0,0.101,1.1389609351167989,0.5428322691529497
91,1,2,1,0.16,0.42670864877025994,0.35286619079882325
92,1,2,2,0.253,-0.6827203477585662,0.6838662095166782
93,1,2,3,0.401,-0.24441864106785174,0.21816740154406583
94,1,2,4,0.635,0.024594159849176254,0.1432063745440388
95,1,2,5,1.007,0.09180486373459083,0.11830334914704216
96,1,2,6,1.596,0.12869462108284985,0.11423265002810266
97,1,2,7,2.53,0.11203289685331258,0.09324901649681674
98,1,2,8,4.009,0.014102494990597755,0.09594442625359552
99,1,2,9,6.355,-0.05777527523990836,0.10998763501423181
100,1,2,10,10.071,0.06516341057064712,0.11300731534350125
