bin,lens_bin,source_bin,radial_bin,r,value,error
0,0,0,0,0.101,0.04431627362216082,0.05100054366997889
1,0,0,1,0.16,0.06422602796137641,0.02441349970181566
2,0,0,2,0.253,0.10057724550813267,0.019442169979638303
3,0,0,3,0.401,0.12669709752660974,0.012641765451433733
4,0,0,4,0.635,0.12664663576272941,0.009404236494780147
5,0,0,5,1.007,0.116561969013914,0.009286259288183529
6,0,0,6,1.596,0.12867885798509357,0.00911101213577562
7,0,0,7,2.53,0.13164725140576858,0.009304684744109545
8,0,0,8,4.009,0.12224441560885403,0.009049851088900268
9,0,0,9,6.355,0.12127131365791292,0.01186418171458916
10,0,0,10,10.071,0.12446577780171873,0.01423882971870544
11,0,0,11,15.962,0.12029873579978133,0.01868984324388892
12,0,0,12,25.298,0.12398575984850306,0.022079863730269638
13,0,0,13,40.095,0.10420297245147954,0.028429871988232193
14,0,0,14,63.546,0.09715035725351624,0.03190388204999654
15,0,1,0,0.101,0.10175980457228388,0.04253645945461408
16,0,1,1,0.16,0.1364987693995022,0.031763250598638375
17,0,1,2,0.253,0.10738712935543444,0.019035887787486827
18,0,1,3,0.401,0.13098326557411766,0.01745090175466602
19,0,1,4,0.635,0.14465042412744472,0.011472063784857005
20,0,1,5,1.007,0.157169890041472,0.009665581422654761
21,0,1,6,1.596,0.15428905682284583,0.009700230765265517
22,0,1,7,2.53,0.14927234015926127,0.011544672271800201
23,0,1,8,4.009,0.16131913571967207,0.01300150176115767
24,0,1,9,6.355,0.16801657419542207,0.015398095610531789
25,0,1,10,10.071,0.13211961724147617,0.018488573832189634
26,0,1,11,15.962,0.1548585827742364,0.024971564980503066
27,0,1,12,25.298,0.1260379622356585,0.03495515546579954
28,0,1,13,40.095,0.15774575885687256,0.037942178695369616
29,0,1,14,63.546,0.17880408441271334,0.04555957116781943
30,0,2,0,0.101,0.023146140005652474,0.06645364007725767
31,0,2,1,0.16,0.1524688783450514,0.046918052728005075
32,0,2,2,0.253,0.189358111405672,0.030810033897547332
33,0,2,3,0.401,0.1643907619066486,0.019572706812768074
34,0,2,4,0.635,0.15823848468039456,0.017488193663515027
35,0,2,5,1.007,0.15520612975516518,0.01722950101885689
36,0,2,6,1.596,0.17209247106158063,0.016597390680426535
37,0,2,7,2.53,0.16930645319881846,0.021000540090313876
38,0,2,8,4.009,0.1833893380984491,0.024872199329308575
39,0,2,9,6.355,0.18001345487692902,0.029810515267207325
40,0,2,10,10.071,0.18529721052897763,0.037173221057936974
41,0,2,11,15.962,0.1769422760749637,0.05718740346218409
42,0,2,12,25.298,0.07144415596045894,0.07187211300870791
43,0,2,13,40.095,0.1295552044830163,0.08288684395556316
44,0,2,14,63.546,0.07873422702446539,0.10238420845068433
45,0,3,0,0.101,0.004701193424348478,0.11447937868971003
46,0,3,1,0.16,0.054108632193620616,0.07152505974478011
47,0,3,2,0.253,0.05152852358437976,0.05115475706096673
48,0,3,3,0.401,0.10310681825117986,0.038304676680713634
49,0,3,4,0.635,0.11783269905407848,0.02920355245681247
50,0,3,5,1.007,0.11625516597218076,0.02127960443539836
51,0,3,6,1.596,0.10123068166135739,0.025075186667669985
52,0,3,7,2.53,0.12680285951781026,0.027069459417008588
53,0,3,8,4.009,0.08743882472675708,0.031021116842450337
54,0,3,9,6.355,0.1333374468524702,0.03874076713922778
55,0,3,10,10.071,0.13797837742020494,0.03945597063961546
56,0,3,11,15.962,0.0888382416976102,0.0530804002192595
57,0,3,12,25.298,-0.01959354507955294,0.05565830339160637
58,0,3,13,40.095,-0.042935010551028364,0.062431784785357824
59,0,3,14,63.546,-0.029558187049175174,0.07905808509939793
60,1,0,0,0.101,0.06493454092912351,0.07459868865617071
61,1,0,1,0.16,0.11919576242482774,0.02734492452384865
62,1,0,2,0.253,0.18272120798520264,0.020047164834080207
63,1,0,3,0.401,0.14198169676073238,0.018200372384392805
64,1,0,4,0.635,0.11866773707407048,0.01308643674781027
65,1,0,5,1.007,0.12746379918906908,0.011269854914950308
66,1,0,6,1.596,0.13973171208931554,0.012825053885797692
67,1,0,7,2.53,0.1193637956088441,0.012221858697790858
68,1,0,8,4.009,0.11667517823093292,0.011817960296137733
69,1,0,9,6.355,0.13073525785268908,0.012627949007367382
70,1,0,10,10.071,0.1334918560229069,0.012967626534743355
71,1,0,11,15.962,0.15191630680943155,0.015315590706022878
72,1,0,12,25.298,0.13243162793555865,0.017379798155975713
73,1,0,13,40.095,0.13246266441086235,0.02173999833172893
74,1,0,14,63.546,0.13230867107928315,0.03329603308484012
75,1,1,0,0.101,0.13348391702910983,0.06351345127737236
76,1,1,1,0.16,0.11966996215537264,0.034132907145120454
77,1,1,2,0.253,0.09818400952015335,0.020544090941542012
78,1,1,3,0.401,0.16151532525430737,0.014329534588545039
79,1,1,4,0.635,0.14984538572050124,0.013193778056072221
80,1,1,5,1.007,0.15627700568908134,0.010967786617717662
81,1,1,6,1.596,0.1774144512715755,0.010249472066060934
82,1,1,7,2.53,0.17215708924343667,0.010781954472309311
83,1,1,8,4.009,0.1463407756033581,0.009188662488670245
84,1,1,9,6.355,0.1277309885835031,0.010302001270346311
85,1,1,10,10.071,0.14835967571992048,0.014475490929199161
86,1,1,11,15.962,0.1624063066267677,0.015429653110952365
87,1,1,12,25.298,0.17934497784502398,0.01663002894054642
88,1,1,13,40.095,0.18624652861113478,0.024156773116285866
89,1,1,14,63.546,0.12413478835750072,0.046700363643988205
90,1,2,0,0.101,0.18841649401142876,0.10036505091616015
91,1,2,1,0.16,0.1390166845502092,0.04767137442480906
92,1,2,2,0.253,0.08352943304011981,0.03609947069709427
93,1,2,3,0.401,0.15115635751903306,0.020678925475132982
94,1,2,4,0.635,0.17466620774024877,0.016926915348110385
95,1,2,5,1.007,0.15169127382663636,0.014695081490555003
96,1,2,6,1.596,0.16161742013513364,0.017940488504248328
97,1,2,7,2.53,0.17898382041047542,0.017149348712618168
98,1,2,8,4.009,0.15759777495483587,0.017641971757181914
99,1,2,9,6.355,0.1647864822352632,0.019245903061865417
100,1,2,10,10.071,0.16728773592455742,0.02348265314941701
101,1,2,11,15.962,0.20663698451686308,0.0298640696519758
102,1,2,12,25.298,0.18270165322899562,0.03645961537412198
103,1,2,13,40.095,0.13239369217688599,0.047057707985285614
104,1,2,14,63.546,0.21850362447022056,0.0918648420116462
105,1,3,0,0.101,0.12244963719431233,0.1481698974415067
106,1,3,1,0.16,0.16187428039979895,0.07132038563192208
107,1,3,2,0.253,0.03829486728717848,0.048525558483503796
108,1,3,3,0.401,0.09443751906824142,0.027105935480806052
109,1,3,4,0.635,0.10764410294505601,0.025509821683204894
110,1,3,5,1.007,0.13504916100033929,0.024521951302328916
111,1,3,6,1.596,0.11286452706723872,0.02701644700516178
112,1,3,7,2.53,0.11878684391889029,0.02519200477171877
113,1,3,8,4.009,0.12593621213572723,0.022945859488580404
114,1,3,9,6.355,0.12898374256115672,0.02527694583046158
115,1,3,10,10.071,0.09336196698331342,0.025189100520652253
116,1,3,11,15.962,0.08133043286641048,0.03072578680428518
117,1,3,12,25.298,0.12110072420327295,0.03468018681789902
118,1,3,13,40.095,0.11387724698629266,0.045986568612037815
119,1,3,14,63.546,0.12781628339984366,0.06979870285954703
120,2,0,0,0.101,nan,nan
121,2,0,1,0.16,nan,nan
122,2,0,2,0.253,nan,nan
123,2,0,3,0.401,nan,nan
124,2,0,4,0.635,nan,nan
125,2,0,5,1.007,nan,nan
126,2,0,6,1.596,nan,nan
127,2,0,7,2.53,nan,nan
128,2,0,8,4.009,nan,nan
129,2,0,9,6.355,nan,nan
130,2,0,10,10.071,nan,nan
131,2,0,11,15.962,nan,nan
132,2,0,12,25.298,nan,nan
133,2,0,13,40.095,nan,nan
134,2,0,14,63.546,nan,nan
135,2,1,0,0.101,0.13390171777758267,0.10247298439922284
136,2,1,1,0.16,0.14514314500746806,0.032941588880482535
137,2,1,2,0.253,0.07882376453467334,0.022174813975130218
138,2,1,3,0.401,0.10693637632634347,0.01648858776113744
139,2,1,4,0.635,0.1231061413256687,0.012571384455332969
140,2,1,5,1.007,0.15008332817247014,0.012413782310159256
141,2,1,6,1.596,0.135892296976408,0.012751142390217839
142,2,1,7,2.53,0.1617038776901115,0.013761059721334767
143,2,1,8,4.009,0.15708096854706097,0.01313846116363414
144,2,1,9,6.355,0.14817348990071352,0.01290281292542792
145,2,1,10,10.071,0.1527368756706682,0.014095823032817978
146,2,1,11,15.962,0.15948824853929502,0.01675957019835468
147,2,1,12,25.298,0.17413162285005132,0.02371096858258151
148,2,1,13,40.095,0.14376225460199135,0.026514702720696417
149,2,1,14,63.546,0.16542594471163388,0.046421524898834235
150,2,2,0,0.101,0.018584141269319107,0.1525735906874908
151,2,2,1,0.16,0.05239072981270469,0.061856790351291005
152,2,2,2,0.253,0.09606875740544131,0.03262582567230962
153,2,2,3,0.401,0.10943417063784427,0.02445594136021163
154,2,2,4,0.635,0.1368988398834797,0.01633593701659763
155,2,2,5,1.007,0.13475301265963455,0.017603314141141312
156,2,2,6,1.596,0.12076596105291977,0.017693937458769227
157,2,2,7,2.53,0.1277216839660107,0.019404917113203357
158,2,2,8,4.009,0.14340021782156878,0.01818289395969521
159,2,2,9,6.355,0.15447536996937472,0.020297892934709554
160,2,2,10,10.071,0.0997353825330728,0.027190095763939187
161,2,2,11,15.962,0.0858464181732081,0.03329548923473466
162,2,2,12,25.298,0.12737374689137543,0.04647105817287586
163,2,2,13,40.095,0.06655600632634537,0.05012733587165522
164,2,2,14,63.546,0.06742546391042555,0.07946132926759901
165,2,3,0,0.101,-0.038643227591221,0.20116702675862372
166,2,3,1,0.16,0.10169394969355548,0.09584404161815677
167,2,3,2,0.253,0.015253284613913893,0.05057679905454541
168,2,3,3,0.401,0.1739059508632879,0.036121355060301986
169,2,3,4,0.635,0.09515214649437823,0.026041122495045272
170,2,3,5,1.007,0.1103083386002245,0.026208047898573204
171,2,3,6,1.596,0.11748810923254384,0.02255740041991406
172,2,3,7,2.53,0.15319542828259938,0.029062529418249928
173,2,3,8,4.009,0.14807051881928768,0.029478669766988288
174,2,3,9,6.355,0.11403116105823498,0.026791257498751206
175,2,3,10,10.071,0.10772281938139655,0.026924469648112397
176,2,3,11,15.962,0.0823532368019814,0.028445036923990585
177,2,3,12,25.298,0.021306998749807862,0.03408391589346806
178,2,3,13,40.095,0.029324475540744306,0.04505595863002496
179,2,3,14,63.546,-0.004447446316007154,0.0766797681407341
180,3,0,0,0.101,nan,nan
181,3,0,1,0.16,nan,nan
182,3,0,2,0.253,nan,nan
183,3,0,3,0.401,nan,nan
184,3,0,4,0.635,nan,nan
185,3,0,5,1.007,nan,nan
186,3,0,6,1.596,nan,nan
187,3,0,7,2.53,nan,nan
188,3,0,8,4.009,nan,nan
189,3,0,9,6.355,nan,nan
190,3,0,10,10.071,nan,nan
191,3,0,11,15.962,nan,nan
192,3,0,12,25.298,nan,nan
193,3,0,13,40.095,nan,nan
194,3,0,14,63.546,nan,nan
195,3,1,0,0.101,0.2998881301515057,0.19365974343656506
196,3,1,1,0.16,0.17670280172654318,0.0772196898897047
197,3,1,2,0.253,0.1553780099525636,0.029386201530360676
198,3,1,3,0.401,0.16676641263040962,0.01895037490188801
199,3,1,4,0.635,0.17178056147747814,0.0162343600827331
200,3,1,5,1.007,0.16415931060201555,0.013131531450606415
201,3,1,6,1.596,0.17720259686262335,0.012799988898664722
202,3,1,7,2.53,0.21568802927662645,0.013706995631186691
203,3,1,8,4.009,0.17064959336021915,0.014655966037381974
204,3,1,9,6.355,0.2014444747130877,0.01577672425597786
205,3,1,10,10.071,0.15289671066012098,0.015120720981613328
206,3,1,11,15.962,0.17333036265274854,0.01318923781233823
207,3,1,12,25.298,0.21867602957219237,0.01837135861317867
208,3,1,13,40.095,0.19289047359627318,0.0302285537550351
209,3,1,14,63.546,0.13807450233497637,0.04689618061891644
210,3,2,0,0.101,-0.32724137596995195,0.2194065257838419
211,3,2,1,0.16,0.03860288326490257,0.0766295800726755
212,3,2,2,0.253,0.11874047853160728,0.030632528521519167
213,3,2,3,0.401,0.13198675387815437,0.027068265458886666
214,3,2,4,0.635,0.16265723797078216,0.01463171706877003
215,3,2,5,1.007,0.15973054390391567,0.014267377712520263
216,3,2,6,1.596,0.1482725223742058,0.012959396811191005
217,3,2,7,2.53,0.14763350882325518,0.014648117828627903
218,3,2,8,4.009,0.14692853331364156,0.015379084622547619
219,3,2,9,6.355,0.1517877146907548,0.01678165167120619
220,3,2,10,10.071,0.15750809487174133,0.015110863184933996
221,3,2,11,15.962,0.16110666205327934,0.018435824178836727
222,3,2,12,25.298,0.17305238100542744,0.02264488185341969
223,3,2,13,40.095,0.15666343257441775,0.037264779900975153
224,3,2,14,63.546,0.1574078182971772,0.06784970668987572
225,3,3,0,0.101,-0.08768714836466035,0.3774289043325628
226,3,3,1,0.16,0.20588686377399312,0.11383542076553557
227,3,3,2,0.253,0.13566962753138717,0.05779647356451439
228,3,3,3,0.401,0.08068597529490079,0.03157035974040534
229,3,3,4,0.635,0.11812483700070661,0.023051137989381982
230,3,3,5,1.007,0.12824636125684916,0.02011126232041579
231,3,3,6,1.596,0.13269283975730659,0.018851769439949387
232,3,3,7,2.53,0.09692688887126114,0.016907968955729016
233,3,3,8,4.009,0.08034152168508694,0.021872914384906763
234,3,3,9,6.355,0.10623545452239955,0.021954350232951534
235,3,3,10,10.071,0.11229374433401182,0.01725473723414324
236,3,3,11,15.962,0.12731300858183264,0.018965337731660405
237,3,3,12,25.298,0.11291255318376342,0.02111535414101999
238,3,3,13,40.095,0.1553662505716664,0.02779403363295227
239,3,3,14,63.546,0.0842761860326917,0.04643077273375681
240,4,0,0,0.101,nan,nan
241,4,0,1,0.16,nan,nan
242,4,0,2,0.253,nan,nan
243,4,0,3,0.401,nan,nan
244,4,0,4,0.635,nan,nan
245,4,0,5,1.007,nan,nan
246,4,0,6,1.596,nan,nan
247,4,0,7,2.53,nan,nan
248,4,0,8,4.009,nan,nan
249,4,0,9,6.355,nan,nan
250,4,0,10,10.071,nan,nan
251,4,0,11,15.962,nan,nan
252,4,0,12,25.298,nan,nan
253,4,0,13,40.095,nan,nan
254,4,0,14,63.546,nan,nan
255,4,1,0,0.101,nan,nan
256,4,1,1,0.16,nan,nan
257,4,1,2,0.253,nan,nan
258,4,1,3,0.401,nan,nan
259,4,1,4,0.635,nan,nan
260,4,1,5,1.007,nan,nan
261,4,1,6,1.596,nan,nan
262,4,1,7,2.53,nan,nan
263,4,1,8,4.009,nan,nan
264,4,1,9,6.355,nan,nan
265,4,1,10,10.071,nan,nan
266,4,1,11,15.962,nan,nan
267,4,1,12,25.298,nan,nan
268,4,1,13,40.095,nan,nan
269,4,1,14,63.546,nan,nan
270,4,2,0,0.101,-0.6628157608457974,0.5399556987550647
271,4,2,1,0.16,0.15326858937906174,0.13909348808184196
272,4,2,2,0.253,0.17985353218235312,0.05042285552514034
273,4,2,3,0.401,0.14714167687287685,0.02424798593285045
274,4,2,4,0.635,0.13884464452740003,0.020177268503828564
275,4,2,5,1.007,0.17483572113102866,0.015552671078127616
276,4,2,6,1.596,0.13785728274974232,0.01985661857750076
277,4,2,7,2.53,0.17243639039928743,0.020295440272340284
278,4,2,8,4.009,0.16933239208655113,0.024862337695619182
279,4,2,9,6.355,0.17864253940279762,0.022011086963159898
280,4,2,10,10.071,0.20093640850493452,0.02479501700262264
281,4,2,11,15.962,0.19497923398282607,0.02985976261615033
282,4,2,12,25.298,0.13784585446407482,0.04110805762020195
283,4,2,13,40.095,0.2105057375286068,0.055842715165886084
284,4,2,14,63.546,0.21603097629204152,0.08267781059267294
285,4,3,0,0.101,0.36763325883061215,0.5676260219420843
286,4,3,1,0.16,0.18310064040588986,0.20080373581178423
287,4,3,2,0.253,0.15492442160976863,0.06752533666918244
288,4,3,3,0.401,0.1443964662198601,0.03051864176728868
289,4,3,4,0.635,0.10017919884965151,0.025368229312817518
290,4,3,5,1.007,0.15641979191730895,0.020985316010946456
291,4,3,6,1.596,0.17328931031702538,0.02658343488104775
292,4,3,7,2.53,0.17689585768533497,0.023029002019695845
293,4,3,8,4.009,0.13900519825321397,0.023501573526676908
294,4,3,9,6.355,0.11825309567017075,0.025879039290000194
295,4,3,10,10.071,0.1485358395683498,0.019899527528229016
296,4,3,11,15.962,0.1573024858051557,0.023522954409698843
297,4,3,12,25.298,0.1424932183123881,0.024207316920628264
298,4,3,13,40.095,0.08466926876196464,0.03322098346895148
299,4,3,14,63.546,0.08569113515544134,0.038006339573771836
300,5,0,0,0.101,nan,nan
301,5,0,1,0.16,nan,nan
302,5,0,2,0.253,nan,nan
303,5,0,3,0.401,nan,nan
304,5,0,4,0.635,nan,nan
305,5,0,5,1.007,nan,nan
306,5,0,6,1.596,nan,nan
307,5,0,7,2.53,nan,nan
308,5,0,8,4.009,nan,nan
309,5,0,9,6.355,nan,nan
310,5,0,10,10.071,nan,nan
311,5,0,11,15.962,nan,nan
312,5,0,12,25.298,nan,nan
313,5,0,13,40.095,nan,nan
314,5,0,14,63.546,nan,nan
315,5,1,0,0.101,nan,nan
316,5,1,1,0.16,nan,nan
317,5,1,2,0.253,nan,nan
318,5,1,3,0.401,nan,nan
319,5,1,4,0.635,nan,nan
320,5,1,5,1.007,nan,nan
321,5,1,6,1.596,nan,nan
322,5,1,7,2.53,nan,nan
323,5,1,8,4.009,nan,nan
324,5,1,9,6.355,nan,nan
325,5,1,10,10.071,nan,nan
326,5,1,11,15.962,nan,nan
327,5,1,12,25.298,nan,nan
328,5,1,13,40.095,nan,nan
329,5,1,14,63.546,nan,nan
330,5,2,0,0.101,nan,nan
331,5,2,1,0.16,nan,nan
332,5,2,2,0.253,nan,nan
333,5,2,3,0.401,nan,nan
334,5,2,4,0.635,nan,nan
335,5,2,5,1.007,nan,nan
336,5,2,6,1.596,nan,nan
337,5,2,7,2.53,nan,nan
338,5,2,8,4.009,nan,nan
339,5,2,9,6.355,nan,nan
340,5,2,10,10.071,nan,nan
341,5,2,11,15.962,nan,nan
342,5,2,12,25.298,nan,nan
343,5,2,13,40.095,nan,nan
344,5,2,14,63.546,nan,nan
345,5,3,0,0.101,nan,nan
346,5,3,1,0.16,nan,nan
347,5,3,2,0.253,nan,nan
348,5,3,3,0.401,nan,nan
349,5,3,4,0.635,nan,nan
350,5,3,5,1.007,nan,nan
351,5,3,6,1.596,nan,nan
352,5,3,7,2.53,nan,nan
353,5,3,8,4.009,nan,nan
354,5,3,9,6.355,nan,nan
355,5,3,10,10.071,nan,nan
356,5,3,11,15.962,nan,nan
357,5,3,12,25.298,nan,nan
358,5,3,13,40.095,nan,nan
359,5,3,14,63.546,nan,nan
