bin,lens_bin,source_bin,radial_bin,r,value,error
0,0,0,0,0.101,-2.6201440513683125,0.209108422899693
1,0,0,1,0.16,-1.836830202792119,0.14237016580148706
2,0,0,2,0.253,-1.1611820624035765,0.09370501080846941
3,0,0,3,0.401,-0.772739669762568,0.05653350258386715
4,0,0,4,0.635,-0.5546371028853802,0.03451132407702033
5,0,0,5,1.007,-0.4297459129247019,0.03079709759293966
6,0,0,6,1.596,-0.3246337366776814,0.027626964083508815
7,0,0,7,2.53,-0.2603890415325077,0.021764328303803357
8,0,0,8,4.009,-0.20059730080062765,0.020919229038030222
9,0,0,9,6.355,-0.18360689773882694,0.02394862199260377
10,0,0,10,10.071,-0.1438366286660601,0.030173051473285757
11,0,0,11,15.962,-0.09017757233552277,0.03171018041084468
12,0,0,12,25.298,-0.154118940805682,0.035991453244123554
13,0,0,13,40.095,-0.0967898505998917,0.039478705313515966
14,0,0,14,63.546,-0.1707710658313837,0.0528511840861404
15,0,1,0,0.101,-2.7167922543299508,0.2387398411461743
16,0,1,1,0.16,-1.981575840366432,0.14901158571320972
17,0,1,2,0.253,-1.2730638836634731,0.10685221377305731
18,0,1,3,0.401,-0.8621930531749452,0.05987183400206176
19,0,1,4,0.635,-0.6199061228333452,0.03881616586847956
20,0,1,5,1.007,-0.49046871295513067,0.03553352854520976
21,0,1,6,1.596,-0.38673808054702263,0.033687867452927865
22,0,1,7,2.53,-0.2956973982061719,0.026629054662152846
23,0,1,8,4.009,-0.22389765854453259,0.03158855994707889
24,0,1,9,6.355,-0.17118886389405882,0.03600346022551297
25,0,1,10,10.071,-0.16409015635464086,0.04215274104525395
26,0,1,11,15.962,-0.07246759980713768,0.04171029365175428
27,0,1,12,25.298,-0.19638098032532775,0.052881680856817756
28,0,1,13,40.095,-0.15085993319246468,0.05721645480838416
29,0,1,14,63.546,-0.2301599352841237,0.08796688800442069
30,0,2,0,0.101,-1.4543538878680147,0.2884680953416479
31,0,2,1,0.16,-1.1590397936724175,0.22093339910946905
32,0,2,2,0.253,-0.6228645230355425,0.08202684821247876
33,0,2,3,0.401,-0.39598313157591114,0.05123459239274671
34,0,2,4,0.635,-0.29268499737211057,0.036568129560950145
35,0,2,5,1.007,-0.22659046452000545,0.030395011449451666
36,0,2,6,1.596,-0.17692187637175036,0.02790536298107636
37,0,2,7,2.53,-0.09444134088349404,0.027210926577606567
38,0,2,8,4.009,-0.09873953042491254,0.03609731577713593
39,0,2,9,6.355,-0.09197234051941935,0.04305482161802971
40,0,2,10,10.071,-0.0713135876542326,0.04403749654572125
41,0,2,11,15.962,-0.026548228552019063,0.04909549045291839
42,0,2,12,25.298,-0.06244012624849261,0.05070858358596635
43,0,2,13,40.095,-0.1415190547246988,0.058500671373079724
44,0,2,14,63.546,-0.2552127786853675,0.07273610777190297
45,0,3,0,0.101,0.11601646073796083,0.34125564635885675
46,0,3,1,0.16,0.6715728598353655,0.2569697772235436
47,0,3,2,0.253,0.22695702473583876,0.11243516687769417
48,0,3,3,0.401,0.24765316615215432,0.08017569430458371
49,0,3,4,0.635,0.16647804723593596,0.06753684148794735
50,0,3,5,1.007,0.15052442093318655,0.04949637913557708
51,0,3,6,1.596,0.08624719837250631,0.048557436822870045
52,0,3,7,2.53,0.11001640896479274,0.05046271028600065
53,0,3,8,4.009,0.008046417169107681,0.05703938314699733
54,0,3,9,6.355,-0.010981454140786768,0.06757962257820069
55,0,3,10,10.071,0.061543066787198696,0.06906467925563141
56,0,3,11,15.962,-0.049383101037602115,0.09381414099391594
57,0,3,12,25.298,0.03396091802590868,0.09618081987388487
58,0,3,13,40.095,0.040921534866900804,0.09595355714718007
59,0,3,14,63.546,0.28920579671326196,0.13410451074907406
60,1,0,0,0.101,-3.3990265928027346,0.25057283779667533
61,1,0,1,0.16,-2.12198459352357,0.14632593681361108
62,1,0,2,0.253,-1.2610435815781726,0.12267870826149513
63,1,0,3,0.401,-0.7239820931253358,0.04991343003710346
64,1,0,4,0.635,-0.5350471765593021,0.045613987152346595
65,1,0,5,1.007,-0.3724735339434997,0.03457786321222568
66,1,0,6,1.596,-0.3274994922350315,0.04289167179078222
67,1,0,7,2.53,-0.2823786647265561,0.036653145864420984
68,1,0,8,4.009,-0.21493602558250577,0.019746241505093253
69,1,0,9,6.355,-0.21409636970848542,0.027210656354990773
70,1,0,10,10.071,-0.19471740884591773,0.030105511044075297
71,1,0,11,15.962,-0.16143306921987244,0.029550511340765216
72,1,0,12,25.298,-0.13628433694592512,0.028352700570698983
73,1,0,13,40.095,-0.06651231307828553,0.04388119878332111
74,1,0,14,63.546,-0.08467169696345783,0.06938127514649664
75,1,1,0,0.101,-4.0571679645109135,0.3743762285049686
76,1,1,1,0.16,-2.7598206829894445,0.37129086455202964
77,1,1,2,0.253,-1.5764010260847108,0.15905043290538137
78,1,1,3,0.401,-0.9375172544592528,0.07714841930369044
79,1,1,4,0.635,-0.567792587054492,0.04253133670553674
80,1,1,5,1.007,-0.4447133451811707,0.03732343550333785
81,1,1,6,1.596,-0.4052133927971598,0.040949823419010135
82,1,1,7,2.53,-0.33810910376613085,0.03767365763756755
83,1,1,8,4.009,-0.2866563818189785,0.02667422559918387
84,1,1,9,6.355,-0.2836492154325784,0.0335982608940033
85,1,1,10,10.071,-0.2463127425945503,0.03929898405998561
86,1,1,11,15.962,-0.2358534523116014,0.03298304166701854
87,1,1,12,25.298,-0.18660086563284184,0.0339267061594517
88,1,1,13,40.095,-0.1484164186107486,0.049200168097718766
89,1,1,14,63.546,-0.11107050250436462,0.07521240546230662
90,1,2,0,0.101,-2.054687386263087,0.30399252297931734
91,1,2,1,0.16,-1.2869457917374179,0.1621806664058422
92,1,2,2,0.253,-0.9119544209658375,0.15201313866790236
93,1,2,3,0.401,-0.4968286578943934,0.060874905591597306
94,1,2,4,0.635,-0.23822922801558363,0.034516628355102254
95,1,2,5,1.007,-0.2662335992971669,0.03442247309072603
96,1,2,6,1.596,-0.18959992393560474,0.02798630642181437
97,1,2,7,2.53,-0.12424371777047864,0.026829792377713994
98,1,2,8,4.009,-0.11944169378592583,0.026698212065393145
99,1,2,9,6.355,-0.12403787649261841,0.025989617916484416
100,1,2,10,10.071,-0.11733636653659106,0.03109425493803039
101,1,2,11,15.962,-0.16400712215833893,0.029761549433977855
102,1,2,12,25.298,-0.10175776983828683,0.03866380666388644
103,1,2,13,40.095,-0.05404762506229045,0.04496670531421212
104,1,2,14,63.546,0.011751900940646244,0.07400685739279973
105,1,3,0,0.101,-0.24777492061862397,0.8310110872475145
106,1,3,1,0.16,0.20772546417416024,0.3504004470317859
107,1,3,2,0.253,0.2444873617410356,0.17627797151726302
108,1,3,3,0.401,0.21857635454966348,0.12248263901433272
109,1,3,4,0.635,0.08786325255913394,0.04980447289517538
110,1,3,5,1.007,0.027847613795815324,0.0495693679032785
111,1,3,6,1.596,0.16249497944998123,0.0440639081302041
112,1,3,7,2.53,0.16891442046371088,0.0475119444014658
113,1,3,8,4.009,0.10589059438594993,0.04854841424597651
114,1,3,9,6.355,0.07935507820627279,0.04725007927709585
115,1,3,10,10.071,0.09121199196936053,0.05523184604515696
116,1,3,11,15.962,0.039444597606718916,0.05860387049255037
117,1,3,12,25.298,0.07002846839324041,0.06033814673067529
118,1,3,13,40.095,-0.09572830846363664,0.06500968466785007
119,1,3,14,63.546,0.011845008287705504,0.10724480836239943
120,2,0,0,0.101,nan,nan
121,2,0,1,0.16,nan,nan
122,2,0,2,0.253,nan,nan
123,2,0,3,0.401,nan,nan
124,2,0,4,0.635,nan,nan
125,2,0,5,1.007,nan,nan
126,2,0,6,1.596,nan,nan
127,2,0,7,2.53,nan,nan
128,2,0,8,4.009,nan,nan
129,2,0,9,6.355,nan,nan
130,2,0,10,10.071,nan,nan
131,2,0,11,15.962,nan,nan
132,2,0,12,25.298,nan,nan
133,2,0,13,40.095,nan,nan
134,2,0,14,63.546,nan,nan
135,2,1,0,0.101,-3.071388303634876,0.3099012084641873
136,2,1,1,0.16,-2.611397818445668,0.1385674634258046
137,2,1,2,0.253,-1.6988764197616852,0.10643899967989609
138,2,1,3,0.401,-1.0065320391454469,0.062224478529997455
139,2,1,4,0.635,-0.6564597732497287,0.03061737126292731
140,2,1,5,1.007,-0.4874395459846627,0.03140701930886745
141,2,1,6,1.596,-0.3434927604314394,0.03037109468924871
142,2,1,7,2.53,-0.2913091800751515,0.030338474924888018
143,2,1,8,4.009,-0.22103683761966791,0.03037097417985148
144,2,1,9,6.355,-0.2379910654658621,0.026199255834792733
145,2,1,10,10.071,-0.2198339265207094,0.03334143261133302
146,2,1,11,15.962,-0.12140085188577925,0.03569101943581554
147,2,1,12,25.298,-0.13397817331845802,0.05027742222218188
148,2,1,13,40.095,-0.07726166865766027,0.056167242935766845
149,2,1,14,63.546,-0.07485606879683958,0.1020006236661164
150,2,2,0,0.101,-1.9078684868848401,0.4583158815331246
151,2,2,1,0.16,-1.523801067720182,0.2911378242463867
152,2,2,2,0.253,-0.794133548088432,0.09869290301394633
153,2,2,3,0.401,-0.5543311509707654,0.07382073142530492
154,2,2,4,0.635,-0.321763320921117,0.0375240713471975
155,2,2,5,1.007,-0.24011361143676757,0.034127606684264074
156,2,2,6,1.596,-0.16191216717979282,0.034216494667424616
157,2,2,7,2.53,-0.1596308738588474,0.02942680025314063
158,2,2,8,4.009,-0.09537705709120292,0.02882541305557269
159,2,2,9,6.355,-0.0773463668935699,0.02764503923891795
160,2,2,10,10.071,-0.06784703356424601,0.034644494841254043
161,2,2,11,15.962,-0.04547674000941975,0.03138761352935411
162,2,2,12,25.298,-0.11963713488094954,0.04011820181719341
163,2,2,13,40.095,-0.13924018622923146,0.04729583000727617
164,2,2,14,63.546,-0.01288404760827832,0.07740231261090896
165,2,3,0,0.101,0.11353974324326503,0.6127693111191328
166,2,3,1,0.16,0.34535222599669524,0.3720147508120897
167,2,3,2,0.253,0.3189572718137594,0.1116954536928132
168,2,3,3,0.401,0.44889127702592957,0.10041774402813397
169,2,3,4,0.635,0.22680074087992916,0.057642807444107595
170,2,3,5,1.007,0.27310634681250345,0.052031669322035255
171,2,3,6,1.596,0.09484943211637975,0.046604166825145205
172,2,3,7,2.53,-0.029324267013021193,0.04996964184446596
173,2,3,8,4.009,0.005112946671063932,0.05303541560897157
174,2,3,9,6.355,0.08377597863923258,0.051802100886770314
175,2,3,10,10.071,0.024412986860036234,0.04512991912871102
176,2,3,11,15.962,0.1331931871804573,0.057442634988675016
177,2,3,12,25.298,0.08920577845068717,0.0623465513338516
178,2,3,13,40.095,0.19863386325052262,0.07293436009683629
179,2,3,14,63.546,0.15833033742964053,0.12643859824963635
180,3,0,0,0.101,nan,nan
181,3,0,1,0.16,nan,nan
182,3,0,2,0.253,nan,nan
183,3,0,3,0.401,nan,nan
184,3,0,4,0.635,nan,nan
185,3,0,5,1.007,nan,nan
186,3,0,6,1.596,nan,nan
187,3,0,7,2.53,nan,nan
188,3,0,8,4.009,nan,nan
189,3,0,9,6.355,nan,nan
190,3,0,10,10.071,nan,nan
191,3,0,11,15.962,nan,nan
192,3,0,12,25.298,nan,nan
193,3,0,13,40.095,nan,nan
194,3,0,14,63.546,nan,nan
195,3,1,0,0.101,-2.946917653990355,0.845914149562172
196,3,1,1,0.16,-2.6732621961039875,0.3338499564618079
197,3,1,2,0.253,-1.650175209919236,0.13058354175087208
